,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
26,0.07,-0.07,0,7.19,-2.19,8.94,-9.04,3.01,1.72,0.61,0.22,-0.6,0.47,625369,1007,W
27,0.07,-0.07,0,7.19,-2.19,8.94,-9.5,2.78,0.99,0.61,0.22,-0.6,0.47,625408,1046,W
28,0.07,-0.07,0,7.19,-2.19,8.94,-11.03,3.01,1.64,0.61,0.22,-0.6,0.47,625445,1083,W
29,0.16,-0.48,1.8,7.19,-2.19,8.94,-11.03,3.01,1.64,0.61,0.22,-0.6,0.47,625484,1122,W
30,0.16,-0.48,1.8,7.19,-2.19,8.94,-12.45,4.93,0.76,0.61,0.22,-0.6,0.47,625523,1161,W
31,-0.37,-0.38,1.12,7.19,-2.19,8.94,-12.45,4.93,0.76,0.61,0.22,-0.6,0.47,625562,1200,W
32,-0.37,-0.38,1.12,7.19,-2.19,8.94,-8.43,2.78,-1.15,0.61,0.22,-0.6,0.47,625601,1239,W
33,-0.37,-0.38,1.12,8.13,-15.13,0,-8.43,2.78,-1.15,0.61,0.22,-0.6,0.47,625639,1277,W
34,-0.37,-0.38,1.12,8.13,-15.13,0,-7.24,1.59,2.18,0.61,0.22,-0.6,0.47,625680,1318,W
35,0.88,0.23,-1,8.13,-15.13,0,-7.24,1.59,2.18,0.61,0.22,-0.6,0.47,625720,1358,W
36,0.88,0.23,-1,8.13,-15.13,0,-8.01,1.82,1.72,0.61,0.22,-0.6,0.47,625759,1397,W
37,0.88,0.23,-1,8.13,-15.13,0,-8.08,2.71,1.49,0.61,0.22,-0.6,0.47,625797,1435,W
38,0.46,0.56,-1.69,8.13,-15.13,0,-8.08,2.71,1.49,0.61,0.22,-0.6,0.47,625837,1475,W
39,-0.1,0.62,-1.75,8.13,-15.13,0,-8.08,2.71,1.49,0.61,0.22,-0.6,0.47,625876,1514,W
40,-0.1,0.62,-1.75,8.13,-15.13,0,-8.54,5.73,1.45,0.61,0.22,-0.6,0.47,625915,1553,W
41,-0.1,0.62,-1.75,8.13,-15.13,0,-9,6.04,2.79,0.61,0.22,-0.6,0.47,625955,1593,W
42,-0.1,0.62,-1.75,8.13,-15.13,0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,625994,1632,W
43,-0.15,0.18,-1.11,8.13,-15.13,0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,626033,1671,W
44,0.3,-1.26,1.91,8.13,-15.13,0,-9.58,6.23,2.56,0.61,0.22,-0.6,0.47,626072,1710,W
45,0.3,-1.26,1.91,8.13,-15.13,0,-10.61,-2.04,6.28,0.61,0.22,-0.6,0.47,626111,1749,W
46,0.3,-1.26,1.91,8.13,-15.13,0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626150,1788,W
47,0.84,-0.07,0.89,8.13,-15.13,0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626189,1827,W
48,0.17,-0.68,-0.33,8.13,-15.13,0,-6.78,5.35,1.49,0.61,0.22,-0.6,0.47,626229,1867,W
49,0.17,-0.68,-0.33,8.13,-15.13,0,-8.96,2.97,1.3,0.61,0.22,-0.6,0.47,626268,1906,W
