,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
32,0.03,-0.13,0.11,7.81,-9.25,-1.06,-8.89,3.89,1.84,-0.55,0.32,0.77,0.01,130818,1258,W
33,0.03,-0.13,0.11,7.81,-9.25,-1.06,-9.35,4.01,1.76,-0.55,0.32,0.77,0.01,130857,1297,W
34,0.03,-0.13,0.11,7.81,-9.25,-1.06,-9.84,4.66,2.14,-0.55,0.32,0.77,0.01,130895,1335,W
35,0.93,-0.21,2.21,7.81,-9.25,-1.06,-9.84,4.66,2.14,-0.55,0.32,0.77,0.01,130933,1373,W
36,0.93,-0.21,2.21,7.81,-9.25,-1.06,-10.96,5.39,2.22,-0.55,0.32,0.77,0.01,130972,1412,W
37,0.93,-0.21,2.21,7.81,-9.25,-1.06,-11.19,1.1,-0.08,-0.55,0.32,0.77,0.01,131012,1452,W
38,0.93,-0.21,2.21,7.81,-9.25,-1.06,-6.86,1.79,0.15,-0.55,0.32,0.77,0.01,131051,1491,W
39,0.93,-0.21,2.21,4.19,-15.5,-3.44,-6.86,1.79,0.15,-0.55,0.32,0.77,0.01,131089,1529,W
40,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-6.86,1.79,0.15,-0.55,0.32,0.77,0.01,131128,1568,W
41,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-8.08,3.74,1.57,-0.55,0.32,0.77,0.01,131168,1608,W
42,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-7.55,5.7,2.11,-0.55,0.32,0.77,0.01,131209,1649,W
43,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-7.24,6.04,2.11,-0.55,0.32,0.77,0.01,131247,1687,W
44,0.22,0.45,-1.68,4.19,-15.5,-3.44,-7.24,6.04,2.11,-0.55,0.32,0.77,0.01,131288,1728,W
45,0.22,0.45,-1.68,4.19,-15.5,-3.44,-7.78,7.88,1.49,-0.55,0.32,0.77,0.01,131329,1769,W
46,-0.17,-0.03,-1.08,4.19,-15.5,-3.44,-7.78,7.88,1.49,-0.55,0.32,0.77,0.01,131368,1808,W
47,-0.17,-0.03,-1.08,4.19,-15.5,-3.44,-6.44,8.95,0.95,-0.55,0.32,0.77,0.01,131409,1849,W
48,-0.17,-0.03,-1.08,4.19,-15.5,-3.44,-7.63,7.57,2.3,-0.55,0.32,0.77,0.01,131448,1888,W
49,0.04,0.3,1.31,4.19,-15.5,-3.44,-7.63,7.57,2.3,-0.55,0.32,0.77,0.01,131489,1929,W
50,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-7.63,7.57,2.3,-0.55,0.32,0.77,0.01,131528,1968,W
51,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-8.39,3.93,-0.66,-0.55,0.32,0.77,0.01,131569,2009,W
52,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-9.27,3.93,2.56,-0.55,0.32,0.77,0.01,131611,2051,W
53,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-8.62,3.7,1.64,-0.55,0.32,0.77,0.01,131649,2089,W
54,0,0.02,-0.18,4.19,-15.5,-3.44,-8.62,3.7,1.64,-0.55,0.32,0.77,0.01,131690,2130,W
55,0,0.02,-0.18,4.19,-15.5,-3.44,-8.85,3.55,1.72,-0.55,0.32,0.77,0.01,131729,2169,W
56,0,0.02,-0.18,4.19,-15.5,-3.44,-8.89,3.47,1.8,-0.55,0.32,0.77,0.01,131770,2210,W
57,0,0.02,-0.18,4.19,-15.5,-3.44,-8.93,3.47,1.57,-0.55,0.32,0.77,0.01,131810,2250,W
58,0,0.02,-0.18,4.19,-15.5,-3.44,-8.89,3.47,1.64,-0.55,0.32,0.77,0.01,131848,2288,W
59,0.09,-0.11,0.22,4.19,-15.5,-3.44,-8.89,3.47,1.64,-0.55,0.32,0.77,0.01,131889,2329,W
60,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.89,3.47,1.64,-0.55,0.32,0.77,0.01,131929,2369,W
61,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.89,3.63,1.91,-0.55,0.32,0.77,0.01,131969,2409,W
62,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.81,3.7,1.84,-0.55,0.32,0.77,0.01,132008,2448,W
63,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.81,3.7,1.88,-0.55,0.32,0.77,0.01,132046,2486,W
64,0.04,-0.05,0.16,4.19,-15.5,-3.44,-8.81,3.7,1.88,-0.55,0.32,0.77,0.01,132086,2526,W
65,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.81,3.7,1.88,-0.55,0.32,0.77,0.01,132126,2566,W
66,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.7,4.01,1.72,-0.55,0.32,0.77,0.01,132166,2606,W
67,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.77,3.97,2.11,-0.55,0.32,0.77,0.01,132207,2647,W
68,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.73,4.2,1.91,-0.55,0.32,0.77,0.01,132245,2685,W
69,-0.04,-0.04,0.24,4.19,-15.5,-3.44,-8.73,4.2,1.91,-0.55,0.32,0.77,0.01,132283,2723,W
