,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
33,2.08,-0.82,0.04,8,-8.5,-3.56,-7.13,2.21,-0.46,0.12,0.65,0.14,0.74,14541,1269,W
34,2.08,-0.82,0.04,8,-8.5,-3.56,-7.85,2.36,0.76,0.12,0.65,0.14,0.74,14578,1306,W
35,0.64,0.16,-0.62,8,-8.5,-3.56,-7.85,2.36,0.76,0.12,0.65,0.14,0.74,14616,1344,W
36,0.64,0.16,-0.62,8,-8.5,-3.56,-8.04,2.93,1.41,0.12,0.65,0.14,0.74,14655,1383,W
37,0.64,0.16,-0.62,8,-8.5,-3.56,-8.2,3.59,1.99,0.12,0.65,0.14,0.74,14694,1422,W
38,0.64,0.16,-0.62,8,-8.5,-3.56,-8.27,4.73,0.5,0.12,0.65,0.14,0.74,14731,1459,W
39,0.65,0.47,-0.96,8,-8.5,-3.56,-8.27,4.73,0.5,0.12,0.65,0.14,0.74,14769,1497,W
40,0.65,0.47,-0.96,8,-8.5,-3.56,-8.58,6.5,3.06,0.12,0.65,0.14,0.74,14807,1535,W
41,0.65,0.47,-0.96,8,-8.5,-3.56,-6.93,7.72,3.14,0.12,0.65,0.14,0.74,14846,1574,W
42,0.65,0.47,-0.96,8,-8.5,-3.56,-8.58,4.89,1.95,0.12,0.65,0.14,0.74,14883,1611,W
43,-1.87,-0.33,0.97,8,-8.5,-3.56,-8.58,4.89,1.95,0.12,0.65,0.14,0.74,14921,1649,W
44,-0.01,-0.23,0.88,8,-8.5,-3.56,-8.58,4.89,1.95,0.12,0.65,0.14,0.74,14959,1687,W
45,-0.01,-0.23,0.88,8,-8.5,-3.56,-11,2.97,1.53,0.12,0.65,0.14,0.74,14999,1727,W
46,-0.01,-0.23,0.88,8,-8.5,-3.56,-9.58,3.39,1.64,0.12,0.65,0.14,0.74,15037,1765,W
47,-0.01,-0.23,0.88,3.88,-12.94,-10.38,-9.58,3.39,1.64,0.12,0.65,0.14,0.74,15074,1802,W
48,0.04,0,-0.03,3.88,-12.94,-10.38,-9.58,3.39,1.64,0.12,0.65,0.14,0.74,15114,1842,W
49,0.04,0,-0.03,3.88,-12.94,-10.38,-8.89,3.28,1.14,0.12,0.65,0.14,0.74,15154,1882,W
50,0.04,0,-0.03,3.88,-12.94,-10.38,-8.62,3.2,0.95,0.12,0.65,0.14,0.74,15194,1922,W
51,0.04,0,-0.03,3.88,-12.94,-10.38,-9.73,3.78,1.91,0.12,0.65,0.14,0.74,15232,1960,W
52,-0.01,-0.03,-0.04,3.88,-12.94,-10.38,-9.73,3.78,1.91,0.12,0.65,0.14,0.74,15270,1998,W
53,-0.01,-0.03,-0.04,3.88,-12.94,-10.38,-8.81,3.63,1.18,0.12,0.65,0.14,0.74,15310,2038,W
54,-0.01,-0.03,-0.04,3.88,-12.94,-10.38,-9.08,3.7,1.57,0.12,0.65,0.14,0.74,15350,2078,W
55,-0.01,-0.03,-0.04,3.88,-12.94,-10.38,-8.93,3.74,1.38,0.12,0.65,0.14,0.74,15390,2118,W
56,-0.01,-0.03,-0.04,3.88,-12.94,-10.38,-8.93,3.78,1.41,0.12,0.65,0.14,0.74,15428,2156,W
57,0.05,-0.01,0.04,3.88,-12.94,-10.38,-8.93,3.78,1.41,0.12,0.65,0.14,0.74,15468,2196,W
58,0.05,-0.01,0.04,3.88,-12.94,-10.38,-8.89,3.66,1.38,0.12,0.65,0.14,0.74,15507,2235,W
59,0.05,-0.01,0.04,3.88,-12.94,-10.38,-8.89,3.93,1.49,0.12,0.65,0.14,0.74,15547,2275,W
60,0.05,-0.01,0.04,3.88,-12.94,-10.38,-8.73,3.93,1.41,0.12,0.65,0.14,0.74,15584,2312,W
61,0.09,-0.06,0.21,3.88,-12.94,-10.38,-8.73,3.93,1.41,0.12,0.65,0.14,0.74,15624,2352,W
62,0.09,-0.06,0.21,3.88,-12.94,-10.38,-8.81,4.09,1.61,0.12,0.65,0.14,0.74,15664,2392,W
63,0.04,0.01,0.13,3.88,-12.94,-10.38,-8.81,4.09,1.61,0.12,0.65,0.14,0.74,15704,2432,W
64,0.04,0.01,0.13,3.88,-12.94,-10.38,-8.85,4.24,1.49,0.12,0.65,0.14,0.74,15742,2470,W
65,0.04,0.01,0.13,3.88,-12.94,-10.38,-8.7,4.16,1.41,0.12,0.65,0.14,0.74,15779,2507,W
66,-0.08,0.12,0.32,3.88,-12.94,-10.38,-8.7,4.16,1.41,0.12,0.65,0.14,0.74,15818,2546,W
67,-0.22,0.16,0.21,3.88,-12.94,-10.38,-8.7,4.16,1.41,0.12,0.65,0.14,0.74,15857,2585,W
68,-0.22,0.16,0.21,3.88,-12.94,-10.38,-8.96,4.39,1.14,0.12,0.65,0.14,0.74,15895,2623,W
69,-0.22,0.16,0.21,3.88,-12.94,-10.38,-9.16,4.43,1.49,0.12,0.65,0.14,0.74,15933,2661,W
70,0.29,-0.21,1.47,3.88,-12.94,-10.38,-9.16,4.43,1.49,0.12,0.65,0.14,0.74,15974,2702,W
71,0.15,0.25,3.53,3.88,-12.94,-10.38,-9.16,4.43,1.49,0.12,0.65,0.14,0.74,16013,2741,W
72,0.15,0.25,3.53,3.88,-12.94,-10.38,-15.71,6.34,-1.11,0.12,0.65,0.14,0.74,16052,2780,W
73,0.15,0.25,3.53,3.88,-12.94,-10.38,-16.2,1.75,-3.34,0.12,0.65,0.14,0.74,16092,2820,W
74,0.15,0.25,3.53,3.88,-12.94,-10.38,-8.96,5.73,2.49,0.12,0.65,0.14,0.74,16131,2859,W
75,0.39,-0.73,0.64,3.88,-12.94,-10.38,-8.96,5.73,2.49,0.12,0.65,0.14,0.74,16168,2896,W
76,0.59,-0.71,-0.24,3.88,-12.94,-10.38,-8.96,5.73,2.49,0.12,0.65,0.14,0.74,16207,2935,W
77,0.59,-0.71,-0.24,3.88,-12.94,-10.38,-5.86,3.7,1.45,0.12,0.65,0.14,0.74,16246,2974,W
78,0.59,-0.71,-0.24,3.88,-12.94,-10.38,-6.4,4.16,1.72,0.12,0.65,0.14,0.74,16285,3013,W
79,0.78,-0.89,-1.68,3.88,-12.94,-10.38,-6.4,4.16,1.72,0.12,0.65,0.14,0.74,16325,3053,W
80,0.25,-0.55,-1.61,3.88,-12.94,-10.38,-6.4,4.16,1.72,0.12,0.65,0.14,0.74,16365,3093,W
81,0.25,-0.55,-1.61,3.88,-12.94,-10.38,-5.79,5.31,-1.07,0.12,0.65,0.14,0.74,16404,3132,W
82,0.25,-0.55,-1.61,3.88,-12.94,-10.38,-5.06,6.34,-0.46,0.12,0.65,0.14,0.74,16446,3174,W
83,0.25,-0.55,-1.61,3.88,-12.94,-10.38,-6.17,7,-1.11,0.12,0.65,0.14,0.74,16484,3212,W
84,0.12,0.54,-1.54,3.88,-12.94,-10.38,-6.17,7,-1.11,0.12,0.65,0.14,0.74,16524,3252,W
85,0.12,0.54,-1.54,3.88,-12.94,-10.38,-6.89,7.68,0.53,0.12,0.65,0.14,0.74,16565,3293,W
86,-0.17,0.36,-1.96,3.88,-12.94,-10.38,-6.89,7.68,0.53,0.12,0.65,0.14,0.74,16604,3332,W
87,-0.17,0.36,-1.96,3.88,-12.94,-10.38,-6.74,8.41,1.11,0.12,0.65,0.14,0.74,16644,3372,W
88,-0.17,0.36,-1.96,3.88,-12.94,-10.38,-6.86,13.05,3.41,0.12,0.65,0.14,0.74,16681,3409,W
89,-2.86,-0.16,0.3,3.88,-12.94,-10.38,-6.86,13.05,3.41,0.12,0.65,0.14,0.74,16723,3451,W
90,-0.82,-1.11,1.51,3.88,-12.94,-10.38,-6.86,13.05,3.41,0.12,0.65,0.14,0.74,16763,3491,W
91,-0.82,-1.11,1.51,3.88,-12.94,-10.38,-8.01,3.7,2.71,0.12,0.65,0.14,0.74,16804,3532,W
92,-0.82,-1.11,1.51,3.88,-12.94,-10.38,-8.85,4.62,-0.43,0.12,0.65,0.14,0.74,16844,3572,W
93,-0.82,-1.11,1.51,3.88,-12.94,-10.38,-8.77,3.74,2.07,0.12,0.65,0.14,0.74,16883,3611,W
94,0.17,-0.02,0.1,3.88,-12.94,-10.38,-8.77,3.74,2.07,0.12,0.65,0.14,0.74,16923,3651,W
95,-0.04,-0.07,0.07,3.88,-12.94,-10.38,-8.77,3.74,2.07,0.12,0.65,0.14,0.74,16962,3690,W
96,-0.04,-0.07,0.07,3.88,-12.94,-10.38,-8.7,3.82,1.03,0.12,0.65,0.14,0.74,17003,3731,W
97,-0.04,-0.07,0.07,3.88,-12.94,-10.38,-9,3.78,1.61,0.12,0.65,0.14,0.74,17043,3771,W
98,-0.04,-0.07,0.07,3.88,-12.94,-10.38,-9.12,3.78,1.18,0.12,0.65,0.14,0.74,17081,3809,W
99,0.07,-0.09,0.04,3.88,-12.94,-10.38,-9.12,3.78,1.18,0.12,0.65,0.14,0.74,17121,3849,W
100,0.07,-0.09,0.04,3.88,-12.94,-10.38,-8.7,3.89,1.61,0.12,0.65,0.14,0.74,17161,3889,W
101,0.04,-0.06,0,3.88,-12.94,-10.38,-8.7,3.89,1.61,0.12,0.65,0.14,0.74,17199,3927,W
102,0.04,-0.06,0,3.88,-12.94,-10.38,-8.85,3.89,1.64,0.12,0.65,0.14,0.74,17238,3966,W
103,0.04,-0.06,0,3.88,-12.94,-10.38,-8.39,3.97,1.68,0.12,0.65,0.14,0.74,17275,4003,W
104,0.04,-0.06,0,3.88,-12.94,-10.38,-9.81,3.7,1.26,0.12,0.65,0.14,0.74,17315,4043,W
105,0.04,-0.06,0,3.88,-12.94,-10.38,-12.68,4.51,1.14,0.12,0.65,0.14,0.74,17354,4082,W
106,0.04,-0.06,0,3.88,-12.94,-10.38,-18.58,8.14,-0.23,0.12,0.65,0.14,0.74,17395,4123,W
107,0.04,-0.06,0,3.88,-12.94,-10.38,-24.55,3.24,-0.88,0.12,0.65,0.14,0.74,17434,4162,W
108,-0.69,-1.81,1.65,3.88,-12.94,-10.38,-24.55,3.24,-0.88,0.12,0.65,0.14,0.74,17476,4204,W
109,-0.36,-0.28,1.1,3.88,-12.94,-10.38,-24.55,3.24,-0.88,0.12,0.65,0.14,0.74,17516,4244,W
110,-0.36,-0.28,1.1,3.88,-12.94,-10.38,-4.48,-0.44,0.46,0.12,0.65,0.14,0.74,17556,4284,W
111,-0.36,-0.28,1.1,3.88,-12.94,-10.38,-5.17,-1.36,1.38,0.12,0.65,0.14,0.74,17596,4324,W
