,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,94,95,108,121,113,88,94,85,82,90,90,86,91,84,81,86,85,85,87,88,81,82,84,75,79,82,75,71,73,83,75,87
1,128,128,129,132,123,128,134,126,142,132,129,127,130,127,132,130,129,130,133,128,128,132,136,133,142,134,129,128,123,127,124,130
2,51,128,132,128,134,129,137,129,126,118,125,122,127,124,135,133,133,132,128,130,125,126,131,121,138,125,136,127,131,125,125,125
3,20,21,28,26,31,33,21,27,42,45,26,60,37,20,21,28,26,26,24,22,39,43,32,35,26,42,37,56,51,36,37,53
4,33,24,24,29,29,29,24,30,27,28,31,32,31,40,34,34,26,23,24,22,33,54,30,48,28,44,38,49,49,43,47,53
5,37,40,45,57,64,49,38,32,40,33,34,40,52,55,42,56,43,48,47,45,48,57,54,58,50,66,64,62,63,73,67,74
6,64,61,69,68,63,65,72,82,78,76,75,63,69,74,91,72,74,86,65,73,76,81,78,69,76,75,80,75,84,76,83,85
7,77,70,74,77,78,90,77,96,79,109,87,77,87,78,87,73,75,78,82,84,77,79,77,71,72,78,79,77,82,84,80,77
8,73,78,78,71,71,83,76,74,66,75,76,71,65,72,65,69,68,73,74,79,70,60,74,82,77,84,86,70,70,69,73,81
9,63,64,74,72,71,69,68,65,60,66,74,71,79,67,72,68,62,64,62,55,64,69,70,70,71,70,65,69,78,77,74,58
10,71,69,94,66,95,67,60,58,76,73,63,69,69,62,64,65,64,62,68,77,72,86,76,73,65,68,62,64,55,58,66,70
11,58,60,60,69,74,68,75,74,63,59,71,65,59,78,79,70,77,76,68,68,68,63,68,62,65,58,66,61,65,61,62,66
12,68,73,76,79,73,64,73,77,82,70,64,74,73,63,64,78,74,77,63,64,60,69,68,72,68,64,69,72,62,65,72,71
13,68,73,74,59,68,63,80,93,89,66,57,66,76,71,76,81,80,82,74,61,56,76,66,69,88,87,72,87,93,80,78,75
14,78,74,70,82,70,70,71,76,68,78,65,68,72,69,67,71,74,86,69,67,74,79,79,70,65,59,62,61,69,72,76,72
15,71,85,90,73,64,61,69,67,69,76,69,69,69,71,72,70,67,65,70,66,72,69,80,70,76,68,77,79,81,72,74,66
16,61,61,64,66,74,76,63,70,73,70,62,64,64,68,64,61,82,83,80,75,68,77,73,74,74,62,57,75,65,64,76,72
17,80,63,65,89,72,73,71,69,70,68,68,64,73,81,71,71,85,65,64,83,80,71,63,69,66,67,68,69,69,68,68,72
18,63,59,63,73,74,67,71,80,71,62,74,63,62,72,67,73,70,71,64,68,63,70,69,70,71,66,67,66,66,68,82,85
19,70,77,71,74,83,66,81,66,74,85,71,74,73,67,64,65,65,63,56,60,69,68,73,70,72,73,85,91,79,59,75,67
20,87,91,104,107,109,87,87,82,78,90,91,85,86,85,78,87,81,87,79,78,75,80,82,79,77,75,69,69,67,70,73,82
21,127,77,81,84,77,71,85,88,73,60,72,75,67,58,59,61,60,60,58,61,58,68,79,63,68,76,69,61,78,78,80,78
22,131,128,132,123,136,122,128,118,113,118,123,128,131,133,129,134,138,130,126,157,137,135,132,128,132,132,130,127,131,126,134,126
23,68,79,77,88,96,76,84,65,80,82,73,79,76,71,69,71,75,75,75,66,70,76,88,75,78,77,91,93,77,63,82,77
