,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,98,93,81,90,101,96,85,90,82,80,88,86,80,74,79,75,84,81,80,72,77,77,79,75,75,80,80,67,67,63,70,67
1,75,68,65,65,58,65,69,60,76,76,66,67,61,66,62,60,68,70,62,53,62,60,50,50,45,51,56,52,53,59,61,68
2,50,51,53,46,44,53,46,50,47,40,41,44,42,43,39,38,33,32,48,39,37,40,30,31,32,34,37,46,44,45,46,40
3,38,33,36,24,23,26,27,29,30,20,27,28,19,27,24,27,25,29,19,20,26,25,25,28,21,23,29,29,34,30,43,41
4,20,28,18,16,25,31,28,25,30,46,72,53,22,17,25,26,19,24,21,20,28,27,28,36,30,24,29,40,37,33,34,36
5,40,27,23,23,21,19,22,18,23,20,35,33,35,32,25,32,41,28,31,43,38,32,31,41,36,30,29,44,34,45,48,52
6,48,41,50,46,51,51,54,53,47,43,39,40,39,42,47,45,49,53,53,54,52,49,41,53,49,57,63,61,64,70,69,69
7,67,68,75,73,70,69,74,67,61,60,69,75,63,74,66,64,82,67,77,89,80,77,74,73,71,84,84,76,76,80,74,67
8,75,70,64,67,60,62,71,68,76,73,81,79,78,70,69,73,73,70,69,74,66,76,77,69,76,73,71,72,73,74,78,76
9,70,71,71,58,57,65,68,74,73,66,71,67,61,82,94,74,102,76,74,73,76,76,60,66,64,64,67,74,72,66,61,61
10,64,126,128,128,130,126,123,123,128,122,131,136,129,135,132,131,128,125,128,128,127,127,125,130,126,131,120,127,128,126,130,128
11,56,54,84,81,56,52,60,64,58,61,65,58,65,65,60,63,64,61,63,67,62,72,56,63,79,61,55,72,70,76,60,59
12,72,59,70,58,54,52,58,70,65,74,56,61,68,69,63,59,68,61,64,61,64,64,82,65,71,69,68,64,62,55,59,61
13,72,62,57,68,62,61,59,59,62,63,64,69,71,65,67,56,66,72,58,70,60,73,71,65,65,61,60,66,58,57,61,59
14,66,67,62,60,62,59,63,55,66,58,74,83,70,62,63,65,57,60,61,57,64,61,47,65,62,68,68,62,57,71,61,68
15,74,69,61,71,61,68,70,65,63,64,60,65,59,54,56,58,61,68,62,57,55,59,58,52,64,67,64,73,74,67,72,68
16,70,68,67,68,72,64,58,73,77,64,59,65,59,55,62,61,65,62,64,66,66,79,67,64,66,66,60,82,86,65,58,56
17,56,62,70,74,65,56,69,66,63,61,81,85,65,58,62,54,57,53,57,71,62,64,70,59,62,67,61,57,78,91,75,67
18,65,67,67,64,61,65,63,67,64,63,72,72,66,77,78,79,70,56,68,59,61,55,59,62,59,62,63,70,61,60,62,63
19,67,62,73,67,67,74,65,75,59,67,71,72,71,62,65,63,67,62,65,66,62,62,70,71,65,70,73,79,79,69,53,67
20,94,83,79,91,97,92,84,84,81,82,85,80,75,78,76,72,77,74,80,78,80,74,72,66,71,72,77,67,66,61,66,67
21,73,82,76,76,75,67,79,78,74,74,69,64,67,68,61,83,80,64,60,69,64,59,58,72,72,60,59,62,63,55,47,44
22,49,55,56,45,42,51,45,50,40,42,41,39,38,34,40,39,40,34,43,35,33,38,30,38,31,32,30,44,50,49,37,32
