,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,95,84,91,106,104,93,88,86,75,86,90,86,85,78,73,86,80,80,80,84,80,70,72,81,75,76,70,64,64,68,75,77
1,131,63,64,63,66,65,55,64,53,74,64,84,74,78,53,56,70,65,55,55,57,54,61,60,61,59,57,56,61,78,79,64
2,125,130,135,132,134,134,123,136,125,139,132,136,125,139,131,129,129,126,133,133,124,125,129,129,124,119,126,128,128,138,130,134
3,29,129,135,122,136,124,137,135,135,136,133,125,132,129,130,125,127,134,129,128,130,127,128,146,130,143,125,137,123,150,119,135
4,31,18,17,23,22,20,23,26,22,28,27,34,31,36,38,29,28,23,29,32,29,50,28,48,35,41,34,40,45,44,48,58
5,40,41,30,55,61,49,31,31,28,30,36,33,51,53,43,56,46,48,43,43,47,48,48,53,49,59,66,55,53,73,66,72
6,59,63,66,56,59,66,75,87,69,69,70,63,72,70,79,71,68,78,63,65,73,68,68,68,73,74,83,74,77,69,69,82
7,75,66,68,78,77,85,76,101,79,107,78,77,80,75,78,67,71,76,80,83,78,80,76,71,76,75,71,72,82,76,74,83
8,128,127,139,129,131,122,127,125,124,117,127,128,128,121,126,121,124,128,132,128,123,128,123,131,126,127,123,125,126,125,125,132
9,63,61,63,58,64,78,64,73,59,68,67,72,55,55,73,64,55,56,61,72,62,64,66,57,63,59,67,66,65,58,57,65
10,68,65,52,60,65,72,72,63,58,64,62,66,61,63,65,60,72,69,77,73,65,70,68,62,61,74,66,59,62,64,61,58
11,63,60,61,69,71,68,60,77,65,76,78,57,64,78,81,77,61,76,63,63,72,63,65,77,79,71,85,69,64,62,56,68
12,60,61,64,91,70,67,87,71,74,66,65,70,62,67,74,64,67,62,74,63,62,75,72,66,62,66,61,61,72,68,62,67
13,67,61,61,62,59,60,63,66,64,73,75,64,58,54,66,71,61,66,68,60,60,67,68,62,71,67,66,68,67,75,75,68
14,70,65,63,66,63,61,66,64,74,77,64,60,62,60,67,62,71,74,69,67,71,66,62,62,55,65,67,52,54,56,75,71
15,69,63,73,73,66,70,62,62,64,59,57,63,68,66,62,59,71,72,73,56,63,85,77,66,80,80,75,68,68,79,64,62
16,66,68,61,63,66,54,58,66,63,64,69,70,74,71,68,63,75,69,67,63,64,68,64,69,76,71,75,71,69,72,67,71
17,69,75,77,59,78,70,69,87,95,74,59,62,59,63,53,61,73,63,62,71,71,57,65,58,59,68,71,60,66,64,61,65
18,61,69,71,81,80,63,73,56,67,78,65,78,66,66,57,69,72,66,63,59,61,67,76,74,68,70,79,79,66,53,66,68
19,85,85,94,100,90,88,80,80,84,90,85,82,81,83,79,82,79,80,84,80,77,78,80,77,74,76,65,66,66,76,73,83
20,75,130,131,124,132,127,133,123,124,124,135,124,130,132,130,133,126,133,123,127,129,133,127,130,129,129,129,130,129,132,128,124
21,42,42,44,48,52,40,38,46,38,34,31,29,39,37,29,36,27,29,32,26,27,37,30,28,33,32,32,32,44,37,50,51
22,31,25,27,25,24,25,17,24,28,24,37,38,32,35,38,38,26,28,17,27,29,25,30,29,29,32,33,29,32,33,36,33
23,69,76,72,87,85,73,83,70,78,93,78,81,73,75,70,75,76,73,65,62,67,72,76,69,74,75,90,86,77,66,78,69
