,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,6,8,7,5,5,8,8,6,6,6,6,5,6,5,8,6,6,6,6,5,5,5,6,7,6,5,6,6,5,5,5,8
1,129,126,126,128,127,128,127,127,126,127,127,126,127,126,127,127,127,126,125,126,127,126,127,126,127,126,129,128,127,127,126,129
2,6,6,6,5,5,5,6,5,5,4,5,5,8,6,5,7,5,6,6,4,4,4,4,4,4,4,4,5,4,4,5,5
3,5,6,5,7,6,6,5,7,6,6,7,6,5,6,6,7,5,4,5,6,5,6,6,5,5,5,5,6,4,5,4,4
4,6,128,126,127,125,126,125,127,126,129,126,127,127,128,128,126,128,127,126,127,127,127,128,126,127,128,128,128,127,128,127,128
5,4,3,3,3,3,3,4,4,4,3,3,4,3,5,4,5,3,3,4,4,5,5,4,4,3,4,4,5,4,5,4,4
6,4,127,128,127,129,127,128,126,127,128,128,126,126,127,127,126,128,126,127,129,127,129,128,127,126,130,127,128,127,125,127,127
7,7,5,4,5,5,6,5,6,5,6,5,4,5,5,6,5,5,6,7,6,5,7,6,5,6,6,8,8,7,5,6,7
8,6,6,6,6,6,6,7,7,6,7,6,6,6,7,8,8,7,6,6,6,7,7,6,6,6,6,7,7,8,9,7,7
9,9,6,7,5,6,6,5,7,8,6,6,5,5,5,5,6,6,5,6,5,5,5,6,6,6,6,5,5,5,6,6,7
10,6,6,8,6,6,6,5,5,6,5,4,4,5,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,5,5,4,6
11,129,127,124,126,125,127,127,127,127,128,128,126,130,126,129,127,126,128,128,128,127,127,127,126,128,126,130,126,131,126,127,127
12,123,126,127,128,127,127,128,127,128,127,127,127,127,125,124,124,125,127,126,128,126,127,127,126,130,127,129,126,129,127,129,126
13,5,5,5,5,5,4,5,5,4,4,5,6,4,5,5,5,4,6,6,5,5,5,4,4,5,6,5,6,6,6,5,5
14,128,127,127,126,126,126,127,126,129,126,127,126,126,126,127,127,128,128,128,127,126,127,126,128,127,127,127,128,127,129,126,129
15,7,6,5,6,4,6,5,5,7,6,5,4,4,5,6,6,6,5,6,5,4,4,4,5,5,6,6,5,6,6,5,5
16,4,128,127,129,128,127,128,126,127,127,127,127,127,128,126,126,129,127,128,127,128,126,126,127,128,128,129,130,129,129,128,127
17,8,5,6,7,5,6,5,7,5,5,6,5,6,5,5,6,5,5,5,4,5,6,6,6,5,6,6,6,5,6,5,5
18,6,6,7,6,5,5,5,6,7,8,5,5,4,5,7,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5
19,127,126,128,124,127,126,128,129,129,130,127,127,128,128,129,128,127,128,127,126,126,126,125,126,130,127,129,128,130,127,128,128
20,7,6,8,8,8,8,6,8,6,7,8,6,7,7,6,6,7,6,7,6,6,6,7,8,6,7,7,8,8,7,5,8
21,7,6,7,6,8,8,6,8,5,7,8,8,8,8,6,6,7,8,7,5,6,6,6,9,7,6,6,11,10,8,6,8
