,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,9,8,7,7,7,7,9,6,7,7,8,7,6,7,7,6,7,7,8,7,7,5,5,8,6,7,9,8,6,9,7,7
1,127,9,9,10,8,8,8,8,9,8,7,8,8,8,8,8,8,8,9,9,8,9,9,9,8,9,10,11,9,10,10,10
2,10,12,12,12,12,12,12,12,13,11,11,11,11,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,13,13,12,12
3,7,12,11,11,11,11,11,11,12,10,11,10,10,10,10,10,10,11,11,10,11,11,11,11,11,11,11,13,11,13,12,11
4,5,11,10,8,9,10,9,10,8,8,8,10,8,8,8,8,9,7,7,8,9,7,8,6,8,8,7,6,6,7,7,6
5,7,5,5,6,5,7,6,6,6,6,5,7,5,5,6,6,7,6,6,6,6,7,6,7,7,8,6,7,7,7,8,8
6,8,9,9,11,11,11,12,12,12,11,11,12,13,13,13,13,12,13,13,14,13,13,14,13,14,13,13,14,14,14,13,13
7,12,11,12,11,13,13,9,9,9,10,10,9,9,9,10,10,10,10,10,11,11,10,10,10,12,11,12,11,11,12,11,11
8,15,125,124,125,125,124,125,125,124,124,126,122,125,124,126,122,126,123,124,124,125,124,125,123,126,123,126,124,126,125,125,124
9,14,15,14,15,14,15,16,16,16,16,14,16,15,16,15,15,14,15,14,13,14,15,15,16,14,15,15,16,14,15,14,15
10,14,15,15,15,15,15,14,16,15,15,15,16,15,14,14,14,14,14,15,15,14,15,16,14,15,15,15,15,14,15,14,15
11,16,15,15,15,15,16,15,15,15,15,16,16,15,15,14,15,16,15,14,15,14,13,15,14,15,16,15,14,14,14,15,15
12,18,17,17,17,17,17,17,16,17,17,17,17,17,20,18,17,16,17,16,16,17,15,16,17,17,16,15,15,17,16,16,15
13,21,21,21,21,21,21,21,21,20,20,19,19,19,20,20,19,19,19,20,19,20,19,19,20,19,20,20,18,18,20,18,19
14,24,25,24,23,23,25,25,23,23,23,23,21,23,22,22,23,22,22,22,23,21,21,22,22,21,21,21,21,22,21,22,21
15,27,26,25,24,25,24,24,24,23,23,24,24,24,23,22,23,24,25,24,23,23,23,22,23,23,23,23,22,23,22,23,25
16,26,26,25,24,24,25,24,24,25,24,24,25,24,23,24,24,23,25,25,25,25,25,23,24,22,23,22,22,22,23,23,24
17,26,26,25,25,24,25,25,24,26,25,25,24,26,26,24,24,24,25,24,25,23,24,25,25,26,25,24,26,25,24,24,25
18,26,28,28,27,30,28,29,27,29,27,28,27,27,28,28,28,28,31,27,28,28,29,30,29,29,30,28,28,29,29,30,29
19,32,33,32,33,33,34,33,34,33,34,35,34,34,34,34,34,34,36,36,36,36,36,36,35,38,37,36,36,37,38,38,38
20,40,40,40,41,41,41,43,43,42,42,43,44,43,44,43,43,44,43,43,44,45,44,43,44,44,45,46,46,47,45,47,46
21,7,6,7,7,7,9,7,8,6,7,8,7,7,7,6,7,6,7,6,7,6,6,7,8,7,7,7,8,8,7,6,8
22,9,126,125,128,125,129,130,127,127,128,126,128,127,128,127,127,126,128,128,129,127,129,126,128,129,127,128,131,126,129,126,128
23,11,11,11,11,12,11,10,11,10,11,12,10,12,10,11,10,10,11,9,9,9,10,12,12,12,11,11,15,14,12,9,12
