,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,6,8,8,6,6,8,7,7,6,6,6,6,6,6,8,6,7,6,7,6,5,6,6,6,5,6,6,6,6,5,6,8
1,128,126,127,125,129,127,129,127,129,126,128,127,126,126,126,129,125,128,125,126,126,128,126,128,126,128,126,129,126,127,126,127
2,6,6,5,5,5,6,6,6,6,5,6,5,7,6,5,7,5,6,8,5,5,4,4,5,5,5,5,5,5,5,6,5
3,3,7,7,7,6,7,6,7,7,6,7,6,7,7,6,6,6,6,8,7,6,6,6,6,6,6,6,5,4,5,5,4
4,6,127,128,127,126,126,127,126,126,126,127,127,129,126,127,126,128,126,127,126,127,126,128,127,128,128,127,128,127,128,127,127
5,3,3,4,4,3,4,5,5,3,4,4,4,4,4,4,5,4,4,5,4,4,5,5,4,4,4,4,5,4,4,4,5
6,5,5,5,5,6,5,4,5,5,5,5,5,6,6,5,5,6,6,7,7,6,6,6,6,7,8,7,7,6,7,8,7
7,4,5,6,7,5,5,5,6,6,5,5,5,5,6,5,6,5,7,5,6,6,5,6,5,4,5,6,5,6,6,7,7
8,126,130,128,128,127,127,127,127,127,127,127,127,129,128,127,126,126,126,126,127,127,126,127,127,127,127,126,125,126,127,128,125
9,7,128,131,127,129,128,128,128,126,128,127,128,127,130,127,130,128,128,126,128,127,127,129,127,128,127,127,127,126,126,126,127
10,6,6,6,5,5,5,6,6,6,6,7,6,6,7,9,6,10,6,6,7,7,7,5,6,5,6,6,6,7,6,5,6
11,5,128,127,128,127,126,127,128,126,127,124,126,124,128,125,129,124,127,127,126,129,127,127,127,126,126,127,126,126,126,128,127
12,5,5,5,5,6,6,7,6,6,5,6,7,6,6,6,6,4,7,6,7,7,7,7,6,5,5,6,6,5,6,7,6
13,6,6,6,5,6,5,5,5,5,6,6,5,5,6,5,5,6,5,5,6,5,5,6,7,6,5,6,6,6,6,6,6
14,124,125,127,127,127,126,127,126,128,127,126,125,126,126,127,127,129,128,128,128,127,128,128,128,128,128,130,129,129,128,131,127
15,8,6,6,7,5,6,5,7,7,7,5,5,5,7,6,7,6,6,6,6,6,5,6,6,6,7,6,6,6,7,6,6
16,5,127,130,126,129,127,127,126,126,126,127,128,127,127,130,128,126,129,127,128,126,127,127,127,129,127,128,129,128,129,129,127
17,7,6,7,6,6,5,4,5,5,6,6,6,6,6,7,6,6,5,6,6,5,6,5,6,6,6,6,7,6,6,5,6
18,6,6,8,6,6,6,5,6,7,9,6,5,5,7,8,6,5,6,5,6,6,6,5,5,6,6,5,6,6,6,5,6
19,127,126,127,126,127,127,127,127,127,128,126,127,127,128,128,129,128,128,128,125,126,126,125,127,130,127,130,127,127,127,127,129
20,6,5,6,7,6,7,7,7,6,6,7,6,7,6,6,5,6,6,6,5,6,6,6,7,6,6,7,9,8,6,5,6
