,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,90,79,71,79,87,84,79,81,74,72,79,79,73,70,68,70,73,70,71,72,67,71,62,61,67,61,66,60,57,56,63,61
1,64,71,72,71,62,57,67,62,66,62,56,58,61,65,55,64,61,57,51,55,53,52,56,59,67,54,48,59,58,49,44,35
2,43,42,48,39,37,50,41,43,37,38,35,36,35,29,31,33,32,27,44,37,33,36,29,34,33,30,27,42,52,46,44,28
3,31,19,29,20,18,28,20,20,24,18,20,25,16,13,13,21,17,20,20,14,24,21,18,18,14,17,19,21,25,23,33,36
4,20,25,14,10,20,20,24,19,24,44,58,41,20,13,21,22,15,21,16,14,21,23,24,29,22,17,20,34,36,29,24,28
5,29,25,19,21,17,15,23,16,19,12,26,30,32,21,22,21,39,20,30,38,27,27,27,31,25,21,24,35,27,33,36,42
6,45,33,40,38,43,43,42,43,40,37,33,33,34,37,39,36,37,46,42,53,49,35,43,47,38,48,62,58,60,60,58,56
7,59,63,65,66,62,64,63,57,51,53,62,64,55,70,66,59,74,61,64,75,70,70,61,58,62,76,75,65,65,70,70,60
8,63,66,59,56,52,51,60,63,66,59,68,69,65,62,65,64,70,64,62,68,58,68,71,61,55,60,60,63,68,69,68,66
9,66,64,63,50,55,54,58,59,56,60,62,64,56,69,82,63,89,62,67,69,67,65,55,59,59,60,60,60,64,59,56,57
10,58,52,51,48,52,56,72,63,65,57,61,61,58,53,51,61,50,49,41,48,49,54,56,54,49,59,56,59,63,58,48,47
11,49,55,50,43,52,58,63,62,55,49,50,54,54,53,48,57,49,54,57,67,60,56,60,56,45,42,52,52,50,53,58,51
12,46,49,47,55,63,67,60,59,65,54,64,68,54,63,70,66,60,53,65,51,53,60,53,49,58,63,58,66,58,51,56,51
13,52,49,47,56,68,55,56,70,56,64,59,57,59,47,57,62,53,59,53,57,59,51,63,58,50,49,57,48,55,55,61,57
14,52,52,54,56,49,47,53,50,54,54,55,59,58,56,55,57,52,52,54,53,50,51,59,51,52,61,59,60,60,56,61,63
15,65,60,57,54,46,51,54,56,54,63,62,54,54,51,49,53,48,53,62,54,55,58,53,55,54,55,57,56,47,48,52,68
16,54,44,52,60,66,58,60,50,54,57,49,47,51,49,46,44,45,55,62,61,47,51,64,58,56,61,67,64,53,53,60,54
17,61,56,56,49,53,56,46,51,53,51,53,60,61,59,53,49,51,62,60,56,51,50,54,52,51,57,56,57,57,57,60,54
18,63,55,63,65,51,67,60,50,65,79,69,59,58,45,47,43,46,57,53,51,53,51,41,55,43,49,60,63,52,62,53,51
19,59,52,62,58,68,70,61,67,53,60,69,65,66,58,66,62,59,57,57,47,54,52,58,64,61,58,56,71,78,65,52,61
20,87,79,71,82,92,79,74,74,70,78,73,74,75,68,66,64,71,71,69,64,72,66,70,68,59,59,63,60,55,52,60,58
21,59,69,62,61,62,60,68,68,61,62,62,52,56,64,55,68,65,51,50,57,53,46,46,60,58,53,45,57,62,46,37,37
22,48,43,42,35,35,44,39,45,37,33,34,34,32,34,29,32,31,24,38,27,25,35,27,36,31,30,29,34,34,33,38,33
23,61,64,60,63,71,52,65,49,64,71,63,61,63,62,55,61,55,57,57,45,51,54,66,61,57,59,70,73,63,48,67,58
