,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,83,78,81,95,89,75,84,77,72,80,79,72,73,76,69,78,68,69,70,77,69,70,65,71,74,73,70,62,63,64,56,72
1,83,79,72,68,71,68,65,67,66,66,62,62,63,59,74,74,65,59,60,59,55,53,64,71,64,57,63,60,52,49,44,49
2,46,48,43,39,43,42,40,41,38,42,37,33,37,33,37,36,30,49,40,31,42,28,36,29,33,31,42,40,43,45,36,40
3,28,34,17,23,28,23,23,31,24,20,22,17,14,14,16,24,25,22,19,23,23,21,23,17,17,23,25,28,29,38,33,34
4,28,19,18,21,26,26,26,29,43,63,46,17,18,24,28,19,22,13,16,21,22,22,29,29,27,23,37,35,32,30,35,39
5,27,23,22,20,15,20,22,24,16,32,36,34,31,26,27,40,25,30,40,32,32,26,35,33,27,31,39,34,45,48,51,48
6,38,45,48,47,51,51,44,38,37,38,36,42,37,39,40,41,43,41,53,50,41,41,48,38,50,60,57,61,59,59,61,60
7,58,69,69,58,67,64,62,58,61,64,73,62,71,65,63,71,66,75,90,75,71,69,67,68,75,76,70,75,78,75,66,85
8,65,64,60,60,62,73,66,73,69,73,73,69,63,67,65,72,69,65,74,62,77,76,70,72,69,67,64,70,70,74,71,78
9,67,67,54,59,58,60,64,62,66,69,66,69,70,86,73,96,70,73,72,69,68,55,60,63,69,71,65,69,72,61,58,55
10,65,56,63,56,57,77,61,68,56,66,61,64,56,55,62,58,50,49,53,57,59,61,59,54,57,57,59,66,65,53,50,67
11,60,62,49,56,63,66,69,57,55,51,47,56,56,51,54,50,62,66,67,62,62,62,59,46,54,58,54,52,56,54,52,53
12,61,52,59,63,72,60,58,72,59,66,70,53,62,70,67,65,57,71,51,54,59,56,59,62,65,68,75,60,53,52,51,56
13,55,52,58,71,67,68,67,61,66,67,59,63,51,63,64,57,58,56,60,59,57,62,60,58,55,55,56,56,62,65,61,55
14,58,65,59,58,61,61,57,56,58,59,64,61,58,54,61,57,55,56,55,51,58,62,61,61,63,58,60,61,60,63,65,59
15,60,62,57,54,58,57,50,58,69,74,62,52,54,56,60,58,57,63,54,58,58,57,57,56,58,63,65,57,62,59,68,62
16,49,55,59,66,60,65,58,55,54,49,47,52,56,55,56,51,68,71,76,55,57,79,63,50,65,66,64,55,58,64,55,56
17,56,58,58,53,60,53,51,46,51,56,63,66,64,62,58,59,71,67,60,58,55,53,55,58,61,62,66,64,58,63,56,68
18,57,65,69,51,72,67,55,74,86,72,50,58,46,52,50,48,54,57,58,54,55,46,56,51,47,66,70,57,63,57,56,54
19,56,63,60,69,77,61,69,48,61,72,60,69,67,55,63,63,57,59,51,56,54,61,66,58,62,68,80,82,62,48,62,56
20,80,75,84,89,83,78,80,76,73,78,76,69,69,74,76,81,73,73,69,68,68,69,70,66,72,65,62,67,62,62,62,72
21,71,71,71,67,62,65,65,66,63,55,57,59,65,58,70,66,58,53,58,50,51,51,61,63,54,48,57,61,50,48,45,47
22,46,46,38,35,47,45,46,37,37,35,40,35,35,36,33,33,28,38,34,30,39,28,35,30,30,27,39,37,39,41,32,38
23,69,63,64,76,78,63,79,61,69,80,71,75,68,65,62,66,69,64,64,63,58,71,77,67,65,64,76,82,71,60,64,62
