,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,96,90,82,92,98,90,90,91,81,86,93,86,85,88,89,78,81,78,83,76,79,78,79,77,81,72,75,73,67,68,69,67
1,74,87,79,81,75,72,76,76,74,76,72,64,77,76,65,87,84,66,62,64,62,63,57,70,66,58,51,65,69,58,52,48
2,55,51,47,46,45,58,48,54,39,40,37,39,43,44,35,35,35,30,51,40,33,35,31,35,33,34,38,40,42,41,41,35
3,33,24,31,24,23,31,33,27,36,20,25,24,14,21,22,23,21,28,25,14,22,22,28,28,20,20,26,29,26,26,35,34
4,18,27,18,21,19,25,26,23,32,50,76,53,17,16,23,26,17,21,15,17,22,30,31,35,28,24,28,45,42,37,29,33
5,34,25,23,25,21,20,27,26,26,17,32,34,28,26,25,29,41,25,35,45,41,29,31,42,41,31,33,42,31,44,48,52
6,46,40,43,46,52,52,51,48,48,37,40,42,40,43,45,46,36,47,45,54,58,50,45,53,51,58,57,59,63,71,69,61
7,67,70,74,73,70,69,76,67,61,69,63,71,75,76,67,68,82,70,75,93,81,74,76,72,73,90,89,73,73,77,78,74
8,69,75,68,67,56,64,80,72,77,79,84,85,81,73,74,71,75,72,67,73,62,76,73,66,73,73,72,71,76,75,76,75
9,73,72,62,58,62,63,64,66,63,66,63,65,66,79,100,74,100,71,79,82,76,70,63,69,68,68,67,68,72,64,54,62
10,61,74,71,66,62,52,63,66,55,61,60,61,66,69,59,72,62,60,70,68,65,53,59,59,60,58,62,71,66,62,61,69
11,58,48,54,60,51,49,55,84,65,55,59,55,54,59,55,53,57,59,64,69,70,67,71,80,68,62,61,68,66,68,64,57
12,61,128,132,122,125,128,123,133,127,139,128,121,127,124,121,125,130,120,121,115,127,118,124,125,127,126,127,121,125,127,126,127
13,67,65,56,68,63,73,63,64,63,60,57,67,63,65,65,59,67,72,61,66,69,75,64,61,62,60,60,65,56,58,62,56
14,63,64,60,59,61,57,59,56,71,56,75,85,74,61,61,61,58,59,57,57,66,67,60,55,61,64,63,62,58,62,58,60
15,75,66,63,69,54,62,63,56,60,55,55,65,59,53,59,56,56,71,71,54,60,57,62,58,62,71,72,73,73,65,74,67
16,76,65,64,69,61,64,65,67,70,71,70,68,63,61,64,65,67,60,64,74,71,79,70,61,65,62,68,80,91,62,47,57
17,64,68,71,75,61,60,72,65,61,61,86,89,60,57,59,48,54,53,55,65,57,64,73,66,63,74,63,59,93,103,74,60
18,64,132,132,144,137,158,140,122,148,121,138,128,130,130,132,131,128,141,119,138,128,125,122,124,131,124,134,127,130,128,124,125
19,54,51,62,57,60,65,56,63,47,54,59,57,66,61,54,57,56,53,55,52,48,53,58,61,58,62,60,67,71,62,50,54
20,80,73,72,77,86,90,71,73,68,65,72,67,61,62,65,67,67,61,67,68,66,64,59,59,60,62,58,54,56,58,64,59
21,65,67,58,62,61,52,67,64,55,59,52,49,56,58,55,63,58,53,51,51,46,48,51,59,57,49,49,51,50,44,41,35
22,46,46,44,37,35,41,37,42,37,32,32,36,30,34,31,27,24,23,39,27,23,28,23,29,27,34,29,42,39,35,31,28
