,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,23,129,125,130,128,128,129,128,129,127,128,128,127,128,124,129,125,129,127,129,127,129,127,127,128,128,127,128,127,129,127,130
1,15,16,14,15,14,14,13,15,15,15,14,12,14,15,13,13,14,13,11,10,10,11,12,12,11,9,9,9,11,12,10,9
2,29,128,126,128,125,129,128,130,127,127,127,128,125,127,127,126,126,127,125,128,126,124,125,124,124,127,125,126,125,128,123,125
3,10,8,9,8,9,9,10,9,9,10,12,9,13,10,7,9,9,10,9,10,10,11,11,10,11,10,13,10,16,15,12,13
4,122,121,121,122,123,124,124,121,121,121,120,122,121,123,121,124,123,128,121,125,121,123,123,126,125,125,124,125,125,125,121,124
5,22,23,20,23,22,22,20,20,20,20,20,20,19,19,21,21,21,21,17,21,22,21,20,20,23,22,24,25,23,24,24,23
6,26,28,28,26,27,31,29,28,27,26,27,27,26,27,26,27,26,27,28,29,27,26,26,27,27,30,26,27,27,26,25,27
7,30,29,28,27,28,28,28,28,30,28,29,28,28,29,30,29,29,27,28,26,31,32,28,28,29,27,28,28,27,29,27,26
8,28,28,30,30,28,28,28,31,31,28,28,30,27,27,28,28,30,29,28,31,29,27,28,28,26,27,28,29,27,27,26,26
9,32,29,30,29,30,31,29,32,29,29,27,30,31,28,28,29,28,26,25,26,25,25,26,28,29,26,27,30,27,32,27,31
10,33,34,32,31,32,34,35,34,34,34,34,32,30,32,31,31,30,34,32,33,32,32,31,31,31,31,30,31,32,31,32,33
11,43,41,43,40,41,39,41,44,41,41,40,39,42,41,42,40,37,38,37,38,40,37,39,37,36,36,37,36,36,38,37,37
12,52,47,47,48,47,47,47,45,44,44,45,46,44,44,46,45,42,43,44,43,40,41,42,43,41,39,40,41,41,42,43,44
13,53,50,51,48,50,47,45,50,47,47,51,45,45,44,45,45,44,45,43,43,45,45,46,45,45,44,44,41,47,43,49,45
14,49,51,49,50,49,47,47,48,49,49,47,46,47,46,45,46,46,48,45,45,44,46,44,44,44,46,45,45,43,45,46,44
15,51,50,48,51,51,49,50,49,49,51,52,51,50,48,52,49,51,51,52,52,48,50,50,50,51,50,56,52,50,52,51,51
16,58,56,55,56,56,56,57,56,56,56,56,57,57,57,59,56,58,60,60,59,61,58,62,61,62,60,60,62,61,61,64,61
17,69,70,68,70,70,72,72,71,72,72,71,71,71,72,74,72,72,73,75,75,74,73,73,77,74,76,75,78,82,77,78,77
18,85,85,84,86,88,86,88,88,88,86,87,88,88,88,90,89,93,91,92,92,90,93,91,96,93,92,96,94,95,96,96,97
19,10,10,11,10,13,14,11,13,9,9,11,10,12,10,10,11,12,11,11,11,11,11,11,13,11,11,13,14,14,13,10,12
20,18,16,16,18,19,18,16,16,15,16,17,16,15,14,16,16,15,15,16,15,15,14,15,15,14,15,15,13,13,13,13,12
21,16,17,16,16,16,14,15,15,15,16,15,13,14,15,14,15,14,14,14,13,13,12,12,13,14,12,10,12,13,11,11,11
22,13,13,12,12,11,14,12,11,9,9,10,10,10,9,9,9,9,8,9,9,9,9,8,8,9,10,9,9,10,10,10,9
23,23,19,19,21,23,24,20,26,20,23,23,21,22,18,17,18,18,21,18,17,17,19,22,24,23,22,24,25,25,24,20,22
