,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,38,33,31,36,43,40,30,34,33,28,32,29,23,26,25,26,28,26,30,25,27,24,23,21,24,22,22,15,19,15,21,17
1,24,28,21,23,29,18,24,25,20,25,16,14,21,18,16,29,26,15,17,20,19,16,13,23,23,17,12,15,16,12,5,4
2,7,5,8,3,2,6,3,5,6,3,5,4,4,4,2,1,,,7,,4,1,,1,1,1,2,10,9,5,9,5
3,22,4,2,23,2,,2,1,,2,1,3,,,,,,1,5,2,3,1,1,,,,,2,2,6,,7
4,,2,,,3,,,,3,2,2,1,1,1,1,1,2,9,8,2,,,3,7,6,6,4,2,2,1,5,5
5,,36,28,15,16,24,23,25,33,27,30,32,27,31,26,23,30,29,30,23,20,21,21,17,25,26,18,14,20,22,13,7
6,1,3,4,4,3,,1,,,,,2,1,1,,,,,,1,2,1,,4,6,2,3,2,,1,8,14
7,2,3,5,4,1,3,,1,1,1,,,,,,,,5,2,1,7,3,8,3,7,12,8,9,7,8,5,12
8,13,130,135,125,130,124,125,129,138,133,129,131,132,130,131,131,140,129,138,130,129,129,129,128,127,126,128,131,124,131,130,117
9,18,126,145,134,146,146,128,135,131,143,132,142,136,136,136,132,130,128,119,119,125,121,122,133,118,129,125,144,132,137,134,128
10,18,17,20,14,21,19,17,17,18,16,15,17,21,22,17,15,15,20,17,9,15,14,17,16,14,17,20,13,15,21,26,20
11,11,12,14,15,13,15,19,16,14,9,13,17,17,21,13,18,15,13,11,16,14,11,16,15,15,15,12,16,19,21,23,22
12,15,21,18,30,16,31,13,8,10,25,17,8,17,14,10,9,14,16,9,8,23,17,24,18,18,15,17,9,11,8,9,11
13,18,15,13,13,8,15,12,14,16,13,11,15,11,9,17,9,12,14,17,19,14,7,10,7,10,6,9,9,9,7,13,13
14,13,12,14,13,13,17,13,9,16,11,21,24,19,18,17,18,15,10,13,19,16,14,14,23,18,15,23,13,15,13,19,20
15,18,13,22,12,13,8,13,15,17,23,22,23,21,19,12,14,9,12,9,12,18,19,16,13,16,18,9,13,11,12,16,18
16,122,35,35,52,15,18,31,14,32,12,20,16,12,20,13,11,17,19,19,18,25,21,22,19,12,23,18,19,16,17,17,17
17,19,19,25,23,21,15,16,21,20,15,13,14,14,12,14,14,27,22,15,19,19,12,20,16,11,13,11,11,10,12,14,10
18,19,22,14,11,13,14,13,23,20,16,23,19,18,14,32,21,36,12,15,13,19,17,22,19,20,17,16,18,18,21,13,7
19,12,14,10,18,24,14,15,18,14,14,15,13,15,14,19,19,18,17,14,12,16,9,11,20,14,13,17,18,16,17,19,17
20,22,18,20,21,17,24,23,11,16,21,19,21,16,15,12,17,19,12,13,13,15,16,24,21,10,22,20,19,15,11,21,24
21,17,13,19,18,25,26,19,24,12,23,27,23,24,21,16,17,19,19,20,15,16,17,21,26,25,23,19,30,31,23,11,23
22,35,32,28,32,37,36,33,33,28,25,33,33,29,25,27,22,26,25,26,26,25,20,18,22,22,21,23,22,19,17,20,19
