,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,75,74,76,81,84,73,69,68,74,71,74,71,65,66,64,69,62,66,69,70,69,63,61,65,63,65,55,53,54,62,55,60
1,68,63,70,64,55,67,65,60,59,57,55,60,63,55,69,65,51,52,53,57,54,53,62,64,52,46,55,56,52,42,34,41
2,41,46,36,32,48,40,49,38,40,34,39,36,31,32,30,29,26,46,38,26,31,26,31,25,31,29,39,38,43,38,35,41
3,19,25,18,16,23,22,24,30,18,15,17,9,16,12,19,17,21,18,10,18,19,19,20,15,18,21,23,27,29,32,33,35
4,23,13,8,17,22,21,21,22,37,66,48,14,12,21,24,14,20,11,12,21,20,26,24,24,17,16,34,39,31,29,30,43
5,20,16,23,18,17,25,21,20,13,28,32,27,24,24,22,31,21,23,33,35,27,20,34,31,24,29,38,30,37,42,50,47
6,36,42,43,39,44,49,43,34,37,39,33,31,36,41,40,40,40,43,52,50,45,44,47,42,50,53,52,58,61,60,54,57
7,56,64,67,58,65,65,58,54,55,58,68,61,70,55,58,71,59,62,80,65,68,64,67,65,76,78,69,70,67,68,55,77
8,63,55,66,55,53,65,61,64,59,62,72,67,59,66,58,66,65,61,67,58,65,66,58,62,57,58,65,63,66,72,71,73
9,62,58,45,46,51,55,60,60,65,66,63,59,71,74,62,83,64,68,72,69,66,55,60,60,57,58,54,62,59,52,54,49
10,53,49,55,51,64,69,58,59,52,56,54,59,52,53,63,53,49,45,48,55,51,56,53,52,50,52,56,59,60,48,44,54
11,56,49,42,53,55,58,62,53,50,50,50,50,51,47,51,50,58,52,64,61,50,54,58,50,47,51,47,49,50,55,52,48
12,54,51,47,56,62,55,54,64,57,70,68,47,52,61,63,59,51,64,50,53,57,51,50,58,58,60,67,54,51,49,40,54
13,50,45,52,72,59,61,68,55,61,58,53,60,53,57,62,52,54,50,49,51,46,58,57,54,52,53,51,56,54,59,61,55
14,51,58,52,53,51,54,57,60,57,53,52,54,52,47,54,56,50,52,50,49,54,59,53,54,57,55,61,58,56,63,63,61
15,57,51,54,53,53,51,52,53,59,56,54,51,51,49,54,48,58,63,50,52,56,53,49,53,52,58,61,46,51,52,69,60
16,52,53,56,58,53,52,47,51,51,53,51,51,54,53,47,42,52,63,62,48,53,67,55,50,55,62,66,54,46,58,51,49
17,50,56,49,51,52,45,49,49,50,56,64,59,66,65,54,55,60,57,55,50,52,51,51,54,58,60,61,63,59,60,51,67
18,58,67,71,54,70,64,54,70,76,66,49,54,43,48,48,46,50,47,52,53,51,49,57,48,45,59,64,50,62,49,52,52
19,54,55,53,56,69,56,64,48,56,67,64,66,58,59,56,54,52,54,49,51,56,59,58,59,62,62,72,73,62,53,63,53
20,69,65,75,82,81,79,74,67,69,76,80,76,70,67,65,66,66,73,70,72,65,62,59,61,62,63,55,57,54,54,53,65
21,73,65,67,64,57,61,60,61,66,54,52,61,54,48,65,62,50,48,58,54,47,51,59,58,53,49,53,54,48,47,41,43
22,44,38,37,36,42,41,40,33,35,33,40,34,38,30,29,29,22,35,31,29,32,27,33,29,27,25,39,42,46,39,34,38
23,59,68,64,71,77,62,75,50,61,68,64,69,62,62,54,60,60,57,57,54,61,65,76,66,68,62,76,73,63,55,68,58
