,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,17,16,15,16,17,16,16,16,16,16,17,16,16,16,16,15,17,16,16,16,17,17,16,16,16,16,17,16,16,16,16,15
1,9,9,10,9,9,8,8,8,8,9,8,8,8,8,8,9,9,8,8,8,8,7,7,9,9,7,7,7,8,7,7,6
2,126,125,126,126,126,126,125,126,125,125,127,126,130,125,129,125,126,125,126,125,126,125,126,126,126,125,123,124,127,125,126,124
3,6,5,5,4,5,5,5,6,5,5,6,7,7,7,8,7,8,8,8,8,9,10,9,10,11,10,10,10,10,10,10,10
4,126,122,123,121,123,121,124,121,123,122,123,122,123,120,123,121,123,121,123,121,124,120,124,121,126,120,124,120,123,122,122,122
5,125,10,9,9,10,8,9,9,9,8,9,9,9,10,10,11,10,10,10,9,10,10,10,9,10,11,11,13,12,11,11,11
6,12,11,11,11,12,11,11,12,11,11,10,11,11,10,11,10,11,12,11,12,11,11,11,11,11,13,12,11,12,13,13,13
7,13,13,14,15,14,14,14,13,13,13,13,15,13,14,14,14,14,15,14,15,14,14,14,14,14,15,15,14,15,14,14,13
8,15,15,14,14,14,15,16,15,15,15,15,15,14,13,16,14,15,15,13,14,14,14,15,15,15,13,13,14,14,15,14,14
9,15,16,14,14,15,14,15,15,15,15,15,14,14,16,17,15,18,15,14,15,15,15,14,14,14,15,14,14,14,14,15,15
10,16,16,15,15,14,16,16,15,16,15,15,14,15,14,14,15,14,14,14,15,15,14,14,15,15,15,14,14,15,15,14,14
11,17,17,18,16,17,18,18,17,17,17,17,16,17,17,16,16,16,17,18,17,16,17,17,17,16,16,16,15,16,16,17,16
12,21,21,21,21,22,21,20,21,21,20,21,22,19,19,21,22,20,19,20,20,20,20,19,19,21,20,20,21,19,19,19,17
13,24,24,23,24,25,23,23,24,23,22,23,22,22,21,23,22,21,21,20,21,20,21,23,22,21,20,21,20,20,21,20,21
14,25,25,25,25,24,24,24,24,24,23,23,24,23,23,22,24,23,22,22,22,21,22,22,23,21,22,22,22,21,21,22,22
15,25,25,25,25,23,24,23,24,24,24,23,23,23,23,22,23,22,23,23,21,23,23,23,22,21,21,22,22,21,22,21,23
16,25,24,24,25,26,24,24,23,24,25,24,24,25,24,24,24,24,25,25,25,24,24,26,25,24,26,26,25,24,24,25,24
17,29,28,29,28,27,29,27,27,28,28,28,29,29,29,29,28,27,29,29,29,29,29,29,29,29,30,29,31,31,31,31,31
18,33,34,33,36,34,37,35,35,36,36,35,34,35,34,34,35,35,37,35,36,36,36,36,37,36,36,37,38,37,38,38,39
19,6,6,6,7,6,7,7,7,6,6,6,7,7,7,6,7,6,6,6,6,6,6,6,7,6,7,7,7,7,6,6,7
20,8,8,8,7,7,8,8,6,7,8,8,7,6,7,7,6,6,6,7,6,7,6,7,9,6,8,10,8,6,8,7,7
21,10,126,125,125,125,125,125,125,124,126,124,126,124,126,124,125,124,124,124,125,124,125,126,126,127,125,127,125,123,124,124,125
22,9,126,126,123,125,125,125,126,126,124,127,125,128,127,126,126,126,126,126,126,125,127,125,125,125,125,127,128,125,127,125,126
23,7,6,6,6,7,7,6,7,6,6,7,6,7,7,6,6,6,6,5,6,6,6,6,7,6,7,7,8,7,7,6,7
