,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,110,94,92,107,115,107,95,94,89,93,96,100,91,85,90,81,88,84,87,87,87,88,88,83,83,90,86,77,75,70,81,76
1,125,134,122,135,132,137,123,130,115,126,123,128,121,126,121,125,132,130,131,130,130,135,126,131,122,128,120,118,121,128,130,134
2,52,48,40,64,61,49,52,52,56,51,54,60,47,51,44,46,31,36,38,33,46,64,54,31,37,50,38,42,47,43,47,43
3,33,28,28,31,37,28,30,36,26,27,31,35,40,29,38,32,30,34,34,22,23,33,36,32,43,50,45,49,47,42,50,49
4,35,26,28,27,39,45,33,25,22,23,28,25,28,31,32,22,22,26,28,30,25,31,31,29,34,36,43,34,42,43,48,48
5,43,42,51,40,35,40,27,34,40,36,31,35,38,34,42,43,39,47,39,46,59,50,66,54,58,73,56,52,54,50,53,60
6,65,72,71,70,70,67,73,85,88,73,85,75,87,73,66,84,75,56,72,78,71,74,75,96,92,70,75,89,80,76,80,87
7,84,79,73,85,75,73,77,86,83,80,86,82,83,85,103,114,84,103,96,93,95,90,92,87,74,84,85,86,87,84,89,86
8,76,54,54,45,42,40,54,54,39,51,45,34,33,33,37,52,45,59,59,46,47,50,44,56,52,53,51,54,57,52,48,49
9,67,89,81,79,90,86,75,74,70,71,67,70,65,67,70,63,75,67,66,65,89,67,87,60,62,58,56,54,59,59,57,54
10,62,131,128,132,125,134,127,126,129,124,130,126,123,131,125,129,126,126,129,137,121,137,127,137,131,131,130,130,117,123,128,124
11,66,71,60,71,68,72,64,67,70,67,69,72,71,71,74,70,71,75,73,65,76,69,64,68,70,73,71,64,59,72,72,64
12,69,80,81,70,66,81,88,78,67,74,67,63,79,70,68,78,82,66,84,84,70,75,65,76,76,76,74,75,79,77,83,85
13,70,70,68,59,66,63,74,69,66,65,70,70,79,84,76,83,83,95,79,72,63,62,67,66,70,71,75,61,91,78,87,110
14,73,64,72,71,65,82,93,77,88,73,71,91,92,85,94,81,71,91,68,69,77,67,68,73,96,98,94,70,70,79,73,69
15,80,75,69,80,66,72,72,69,74,73,70,74,82,73,68,66,63,68,71,79,66,73,76,73,75,73,74,82,74,67,72,76
16,70,70,65,60,89,65,94,63,79,66,68,61,59,75,70,60,69,73,66,67,72,67,79,72,73,82,68,63,70,69,69,60
17,61,67,66,62,66,68,63,64,67,70,76,65,60,72,71,69,71,68,69,64,71,77,69,68,76,74,73,74,80,81,76,89
18,72,68,73,72,74,68,75,80,76,81,69,66,70,75,74,68,75,80,73,97,77,89,67,70,76,84,83,84,83,67,81,70
19,73,72,79,73,76,83,73,82,65,72,83,71,78,79,73,67,75,76,72,69,70,71,73,85,79,76,73,93,91,79,63,80
20,95,90,90,102,98,88,89,91,86,84,86,88,88,84,82,83,88,87,87,83,91,86,86,76,80,83,78,76,77,74,67,67
21,83,130,130,130,130,130,134,127,127,123,135,128,130,130,134,130,128,129,129,123,131,126,125,128,130,127,131,131,130,132,130,123
22,50,53,49,52,56,56,48,47,59,41,37,35,35,41,39,31,37,36,35,39,31,36,40,34,32,31,39,42,44,56,48,55
