,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,117,94,95,105,111,110,104,101,98,103,101,100,99,102,102,105,97,113,96,102,113,97,95,104,102,91,96,97,89,95,92,90
1,97,138,145,131,131,126,130,129,129,129,127,134,133,139,129,129,135,126,135,131,132,138,134,144,132,137,126,125,125,130,129,125
2,54,52,53,58,59,57,51,47,44,41,42,53,46,57,47,40,50,44,41,47,72,52,33,38,44,50,40,55,49,50,60,62
3,56,37,50,50,34,34,33,40,41,35,38,36,38,39,42,47,45,29,22,33,27,31,31,34,41,45,55,63,61,51,62,60
4,53,44,41,33,36,37,36,37,31,34,43,39,36,34,32,39,50,36,38,45,42,45,48,50,40,49,48,52,57,64,63,65
5,76,61,78,68,55,54,50,47,63,63,48,50,44,48,54,75,69,50,71,53,59,62,70,71,74,92,70,69,74,67,72,87
6,79,80,76,83,78,87,91,93,99,97,92,91,79,82,87,82,78,87,87,83,84,86,91,83,87,90,94,108,104,95,96,104
7,127,139,126,137,122,148,124,143,129,137,126,130,131,125,140,129,135,132,133,132,128,128,124,132,124,155,119,137,128,131,135,131
8,75,87,92,90,87,94,86,82,77,81,86,83,81,90,84,95,88,80,89,78,81,87,91,90,83,108,107,75,77,101,85,89
9,82,145,128,138,131,126,133,126,130,130,131,129,128,127,127,131,133,129,129,135,129,141,133,134,124,125,123,127,125,127,127,131
10,77,78,113,106,79,73,82,86,80,78,95,82,86,81,75,77,80,83,87,89,84,90,82,80,94,84,72,87,95,97,89,85
11,93,92,88,99,89,89,93,87,100,85,79,92,98,92,83,82,100,113,98,85,85,90,92,95,94,98,95,94,93,98,93,99
12,61,131,137,129,138,133,125,132,132,133,125,138,126,136,128,138,142,133,133,138,150,128,166,119,139,129,131,133,131,130,125,121
13,82,82,79,82,75,81,84,78,85,86,87,101,84,93,101,83,86,109,115,107,114,97,85,105,77,87,85,84,87,92,112,117
14,81,79,94,87,93,93,99,92,86,97,87,101,99,87,79,100,99,103,97,100,88,83,91,76,85,85,81,85,85,89,77,86
15,132,129,125,134,126,129,128,123,129,128,132,131,133,131,132,129,128,132,123,122,134,124,123,121,121,127,126,131,131,142,132,135
16,98,87,90,87,97,116,95,74,69,80,101,94,91,89,81,76,85,73,76,82,84,87,86,85,95,89,84,85,82,85,88,85
17,89,85,96,90,96,108,94,105,84,100,99,102,103,95,85,88,95,90,87,80,81,82,100,104,100,92,92,110,110,95,80,98
18,107,123,138,128,130,134,130,143,126,132,131,132,140,141,133,140,129,132,133,130,133,138,133,134,133,135,130,134,132,131,131,129
19,90,86,90,95,91,87,85,81,80,82,85,88,78,76,79,70,70,65,71,74,68,75,70,81,90,71,64,66,67,61,64,63
20,68,58,57,78,74,63,65,66,68,63,62,74,62,62,52,60,45,46,47,43,55,73,68,39,44,64,41,52,56,55,58,50
21,38,35,40,40,44,39,32,51,33,32,41,41,50,40,53,48,34,45,43,36,30,40,41,36,49,59,61,58,56,64,58,54
22,37,36,42,35,43,47,43,37,25,32,31,36,36,47,37,28,27,41,46,41,45,40,41,43,41,38,46,42,60,56,65,63
