,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,104,93,102,122,113,101,103,92,93,99,108,103,91,93,91,95,92,88,92,93,84,87,81,82,85,86,79,76,78,84,78,94
1,80,86,80,82,104,80,98,81,73,86,77,76,75,73,76,71,67,70,79,79,71,68,72,80,78,79,76,68,63,63,54,56
2,61,63,57,47,75,76,58,50,56,46,45,54,47,46,42,46,45,54,52,55,47,47,48,55,53,48,58,45,51,61,53,53
3,39,29,33,30,29,37,33,36,31,28,27,27,25,25,26,38,29,30,39,28,27,30,31,28,25,27,31,33,32,44,48,43
4,37,31,28,35,31,40,27,37,31,25,24,37,23,28,38,26,31,22,41,34,28,41,34,29,35,49,49,50,45,62,66,49
5,36,33,34,26,41,31,42,27,34,40,42,39,37,36,34,35,36,41,40,46,34,42,49,42,51,56,51,52,64,56,67,69
6,59,63,62,58,64,63,45,54,57,49,52,63,54,63,57,61,62,58,56,73,57,62,78,67,65,76,67,74,67,72,77,78
7,82,82,78,85,71,70,69,79,83,89,98,83,77,76,88,72,87,82,80,84,79,69,79,79,75,78,82,77,74,81,87,86
8,72,74,71,66,72,72,71,81,83,79,70,70,68,66,64,67,69,81,75,77,76,85,84,88,84,83,77,69,82,89,77,85
9,81,77,73,64,66,81,78,84,92,80,82,78,78,79,80,107,79,76,81,75,100,90,70,76,82,84,78,91,80,95,76,68
10,132,129,132,134,131,132,136,134,138,132,132,135,135,135,132,127,134,139,137,139,130,125,132,128,155,123,132,126,133,130,126,133
11,71,68,76,78,77,74,77,86,72,66,61,66,71,64,67,73,74,76,79,77,81,93,88,89,88,70,71,68,71,68,72,74
12,86,69,64,73,83,78,71,91,76,72,84,73,76,70,72,69,75,64,72,75,64,79,72,72,69,65,68,74,71,63,72,67
13,97,91,89,92,94,95,101,89,92,103,98,102,110,93,80,84,82,88,92,97,98,90,72,77,72,72,75,75,82,77,80,82
14,127,121,118,116,119,120,116,120,115,108,110,107,117,112,117,115,120,119,116,118,112,113,113,133,134,107,107,255,255,255,255,255
15,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
16,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
17,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
18,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
19,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
20,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
21,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
22,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
23,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
