,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,105,89,91,94,113,110,105,95,90,83,98,91,94,83,78,75,81,83,87,84,90,83,84,84,76,75,78,72,72,66,76,71
1,68,71,64,57,62,61,65,57,64,71,73,79,66,59,65,84,62,78,63,67,68,73,69,68,68,74,83,118,118,91,87,78
2,61,130,127,125,132,130,129,132,132,127,132,124,129,128,128,129,131,138,126,141,135,135,137,138,137,123,129,123,131,123,129,132
3,30,30,27,30,34,26,29,35,25,29,29,28,46,33,40,32,30,35,30,26,21,26,34,36,47,45,53,54,43,40,51,48
4,34,31,34,26,37,43,35,28,24,28,36,32,30,32,29,27,24,38,39,28,26,31,32,37,34,34,39,36,39,40,51,45
5,38,48,56,42,41,49,29,37,42,37,34,41,42,37,38,41,41,47,39,30,45,46,68,45,51,75,48,44,54,53,48,52
6,65,74,72,67,61,64,66,80,84,64,78,79,80,62,61,76,69,55,56,77,61,65,66,90,84,72,77,83,81,75,76,74
7,80,75,68,77,68,70,66,78,79,73,75,70,71,79,98,107,78,101,93,88,79,81,85,81,76,87,76,83,78,78,72,78
8,124,74,64,76,96,96,69,70,69,58,62,79,87,69,62,59,69,85,74,76,75,62,57,61,69,74,60,68,77,66,55,64
9,52,129,124,133,128,141,121,128,127,117,142,131,135,137,128,151,129,149,131,135,131,132,130,129,117,123,114,128,126,133,129,128
10,69,64,81,73,67,72,64,60,67,67,53,66,68,93,81,67,66,71,62,73,65,63,73,65,70,64,58,61,64,58,61,57
11,71,71,67,75,70,70,58,65,65,67,64,63,65,71,74,66,76,74,70,67,72,66,66,68,67,77,72,55,52,73,68,59
12,64,72,67,68,67,79,84,72,62,68,63,59,74,65,56,70,69,57,84,85,59,62,64,70,67,71,69,74,83,74,76,80
13,65,65,66,62,72,60,60,60,58,63,73,71,74,75,71,76,91,100,68,59,59,52,55,60,60,72,80,60,88,72,91,112
14,135,122,133,125,136,126,123,127,127,128,127,128,125,133,127,130,126,131,133,133,129,136,128,129,129,128,125,127,129,125,151,125
15,70,70,79,87,80,77,68,62,62,70,55,50,64,73,76,66,63,61,61,66,92,76,96,65,71,77,77,71,68,76,70,70
16,60,64,67,66,69,66,79,70,77,68,68,68,75,68,95,72,99,79,55,70,59,59,78,62,65,77,73,77,73,63,69,61
17,65,77,63,66,61,60,65,60,61,65,64,81,57,72,79,70,73,65,68,61,62,66,62,61,65,72,65,63,62,65,69,72
18,69,70,76,77,83,83,71,87,65,71,80,75,79,70,62,66,72,70,64,62,64,64,70,84,74,74,76,89,89,75,56,73
19,102,91,84,100,107,99,98,91,79,83,92,93,84,80,81,77,84,83,85,86,82,75,75,79,72,76,78,68,65,67,67,73
20,130,133,142,136,138,129,137,118,126,127,120,139,127,123,129,128,131,136,132,131,131,128,130,129,131,139,134,142,134,130,129,121
21,50,135,129,127,135,124,136,130,132,136,128,136,127,128,115,125,120,134,125,140,132,126,127,126,130,127,127,140,130,144,125,141
22,29,21,26,23,25,36,40,29,28,42,51,28,58,42,20,25,35,32,24,28,31,47,46,31,38,30,46,34,51,48,38,38
