,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,35,36,29,36,43,34,29,34,26,28,33,32,28,27,28,26,29,25,28,27,25,23,24,23,25,24,22,16,19,19,20,18
1,28,30,25,24,26,21,22,21,23,20,16,13,18,20,15,33,30,13,15,16,13,9,11,21,23,13,10,16,17,12,7,4
2,138,137,126,134,129,134,126,128,133,126,135,127,132,135,130,140,128,126,127,126,127,127,128,128,127,130,127,133,125,131,124,136
3,,1,,,,,,,,,1,5,3,2,5,6,5,1,,,,2,1,1,1,1,2,1,1,,1,2
4,125,129,128,128,128,132,127,131,127,127,134,125,137,127,127,127,128,128,128,128,129,128,128,131,128,131,128,128,126,130,126,135
5,3,3,1,,,,,,4,1,2,3,1,,1,,,3,3,3,6,1,4,4,2,4,2,3,8,19,12,23
6,130,138,123,142,134,132,138,127,135,127,129,127,131,128,128,139,132,137,130,132,121,125,120,124,128,127,128,128,126,128,132,152
7,15,16,17,20,19,17,17,12,21,20,23,16,27,22,26,19,24,27,15,16,26,24,21,25,23,23,26,24,21,27,23,31
8,18,17,17,16,18,19,22,21,23,25,25,18,16,15,16,18,15,19,16,16,17,19,17,13,14,21,18,19,33,19,35,21
9,11,9,12,15,12,12,17,12,15,16,31,18,16,25,15,18,15,14,14,25,23,16,16,18,15,23,16,13,13,16,16,13
10,25,18,23,20,18,16,10,12,7,10,10,8,12,14,12,19,14,13,13,8,14,9,10,15,16,18,15,19,20,8,10,10
11,121,130,125,123,127,123,123,147,121,138,121,150,118,123,124,120,128,125,128,128,133,128,134,126,133,120,131,128,130,127,127,127
12,11,20,20,16,15,11,20,14,15,26,18,21,30,18,21,16,16,22,19,18,22,16,15,17,22,26,18,18,14,22,31,25
13,18,15,17,9,6,7,17,15,14,23,17,12,18,17,15,17,15,15,11,15,21,19,14,15,15,18,19,18,17,20,22,19
14,10,18,35,16,37,12,18,17,10,16,10,11,17,18,16,19,18,22,20,17,12,22,18,15,16,14,17,21,20,15,14,15
15,17,18,26,18,20,13,18,16,14,12,13,12,17,11,10,14,31,21,14,18,19,13,16,16,14,11,16,12,12,13,14,11
16,22,21,14,13,14,16,13,16,16,14,23,16,14,12,27,18,25,14,18,11,16,13,15,16,14,15,14,14,18,21,15,12
17,18,17,12,14,24,19,14,12,11,11,14,7,11,13,17,19,17,16,16,9,13,10,14,24,16,14,15,23,11,18,16,17
18,15,15,24,23,19,19,22,14,16,16,21,21,15,14,11,19,20,13,9,10,15,16,23,23,15,21,19,18,16,12,19,20
19,20,19,22,24,24,28,19,25,13,19,22,20,22,19,14,16,20,14,15,14,12,14,17,18,17,17,22,28,30,19,9,20
20,38,31,27,34,36,34,32,28,25,29,34,30,26,23,23,24,28,26,29,25,32,27,25,20,22,20,20,15,17,15,20,19
21,23,29,25,27,23,20,24,21,21,20,16,14,20,20,15,28,27,11,9,12,12,15,14,19,21,15,12,16,19,10,7,7
22,134,133,128,132,127,135,125,132,127,128,127,127,126,132,130,136,129,128,128,127,129,127,128,129,126,130,126,130,125,132,122,135
23,92,84,95,94,101,102,82,95,82,85,103,94,108,96,91,85,88,86,81,80,78,86,99,104,87,89,96,102,111,92,79,97
