,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,5,5,5,6,7,6,6,6,5,6,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,6,6,7,7,6,5,7
1,5,64,127,127,126,128,127,127,129,129,129,128,127,128,127,130,128,131,128,131,127,128,127,128,127,128,128,129,129,128,129,129
2,128,129,129,129,126,130,127,128,127,128,127,129,124,125,122,126,130,62,65,129,127,128,127,127,128,129,129,128,127,129,127,127
3,130,128,128,128,128,128,127,127,128,127,128,127,127,127,126,126,129,127,130,128,129,130,128,128,130,130,130,129,128,128,128,128
4,5,6,5,6,5,5,6,6,6,6,5,5,5,5,5,6,7,5,7,7,6,6,7,6,5,5,6,5,5,5,6,6
5,5,129,129,130,128,128,129,127,128,128,131,127,129,128,127,128,127,126,128,127,127,127,128,128,127,127,128,128,129,128,131,128
6,6,6,6,6,4,6,6,7,5,7,7,7,6,7,5,6,6,6,7,6,6,6,7,7,6,6,7,7,6,6,6,7
7,5,7,7,8,7,6,7,7,7,7,6,7,8,7,8,8,8,8,8,9,8,8,9,8,9,8,7,8,8,7,7,8
8,8,126,127,127,128,127,127,126,127,128,128,128,128,128,126,127,127,128,128,128,127,128,128,130,128,130,128,127,128,128,128,128
9,8,8,8,8,8,9,9,9,9,9,9,9,9,9,8,8,7,10,8,8,8,9,8,9,9,8,9,10,8,9,8,10
10,8,126,128,127,130,127,130,128,128,128,129,128,128,127,131,127,132,126,129,126,128,63,64,128,128,128,128,126,127,126,126,127
11,9,8,8,8,9,9,9,8,8,9,9,8,9,8,9,9,8,8,7,8,7,8,8,8,9,9,7,7,8,7,7,7
12,10,127,126,129,126,128,128,127,128,128,127,128,129,128,128,129,127,127,127,129,128,130,127,129,128,129,126,126,128,127,127,127
13,9,9,10,10,9,10,8,9,10,8,9,9,9,9,10,10,10,9,9,11,10,9,9,9,9,10,10,9,10,9,9,9
14,9,10,9,10,9,10,9,10,10,11,10,11,10,10,9,10,10,10,10,10,10,10,10,10,10,9,10,9,10,9,12,9
15,9,9,11,10,9,10,10,10,11,11,10,10,11,11,9,10,9,10,10,10,10,10,9,9,11,10,9,10,10,10,10,10
16,10,10,10,10,11,11,11,11,10,12,11,12,12,9,11,13,12,11,11,10,10,10,10,10,10,11,10,10,10,10,10,11
17,10,10,10,11,11,11,10,11,11,11,9,11,11,11,11,10,12,13,11,10,10,11,11,10,11,11,12,11,11,12,11,11
18,11,11,11,11,11,12,12,12,11,12,10,11,11,12,12,12,12,11,12,14,13,14,12,11,10,11,11,12,13,10,11,11
19,12,11,11,11,11,12,11,12,12,12,13,11,11,11,11,11,11,10,12,11,12,10,10,11,11,12,11,11,12,11,12,13
20,12,13,12,12,12,12,12,12,11,11,13,12,10,12,11,11,11,11,11,11,12,11,11,12,12,12,13,12,12,12,12,12
21,5,6,7,7,7,6,6,7,5,6,6,6,7,6,6,6,6,5,5,5,5,5,5,7,6,7,6,8,8,6,5,7
22,6,9,7,6,6,7,8,6,6,6,7,6,7,5,7,6,7,6,6,5,5,6,6,6,6,6,7,5,6,4,5,8
