,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,7,9,9,10,9,10,9,10,12,13,10,9,11,10,11,9,15,10,9,14,10,10,10,9,11,10,6,8,8,6,7,6
1,131,124,126,127,129,128,131,128,128,125,129,124,126,127,123,127,128,128,127,129,126,129,129,124,134,124,131,126,133,128,130,129
2,5,4,2,3,4,4,3,2,3,3,3,3,3,4,4,1,2,1,2,3,5,4,3,1,3,2,2,3,1,6,6,2
3,1,5,1,,,,1,,,1,1,2,1,3,3,3,3,3,4,6,6,5,6,5,7,6,9,9,9,10,7,7
4,,1,,,1,,1,,2,,,1,,1,,,1,5,2,,,,,2,2,2,1,,2,1,1,1
5,126,127,127,128,129,129,128,127,126,126,127,127,127,127,128,127,129,128,130,130,130,131,129,128,127,128,128,127,124,123,124,125
6,1,8,8,9,7,9,10,9,13,13,11,11,10,8,9,8,7,8,8,8,9,9,6,9,7,6,7,6,4,4,4,6
7,1,2,2,3,2,3,5,2,3,4,3,3,2,2,4,2,3,3,3,3,4,3,1,5,4,4,5,5,7,4,7,7
8,3,7,7,5,7,5,6,6,8,8,8,7,9,8,9,11,8,8,8,8,9,8,8,10,8,9,9,10,10,11,13,10
9,5,6,8,9,7,8,7,6,7,6,6,5,9,7,9,8,8,9,5,6,10,7,7,8,10,8,8,9,10,10,8,9
10,8,8,7,7,6,8,10,8,9,8,9,9,8,7,9,8,9,7,7,8,6,9,9,8,9,7,8,8,8,8,9,9
11,7,9,8,9,7,5,5,7,6,7,8,8,7,8,9,5,4,6,7,6,5,6,5,7,6,5,5,7,6,5,7,6
12,125,128,128,126,129,128,126,125,129,127,128,128,127,124,120,128,126,128,127,129,127,128,123,121,123,124,125,126,128,126,133,127
13,4,124,125,125,124,124,125,125,131,125,132,125,129,128,129,126,129,123,126,122,126,124,127,130,130,127,127,124,124,123,126,122
14,5,6,5,5,7,8,6,6,8,5,9,9,4,7,8,11,9,6,10,6,5,6,5,6,8,8,7,9,6,6,6,5
15,7,7,7,5,7,6,7,6,7,6,5,4,7,5,6,7,7,7,4,5,6,4,6,6,5,5,5,4,4,5,6,4
16,8,6,7,6,7,6,6,9,8,11,9,9,7,8,9,8,10,9,10,10,12,8,11,10,12,13,10,12,12,13,40,6
17,5,4,5,6,5,5,7,6,6,8,4,5,9,7,5,5,7,7,5,7,8,5,7,7,3,4,6,5,6,7,4,6
18,6,127,127,127,127,126,125,125,127,126,127,127,126,126,127,129,128,127,127,126,126,127,127,124,127,128,126,128,130,127,129,126
19,7,6,6,8,7,9,8,7,6,10,9,7,9,7,5,6,5,6,7,5,4,5,4,7,5,7,8,7,8,7,5,5
20,125,128,128,125,129,127,126,128,126,125,129,128,127,130,130,131,125,131,127,128,130,127,125,127,123,124,123,124,127,129,128,128
21,6,4,6,5,8,11,7,3,3,6,9,7,8,5,5,4,7,5,4,6,7,7,7,6,7,7,5,4,6,6,7,6
22,9,7,9,8,11,12,7,13,6,9,11,8,10,10,9,9,9,8,6,6,6,5,7,11,9,7,7,13,12,9,4,9
