,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,5,5,5,6,6,6,5,6,5,5,6,6,6,5,5,5,5,5,5,4,4,4,6,6,6,6,5,7,7,5,5,6
1,6,35,5,5,5,4,5,6,4,5,5,6,5,6,6,5,5,6,6,6,4,5,5,5,6,4,5,5,4,5,5,5
2,6,128,127,128,127,128,129,128,129,128,128,129,128,127,130,127,130,127,126,127,128,129,129,127,128,128,127,129,127,127,129,127
3,6,5,5,5,5,7,5,6,6,6,7,5,6,5,6,6,5,5,5,6,7,6,6,6,7,7,7,6,6,7,6,5
4,6,128,127,126,126,130,127,130,130,129,129,128,128,128,129,129,131,128,130,127,128,127,128,127,128,128,127,129,128,129,128,127
5,6,5,4,5,5,5,7,6,5,6,6,5,6,5,6,6,7,6,6,7,6,6,6,7,5,5,6,5,5,5,7,6
6,6,129,131,129,131,128,129,128,128,129,127,128,127,130,128,129,129,129,128,128,127,128,127,127,127,128,128,127,126,129,128,130
7,8,6,5,6,6,7,6,7,5,6,7,7,6,6,6,6,6,7,6,7,6,6,6,7,6,7,8,7,6,6,7,7
8,6,6,6,6,8,7,7,7,6,7,6,7,7,8,7,6,8,7,8,7,8,8,8,9,8,8,8,10,8,7,8,8
9,126,7,7,6,8,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,8,6,7,7,6,7,6,7,7,7,7,7
10,7,8,8,8,9,8,7,9,10,8,10,9,8,8,7,8,8,9,8,8,7,8,8,8,9,7,8,7,8,8,8,7
11,8,126,127,127,128,130,126,130,128,129,129,128,129,128,130,129,129,128,128,129,128,129,130,127,128,130,130,127,129,128,130,131
12,9,9,8,9,8,8,9,10,9,11,10,8,10,9,9,8,10,8,9,10,10,9,9,9,9,9,9,9,9,10,9,8
13,10,8,9,9,9,10,9,9,9,8,9,9,11,9,8,10,9,8,9,7,8,10,8,8,10,10,9,11,9,9,10,10
14,9,131,128,130,127,129,128,129,128,129,128,128,127,129,128,127,127,130,127,128,129,130,128,128,127,132,128,129,129,128,126,127
15,11,9,9,10,10,10,9,9,11,10,11,12,10,10,11,12,10,9,11,10,9,10,10,10,11,10,10,10,9,10,10,9
16,10,9,9,10,9,10,10,10,9,9,9,10,10,10,11,10,9,10,10,12,9,10,10,10,10,9,8,9,9,10,10,10
17,10,127,126,128,127,128,126,130,126,128,127,128,126,128,128,127,128,127,129,129,128,128,128,127,127,131,127,132,128,131,129,127
18,10,10,9,11,11,11,9,10,12,12,10,11,10,10,11,10,10,10,11,11,10,11,12,9,13,13,12,12,12,12,11,11
19,128,130,128,129,128,128,131,128,127,129,128,129,129,128,127,127,126,126,128,128,127,126,127,127,127,127,129,129,129,129,128,129
20,10,10,10,10,13,12,12,12,11,11,12,11,11,11,12,11,11,11,11,10,11,10,12,11,11,11,11,12,12,10,11,11
21,12,12,12,11,11,12,13,12,11,11,12,12,12,12,12,11,12,11,10,10,11,13,12,13,11,13,13,12,11,11,13,14
22,6,6,5,6,7,7,6,6,5,6,7,6,7,6,6,5,6,6,5,5,5,4,5,6,6,6,6,8,7,6,5,6
23,6,5,6,7,7,6,6,7,5,6,7,6,6,6,5,5,6,5,5,5,5,6,6,7,6,6,6,7,7,6,5,5
