,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,113,111,108,130,106,108,101,113,102,105,110,99,97,97,97,101,103,106,112,111,105,108,106,99,113,108,113,87,87,87,83,95
1,97,95,76,79,75,78,77,99,104,77,73,62,81,79,84,89,85,83,79,68,62,61,80,82,67,56,52,58,82,81,62,53
2,57,66,54,50,56,39,40,33,35,41,33,33,38,24,30,33,38,36,40,27,28,33,35,33,38,53,40,50,57,62,62,50
3,20,25,23,22,20,21,26,17,17,25,23,40,33,27,32,48,43,24,28,21,28,35,28,29,33,42,34,32,39,42,36,44
4,24,27,20,13,18,23,21,21,16,23,24,23,32,34,26,28,17,24,37,27,34,42,39,34,26,24,26,37,37,53,50,52
5,51,47,41,36,38,29,32,28,30,31,49,31,41,52,38,37,26,38,36,35,48,43,44,47,58,61,68,57,45,62,62,68
6,91,78,58,73,87,92,74,76,61,67,68,71,76,79,90,74,65,85,82,78,85,94,90,74,87,91,116,129,119,96,97,112
7,68,96,99,98,92,97,94,86,101,88,93,91,88,87,86,83,86,84,85,77,77,90,93,79,76,88,81,81,66,63,64,102
8,85,105,96,101,102,123,133,97,90,102,92,98,94,93,91,92,100,85,106,97,96,85,88,87,103,91,86,102,103,100,112,93
9,79,88,86,74,83,82,94,82,87,95,98,87,112,108,80,89,91,79,73,75,83,84,71,74,83,79,70,83,92,133,123,80
10,87,131,128,129,125,129,126,127,128,137,139,123,110,120,127,129,123,130,115,120,120,124,128,135,125,132,137,131,137,62,65,133
11,78,126,123,124,132,126,147,109,140,115,129,127,133,127,120,135,140,120,128,106,117,117,133,133,130,123,127,122,143,132,132,121
12,79,116,139,117,121,127,102,126,134,133,142,138,132,131,122,127,85,130,124,153,152,135,126,140,128,137,144,139,136,140,128,140
13,87,71,88,87,74,80,88,82,73,90,89,70,92,80,75,91,87,84,76,71,89,121,99,76,85,99,74,86,83,73,83,81
14,88,77,88,86,81,94,89,81,91,84,84,84,70,68,75,66,80,80,75,74,69,87,76,69,90,94,73,80,84,72,82,82
15,70,105,78,78,101,75,72,78,68,70,86,76,65,84,84,67,73,71,81,82,75,75,89,70,71,79,73,74,83,74,81,84
16,80,94,103,87,112,113,98,94,94,93,88,109,116,109,103,95,91,91,108,111,107,120,105,98,88,97,95,97,94,93,97,90
17,76,72,77,82,77,69,83,91,76,96,80,84,79,83,85,68,70,80,80,102,89,110,84,80,88,92,102,86,105,82,92,77
18,64,60,59,66,81,76,62,77,59,68,78,72,78,68,67,65,64,65,64,59,59,63,63,64,61,75,71,85,87,73,58,64
19,98,86,78,90,110,98,81,86,78,77,83,87,83,75,82,70,70,72,75,72,83,74,75,73,75,74,78,66,67,59,72,64
20,68,72,73,67,62,66,72,57,84,81,54,56,64,63,54,55,64,69,58,54,64,69,58,47,45,48,51,53,44,50,57,58
21,53,50,49,41,38,45,38,47,43,27,34,38,32,37,32,27,27,24,41,33,33,38,29,33,30,36,33,37,39,44,41,29
22,34,22,30,25,23,23,18,26,27,16,20,18,11,9,19,18,13,21,16,16,17,22,25,28,15,16,20,22,24,22,36,30
23,65,58,64,60,67,71,63,71,56,66,73,71,74,65,63,53,61,57,54,50,56,59,67,65,65,65,68,77,78,67,53,66
