,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.00,-0.00,0.00,-25.50,45.25,4.94,-3.60,2.11,8.79,0.17,0.14,-0.31,0.92,212539
1,0.00,-0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,212579
2,0.00,-0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,212617
3,0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,212657
4,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,212697
5,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,212737
6,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.60,2.11,8.79,0.17,0.14,-0.31,0.92,212777
7,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,212815
8,0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,212855
9,0.00,0.00,0.00,-25.50,45.25,4.94,-3.60,2.11,8.79,0.17,0.14,-0.31,0.92,212894
10,0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,212934
11,0.00,0.00,0.00,-25.50,45.25,4.94,-3.60,2.11,8.75,0.17,0.14,-0.31,0.92,212973
12,0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,213010
13,0.00,0.00,-0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,213049
14,0.00,0.00,-0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,213090
15,0.00,0.00,-0.00,-25.50,45.25,4.94,-3.60,2.11,8.79,0.17,0.14,-0.31,0.92,213129
16,0.00,0.00,-0.00,-25.50,45.25,4.94,-3.56,2.07,8.75,0.17,0.14,-0.31,0.92,213167
17,0.00,0.00,-0.00,-25.50,45.25,4.94,-3.56,2.07,8.75,0.17,0.14,-0.31,0.92,213207
18,0.00,0.00,-0.00,-25.50,45.25,4.94,-3.60,2.11,8.79,0.17,0.14,-0.31,0.92,213248
19,0.00,-0.00,0.00,-25.50,45.25,4.94,-3.60,2.11,8.79,0.17,0.14,-0.31,0.92,213287
20,0.00,-0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,213327
21,0.00,-0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,213365
22,0.00,-0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,213405
23,0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,213445
24,0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,213484
25,0.00,0.00,0.00,-25.50,45.25,4.94,-3.60,2.11,8.75,0.17,0.14,-0.31,0.92,213524
26,0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,213561
27,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,213600
28,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.60,2.11,8.75,0.17,0.14,-0.31,0.92,213640
29,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.75,0.17,0.14,-0.31,0.92,213679
30,-0.00,0.00,0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,213716
31,-0.00,-0.00,-0.00,-25.50,45.25,4.94,-3.56,2.11,8.79,0.17,0.14,-0.31,0.92,213756
