,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.16,0.45,0.26,-8.06,7.63,21.25,4.55,-1.83,8.75,-0.07,-0.60,-0.41,0.68,464952
1,0.27,0.39,0.24,-8.06,7.63,21.25,4.40,-2.02,7.67,-0.07,-0.60,-0.41,0.68,465070
2,0.27,0.39,0.24,-8.06,7.63,21.25,4.40,-1.71,9.40,-0.07,-0.60,-0.41,0.68,465110
3,0.27,0.39,0.24,-8.06,7.63,21.25,3.52,-1.98,8.29,-0.07,-0.60,-0.41,0.68,465150
4,0.27,0.39,0.24,-8.06,7.63,21.25,2.14,-1.83,7.67,-0.07,-0.60,-0.41,0.68,465190
5,0.27,0.39,0.24,-8.06,7.63,21.25,3.40,-2.13,8.75,-0.07,-0.60,-0.41,0.68,465228
6,0.30,0.13,-0.36,-8.06,7.63,21.25,3.40,-2.13,8.75,-0.07,-0.60,-0.41,0.68,465269
7,0.68,0.29,-0.57,-8.06,7.63,21.25,3.40,-2.13,8.75,-0.07,-0.60,-0.41,0.68,465310
8,0.68,0.29,-0.57,-8.06,7.63,21.25,4.82,-1.52,10.16,-0.07,-0.60,-0.41,0.68,465350
9,0.68,0.29,-0.57,-8.06,7.63,21.25,4.32,-1.52,8.75,-0.07,-0.60,-0.41,0.68,465391
10,0.68,0.29,-0.57,-8.06,7.63,21.25,3.86,-1.52,8.36,-0.07,-0.60,-0.41,0.68,465430
11,1.09,-0.06,0.28,-8.06,7.63,21.25,3.86,-1.52,8.36,-0.07,-0.60,-0.41,0.68,465470
12,0.32,0.14,-0.18,-8.06,7.63,21.25,3.86,-1.52,8.36,-0.07,-0.60,-0.41,0.68,465511
13,0.32,0.14,-0.18,-8.06,7.63,21.25,3.36,-0.37,8.90,-0.07,-0.60,-0.41,0.68,465552
14,0.32,0.14,-0.18,-8.06,7.63,21.25,2.83,0.05,9.86,-0.07,-0.60,-0.41,0.68,465593
15,0.32,0.14,-0.18,-8.06,7.63,21.25,1.91,0.36,8.59,-0.07,-0.60,-0.41,0.68,465631
16,0.36,0.22,-0.04,-8.06,7.63,21.25,1.91,0.36,8.59,-0.07,-0.60,-0.41,0.68,465671
17,0.36,0.22,-0.04,-8.06,7.63,21.25,2.37,0.05,9.63,-0.07,-0.60,-0.41,0.68,465712
18,0.20,0.18,-0.15,-8.06,7.63,21.25,2.37,0.05,9.63,-0.07,-0.60,-0.41,0.68,465752
19,0.20,0.18,-0.15,-8.06,7.63,21.25,2.94,0.13,8.75,-0.07,-0.60,-0.41,0.68,465790
20,0.20,0.18,-0.15,-8.06,7.63,21.25,2.29,0.55,9.28,-0.07,-0.60,-0.41,0.68,465829
21,-0.07,-0.07,-0.10,-8.06,7.63,21.25,2.29,0.55,9.28,-0.07,-0.60,-0.41,0.68,465869
22,0.13,0.11,-0.05,-8.06,7.63,21.25,2.29,0.55,9.28,-0.07,-0.60,-0.41,0.68,465909
23,0.13,0.11,-0.05,-8.06,7.63,21.25,2.21,0.74,9.36,-0.07,-0.60,-0.41,0.68,465948
24,0.13,0.11,-0.05,-8.06,7.63,21.25,2.02,0.86,9.97,-0.07,-0.60,-0.41,0.68,465988
25,0.13,0.11,-0.05,-8.06,7.63,21.25,2.44,0.89,9.74,-0.07,-0.60,-0.41,0.68,466027
26,0.16,-0.20,-0.02,-8.06,7.63,21.25,2.44,0.89,9.74,-0.07,-0.60,-0.41,0.68,466065
27,0.16,-0.20,-0.02,-8.06,7.63,21.25,2.41,1.09,9.09,-0.07,-0.60,-0.41,0.68,466105
28,0.16,-0.20,-0.02,-8.06,7.63,21.25,3.25,1.05,9.43,-0.07,-0.60,-0.41,0.68,466145
29,0.16,-0.20,-0.02,-8.06,7.63,21.25,2.48,1.39,9.40,-0.07,-0.60,-0.41,0.68,466185
30,0.16,-0.20,-0.02,-17.19,29.69,15.88,2.48,1.39,9.40,-0.07,-0.60,-0.41,0.68,466224
31,0.16,-0.03,-0.00,-17.19,29.69,15.88,2.48,1.39,9.40,-0.07,-0.60,-0.41,0.68,466265
32,0.16,-0.03,-0.00,-17.19,29.69,15.88,2.02,1.54,9.17,-0.07,-0.60,-0.41,0.68,466307
33,0.16,-0.03,-0.00,-17.19,29.69,15.88,2.44,1.73,9.66,-0.07,-0.60,-0.41,0.68,466348
34,0.16,-0.03,-0.00,-17.19,29.69,15.88,2.14,1.77,9.43,-0.07,-0.60,-0.41,0.68,466388
