,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,1.36,-0.81,-0.04,-7.94,-33.69,-17.63,-2.02,-6.73,4.87,0.04,0.07,-0.12,0.99,358567
1,3.91,-0.41,-0.08,-7.94,-33.69,-17.63,-2.02,-6.73,4.87,0.04,0.07,-0.12,0.99,358609
2,3.91,-0.41,-0.08,-7.94,-33.69,-17.63,-3.05,-2.44,5.91,0.04,0.07,-0.12,0.99,358652
3,3.45,0.85,0.15,-7.94,-33.69,-17.63,-3.05,-2.44,5.91,0.04,0.07,-0.12,0.99,358693
4,3.45,0.85,0.15,-7.94,-33.69,-17.63,-2.82,-0.83,12.88,0.04,0.07,-0.12,0.99,358734
5,3.45,0.85,0.15,-7.94,-33.69,-17.63,-4.43,-0.56,10.04,0.04,0.07,-0.12,0.99,358773
6,1.35,0.32,-0.32,-7.94,-33.69,-17.63,-4.43,-0.56,10.04,0.04,0.07,-0.12,0.99,358814
7,0.24,0.07,0.01,-7.94,-33.69,-17.63,-4.43,-0.56,10.04,0.04,0.07,-0.12,0.99,358856
8,0.24,0.07,0.01,-7.94,-33.69,-17.63,-3.20,-0.64,12.07,0.04,0.07,-0.12,0.99,358897
9,0.24,0.07,0.01,-7.94,-33.69,-17.63,-3.39,-1.09,11.42,0.04,0.07,-0.12,0.99,358938
10,0.24,0.07,0.01,-7.94,-33.69,-17.63,-2.97,-0.98,11.92,0.04,0.07,-0.12,0.99,358980
11,0.24,0.07,0.01,-7.94,-33.69,-17.63,-2.40,-1.94,11.73,0.04,0.07,-0.12,0.99,359020
12,-2.74,-1.29,-0.28,-7.94,-33.69,-17.63,-2.40,-1.94,11.73,0.04,0.07,-0.12,0.99,359062
13,-2.45,0.20,0.19,-7.94,-33.69,-17.63,-2.40,-1.94,11.73,0.04,0.07,-0.12,0.99,359104
14,-2.45,0.20,0.19,-7.94,-33.69,-17.63,-2.21,-5.43,6.37,0.04,0.07,-0.12,0.99,359145
15,-2.45,0.20,0.19,-7.94,-33.69,-17.63,-2.17,-6.07,5.56,0.04,0.07,-0.12,0.99,359186
16,-2.45,0.20,0.19,-7.94,-33.69,-17.63,-2.44,-6.73,5.56,0.04,0.07,-0.12,0.99,359227
17,-2.45,0.20,0.19,-7.94,-33.69,-17.63,-2.82,-6.92,3.84,0.04,0.07,-0.12,0.99,359266
18,-1.65,0.38,-0.15,-7.94,-33.69,-17.63,-2.82,-6.92,3.84,0.04,0.07,-0.12,0.99,359309
