,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.00,0.00,0.00,-11.38,-31.69,-15.69,-1.32,0.59,9.89,0.04,0.07,-0.12,0.99,332653
1,0.00,0.00,0.00,-11.38,-31.69,-15.69,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,332693
2,0.00,0.00,0.00,-11.38,-31.69,-15.69,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,332733
3,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,332772
4,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,332813
5,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,332853
6,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,332894
7,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,332934
8,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,332973
9,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,333012
10,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333052
11,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,333092
12,0.00,0.00,0.00,-11.63,-30.88,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333132
13,0.00,0.00,0.00,-11.25,-30.00,-17.31,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333172
14,0.00,0.00,0.00,-11.25,-30.00,-17.31,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333212
15,0.00,0.00,0.00,-11.25,-30.00,-17.31,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333252
16,0.00,0.00,0.00,-11.25,-30.00,-17.31,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333293
17,0.00,0.00,0.00,-11.25,-30.00,-17.31,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333333
18,0.00,0.00,0.00,-10.94,-30.81,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333373
19,0.00,0.00,0.00,-10.94,-30.81,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333413
20,0.00,0.00,0.00,-10.94,-30.81,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333453
21,0.00,0.00,0.00,-10.94,-30.81,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333493
22,0.00,0.00,0.00,-10.94,-30.81,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333533
23,0.00,0.00,0.00,-12.00,-31.69,-16.06,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333572
24,0.00,0.00,0.00,-12.00,-31.69,-16.06,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333612
25,0.00,0.00,0.00,-12.00,-31.69,-16.06,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333652
26,0.00,0.00,0.00,-12.00,-31.69,-16.06,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333693
27,0.00,0.00,0.00,-12.00,-31.69,-16.06,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,333732
28,0.00,0.00,0.00,-11.44,-32.44,-17.25,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,333772
29,0.00,0.00,0.00,-11.44,-32.44,-17.25,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333812
30,0.00,0.00,0.00,-11.44,-32.44,-17.25,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333853
31,0.00,0.00,0.00,-11.44,-32.44,-17.25,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,333893
32,0.00,0.00,0.00,-11.44,-32.44,-17.25,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333932
33,0.00,0.00,0.00,-11.88,-30.50,-17.63,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,333972
34,0.00,0.00,0.00,-11.88,-30.50,-17.63,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334013
35,0.00,0.00,0.00,-11.88,-30.50,-17.63,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334053
36,0.00,0.00,0.00,-11.88,-30.50,-17.63,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334094
37,0.00,0.00,0.00,-11.88,-30.50,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334133
38,0.00,0.00,0.00,-11.63,-30.88,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334172
39,0.00,0.00,0.00,-11.63,-30.88,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334212
40,0.00,0.00,0.00,-11.63,-30.88,-17.63,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334253
41,0.00,0.00,0.00,-11.63,-30.88,-17.63,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334292
42,0.00,0.00,0.00,-11.63,-30.88,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334332
43,0.00,0.00,0.00,-11.94,-31.69,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334372
44,0.00,0.00,0.00,-11.94,-31.69,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334412
45,0.00,0.00,0.00,-11.94,-31.69,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334452
46,0.00,0.00,0.00,-11.94,-31.69,-17.63,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334493
47,0.00,0.00,0.00,-11.94,-31.69,-17.63,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334533
48,0.00,0.00,0.00,-12.00,-31.69,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334572
49,0.00,0.00,0.00,-12.00,-31.69,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334612
50,0.00,0.00,0.00,-12.00,-31.69,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334652
51,0.00,0.00,0.00,-12.00,-31.69,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334692
52,0.00,0.00,0.00,-12.00,-31.69,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334732
53,0.00,0.00,0.00,-11.94,-31.69,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334772
54,0.00,0.00,0.00,-11.94,-31.69,-18.44,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334812
55,0.00,0.00,0.00,-11.94,-31.69,-18.44,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,334853
56,0.00,0.00,0.00,-11.94,-31.69,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334893
57,0.00,0.00,0.00,-11.94,-31.69,-18.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334932
58,0.00,0.00,0.00,-11.44,-32.44,-18.00,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,334972
59,0.00,0.00,0.00,-11.44,-32.44,-18.00,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335012
60,0.00,0.00,0.00,-11.44,-32.44,-18.00,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,335052
61,0.00,0.00,0.00,-11.44,-32.44,-18.00,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335093
62,0.00,0.00,0.00,-11.44,-32.44,-18.00,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,335132
63,0.00,0.00,0.00,-12.19,-30.56,-17.25,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,335171
64,0.00,0.00,0.00,-12.19,-30.56,-17.25,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,335211
65,0.00,0.00,0.00,-12.19,-30.56,-17.25,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335252
66,0.00,0.00,0.00,-12.19,-30.56,-17.25,-1.32,0.59,9.89,0.04,0.07,-0.12,0.99,335293
67,0.00,0.00,0.00,-12.19,-30.56,-17.25,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335332
68,0.00,0.00,0.00,-11.81,-32.94,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335372
69,0.00,0.00,0.00,-11.81,-32.94,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335412
70,0.00,0.00,0.00,-11.81,-32.94,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335453
71,0.00,0.00,0.00,-11.81,-32.94,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335493
72,0.00,0.00,0.00,-11.81,-32.94,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335533
73,0.00,0.00,0.00,-11.19,-29.63,-16.13,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335571
74,0.00,0.00,0.00,-11.19,-29.63,-16.13,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335651
75,0.00,0.00,0.00,-11.19,-29.63,-16.13,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,335692
76,0.00,0.00,0.00,-11.19,-29.63,-16.13,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335732
77,0.00,0.00,0.00,-12.38,-32.19,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335771
78,0.00,0.00,0.00,-12.38,-32.19,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335812
79,0.00,0.00,0.00,-12.38,-32.19,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335852
80,0.00,0.00,0.00,-12.38,-32.19,-16.44,-1.32,0.55,9.93,0.04,0.07,-0.12,0.99,335892
81,0.00,0.00,0.00,-12.38,-32.19,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335932
82,0.00,0.00,0.00,-11.88,-30.88,-18.81,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,335972
83,0.00,0.00,0.00,-11.88,-30.88,-18.81,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336012
84,0.00,0.00,0.00,-11.88,-30.88,-18.81,-1.32,0.55,9.93,0.04,0.07,-0.12,0.99,336052
85,0.00,0.00,0.00,-11.88,-30.88,-18.81,-1.32,0.55,9.85,0.04,0.07,-0.12,0.99,336093
86,0.00,0.00,0.00,-11.88,-30.88,-18.81,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336133
87,0.00,0.00,0.00,-12.38,-32.56,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336172
88,0.00,0.00,0.00,-12.38,-32.56,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336211
89,0.00,0.00,0.00,-12.38,-32.56,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336251
90,0.00,0.00,0.00,-12.38,-32.56,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336292
91,0.00,0.00,0.00,-12.38,-32.56,-16.44,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336331
92,0.00,0.00,0.00,-12.63,-31.75,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336371
93,0.00,0.00,0.00,-12.63,-31.75,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336411
94,0.00,0.00,0.00,-12.63,-31.75,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336452
95,0.00,0.00,0.00,-12.63,-31.75,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336492
96,0.00,0.00,0.00,-12.63,-31.75,-16.88,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336532
97,0.00,0.00,0.00,-11.75,-32.50,-17.94,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336571
98,0.00,0.00,0.00,-11.75,-32.50,-17.94,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336611
99,0.00,0.00,0.00,-11.75,-32.50,-17.94,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336651
100,0.00,0.00,0.00,-11.75,-32.50,-17.94,-1.32,0.55,9.89,0.04,0.07,-0.12,0.99,336692
