,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.89,-3.43,0.86,7.13,-1.63,-0.13,-8.23,1.07,-3.01,0.17,0.14,-0.31,0.92,247404
1,-0.28,-4.06,1.17,7.13,-1.63,-0.13,-8.23,1.07,-3.01,0.17,0.14,-0.31,0.92,247444
2,-0.73,-4.32,1.99,7.13,-1.63,-0.13,-8.23,1.07,-3.01,0.17,0.14,-0.31,0.92,247484
3,-0.73,-4.32,1.99,7.13,-1.63,-0.13,-9.54,2.61,0.63,0.17,0.14,-0.31,0.92,247526
4,-0.73,-4.32,1.99,7.13,-1.63,-0.13,-9.00,3.98,2.73,0.17,0.14,-0.31,0.92,247566
5,-0.73,-4.32,1.99,7.13,-1.63,-0.13,-8.85,4.29,3.39,0.17,0.14,-0.31,0.92,247604
6,-0.17,-2.70,0.95,7.13,-1.63,-0.13,-8.85,4.29,3.39,0.17,0.14,-0.31,0.92,247644
7,-0.17,-2.70,0.95,7.13,-1.63,-0.13,-8.46,4.10,3.69,0.17,0.14,-0.31,0.92,247685
8,-0.11,-0.96,0.95,7.13,-1.63,-0.13,-8.46,4.10,3.69,0.17,0.14,-0.31,0.92,247723
9,-0.11,-0.96,0.95,7.13,-1.63,-0.13,-6.20,5.14,7.03,0.17,0.14,-0.31,0.92,247762
10,-0.11,-0.96,0.95,7.13,-1.63,-0.13,-6.66,6.13,6.49,0.17,0.14,-0.31,0.92,247800
11,-0.11,-0.96,0.95,7.13,-1.63,-0.13,-9.23,6.78,5.91,0.17,0.14,-0.31,0.92,247840
12,-0.03,-1.66,-0.71,7.13,-1.63,-0.13,-9.23,6.78,5.91,0.17,0.14,-0.31,0.92,247879
13,-0.03,-1.66,-0.71,7.13,-1.63,-0.13,-5.97,5.29,7.75,0.17,0.14,-0.31,0.92,247919
14,-0.03,-1.66,-0.71,7.13,-1.63,-0.13,-4.10,3.98,7.14,0.17,0.14,-0.31,0.92,247959
15,-0.03,-1.66,-0.71,-9.38,-4.81,-2.88,-4.10,3.98,7.14,0.17,0.14,-0.31,0.92,247998
16,0.11,-1.24,-0.29,-9.38,-4.81,-2.88,-4.10,3.98,7.14,0.17,0.14,-0.31,0.92,248038
17,0.11,-1.24,-0.29,-9.38,-4.81,-2.88,-4.52,3.98,7.91,0.17,0.14,-0.31,0.92,248078
18,0.11,-1.24,-0.29,-9.38,-4.81,-2.88,-3.48,3.95,8.63,0.17,0.14,-0.31,0.92,248118
19,0.11,-1.24,-0.29,-9.38,-4.81,-2.88,-3.25,3.64,7.75,0.17,0.14,-0.31,0.92,248157
20,0.06,-0.14,0.09,-9.38,-4.81,-2.88,-3.25,3.64,7.75,0.17,0.14,-0.31,0.92,248197
21,-0.05,-0.92,0.38,-9.38,-4.81,-2.88,-3.25,3.64,7.75,0.17,0.14,-0.31,0.92,248237
22,-0.05,-0.92,0.38,-9.38,-4.81,-2.88,-3.21,3.68,7.48,0.17,0.14,-0.31,0.92,248278
23,-0.05,-0.92,0.38,-9.38,-4.81,-2.88,-2.87,4.29,8.94,0.17,0.14,-0.31,0.92,248317
24,-0.05,-0.92,0.38,-9.38,-4.81,-2.88,-3.06,4.18,8.79,0.17,0.14,-0.31,0.92,248356
25,-0.00,-0.15,0.24,-9.38,-4.81,-2.88,-3.06,4.18,8.79,0.17,0.14,-0.31,0.92,248396
26,-0.00,-0.15,0.24,-9.38,-4.81,-2.88,-3.10,4.68,8.71,0.17,0.14,-0.31,0.92,248437
27,0.08,0.03,-0.09,-9.38,-4.81,-2.88,-3.10,4.68,8.71,0.17,0.14,-0.31,0.92,248476
28,0.08,0.03,-0.09,-9.38,-4.81,-2.88,-2.26,4.29,8.37,0.17,0.14,-0.31,0.92,248516
29,0.08,0.03,-0.09,-9.38,-4.81,-2.88,-2.26,4.06,8.60,0.17,0.14,-0.31,0.92,248554
30,0.04,-0.18,0.06,-9.38,-4.81,-2.88,-2.26,4.06,8.60,0.17,0.14,-0.31,0.92,248595
31,-0.43,-0.07,-0.20,-9.38,-4.81,-2.88,-2.26,4.06,8.60,0.17,0.14,-0.31,0.92,248635
32,-0.43,-0.07,-0.20,-9.38,-4.81,-2.88,-2.03,3.60,8.02,0.17,0.14,-0.31,0.92,248676
33,-0.43,-0.07,-0.20,-9.38,-4.81,-2.88,-2.14,4.02,8.33,0.17,0.14,-0.31,0.92,248717
34,-0.43,-0.07,-0.20,-9.38,-4.81,-2.88,-2.60,3.49,7.98,0.17,0.14,-0.31,0.92,248756
35,0.17,0.13,0.04,-9.38,-4.81,-2.88,-2.60,3.49,7.98,0.17,0.14,-0.31,0.92,248797
36,0.02,-0.16,0.17,-9.38,-4.81,-2.88,-2.60,3.49,7.98,0.17,0.14,-0.31,0.92,248836
37,0.02,-0.16,0.17,-9.38,-4.81,-2.88,-2.22,4.10,7.91,0.17,0.14,-0.31,0.92,248876
38,0.02,-0.16,0.17,-9.38,-4.81,-2.88,-2.38,4.68,8.48,0.17,0.14,-0.31,0.92,248915
39,0.02,-0.16,0.17,-9.38,-4.81,-2.88,-2.22,4.79,8.56,0.17,0.14,-0.31,0.92,248953
