,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.15,0.00,0.04,4.44,4.19,14.25,8.57,-3.50,2.33,-0.13,-0.49,0.13,0.85,560149
1,0.15,0.00,0.04,4.44,4.19,14.25,8.34,-3.38,2.44,-0.13,-0.49,0.13,0.85,560187
2,0.25,-0.04,-0.18,4.44,4.19,14.25,8.34,-3.38,2.44,-0.13,-0.49,0.13,0.85,560225
3,0.25,-0.04,-0.18,4.44,4.19,14.25,8.38,-3.16,2.79,-0.13,-0.49,0.13,0.85,560264
4,0.25,-0.04,-0.18,4.44,4.19,14.25,8.04,-2.93,3.05,-0.13,-0.49,0.13,0.85,560304
5,0.25,-0.04,-0.18,4.44,4.19,14.25,8.30,-2.81,2.79,-0.13,-0.49,0.13,0.85,560342
6,0.09,-0.33,-0.30,4.44,4.19,14.25,8.30,-2.81,2.79,-0.13,-0.49,0.13,0.85,560381
7,-0.02,-0.43,-0.46,4.44,4.19,14.25,8.30,-2.81,2.79,-0.13,-0.49,0.13,0.85,560420
8,-0.02,-0.43,-0.46,4.44,4.19,14.25,9.95,-2.85,1.60,-0.13,-0.49,0.13,0.85,560461
9,-0.02,-0.43,-0.46,4.44,4.19,14.25,9.07,-2.50,1.87,-0.13,-0.49,0.13,0.85,560502
10,-0.02,-0.43,-0.46,4.44,4.19,14.25,8.30,-2.31,1.68,-0.13,-0.49,0.13,0.85,560540
11,0.36,-0.52,-0.23,4.44,4.19,14.25,8.30,-2.31,1.68,-0.13,-0.49,0.13,0.85,560581
12,0.36,-0.52,-0.23,4.44,4.19,14.25,8.77,-2.00,1.79,-0.13,-0.49,0.13,0.85,560621
13,0.06,-0.36,-0.33,4.44,4.19,14.25,8.77,-2.00,1.79,-0.13,-0.49,0.13,0.85,560661
14,0.06,-0.36,-0.33,4.44,4.19,14.25,9.84,-2.08,1.37,-0.13,-0.49,0.13,0.85,560701
15,0.06,-0.36,-0.33,4.44,4.19,14.25,9.49,-1.74,0.99,-0.13,-0.49,0.13,0.85,560739
16,0.06,-0.36,-0.33,4.44,4.19,14.25,9.38,-1.74,1.37,-0.13,-0.49,0.13,0.85,560780
17,-0.20,-0.19,-0.08,4.44,4.19,14.25,9.38,-1.74,1.37,-0.13,-0.49,0.13,0.85,560820
18,-0.20,-0.19,-0.08,4.44,4.19,14.25,9.57,-1.66,0.41,-0.13,-0.49,0.13,0.85,560859
19,-0.20,-0.19,-0.08,4.44,4.19,14.25,9.76,-1.77,0.53,-0.13,-0.49,0.13,0.85,560901
20,-0.20,-0.19,-0.08,4.44,4.19,14.25,9.19,-1.66,0.68,-0.13,-0.49,0.13,0.85,560939
21,0.10,-0.06,-0.03,4.44,4.19,14.25,9.19,-1.66,0.68,-0.13,-0.49,0.13,0.85,560979
22,-0.05,-0.13,-0.02,4.44,4.19,14.25,9.19,-1.66,0.68,-0.13,-0.49,0.13,0.85,561019
23,-0.05,-0.13,-0.02,4.44,4.19,14.25,9.07,-1.55,0.68,-0.13,-0.49,0.13,0.85,561060
24,-0.05,-0.13,-0.02,4.44,4.19,14.25,10.03,-1.62,1.37,-0.13,-0.49,0.13,0.85,561101
