,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1051700
1,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.54,9.70,0.04,-0.01,-0.04,1.00,1051740
2,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.54,9.70,0.04,-0.01,-0.04,1.00,1051778
3,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.54,9.70,0.04,-0.01,-0.04,1.00,1051858
4,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1051899
5,0.00,0.00,0.00,-25.75,23.38,9.06,-0.08,0.50,9.70,0.04,-0.01,-0.04,1.00,1051940
6,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1051979
7,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052019
8,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.54,9.70,0.04,-0.01,-0.04,1.00,1052060
9,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.54,9.70,0.04,-0.01,-0.04,1.00,1052100
10,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052141
11,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052179
12,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052220
13,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052260
14,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.54,9.70,0.04,-0.01,-0.04,1.00,1052300
15,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052340
16,0.00,0.00,0.00,-25.75,23.38,9.06,-0.12,0.54,9.66,0.04,-0.01,-0.04,1.00,1052379
17,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.54,9.66,0.04,-0.01,-0.04,1.00,1052419
18,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.54,9.66,0.04,-0.01,-0.04,1.00,1052460
19,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052500
20,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052540
21,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052579
22,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052619
23,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.66,0.04,-0.01,-0.04,1.00,1052660
24,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.66,0.04,-0.01,-0.04,1.00,1052699
25,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052739
26,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052778
27,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052818
28,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052859
29,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052899
30,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052940
31,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1052978
32,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1053018
33,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1053059
34,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.50,9.70,0.04,-0.01,-0.04,1.00,1053100
35,0.00,0.00,0.00,-24.75,23.06,9.06,-0.12,0.54,9.70,0.04,-0.01,-0.04,1.00,1053138
