,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.17,-0.07,0.36,-20.19,-11.88,11.31,0.58,-7.28,5.88,-0.37,-0.15,0.52,0.76,44188
1,0.17,-0.07,0.36,-20.19,-11.88,11.31,0.31,-6.86,6.68,-0.37,-0.15,0.52,0.76,44228
2,0.17,-0.07,0.36,-19.63,-5.75,10.06,0.31,-6.86,6.68,-0.37,-0.15,0.52,0.76,44267
3,0.17,-0.07,0.36,-19.63,-5.75,10.06,-0.57,-6.97,7.22,-0.37,-0.15,0.52,0.76,44308
4,0.33,-0.85,0.00,-19.63,-5.75,10.06,-0.57,-6.97,7.22,-0.37,-0.15,0.52,0.76,44348
5,0.33,-0.85,0.00,-19.63,-5.75,10.06,3.64,-8.43,8.25,-0.37,-0.15,0.52,0.76,44388
6,0.33,-0.85,0.00,-19.63,-5.75,10.06,1.27,-7.05,8.41,-0.37,-0.15,0.52,0.76,44428
7,0.33,-0.85,0.00,-21.06,-7.06,9.69,1.27,-7.05,8.41,-0.37,-0.15,0.52,0.76,44467
8,0.09,-0.16,0.18,-21.06,-7.06,9.69,1.27,-7.05,8.41,-0.37,-0.15,0.52,0.76,44506
9,0.09,-0.16,0.18,-21.06,-7.06,9.69,0.58,-6.74,7.10,-0.37,-0.15,0.52,0.76,44546
10,0.09,-0.16,0.18,-21.06,-7.06,9.69,-0.11,-7.43,7.64,-0.37,-0.15,0.52,0.76,44585
11,0.09,-0.16,0.18,-21.06,-7.06,9.69,0.00,-7.70,7.56,-0.37,-0.15,0.52,0.76,44624
12,-0.21,-0.27,-0.07,-21.06,-7.06,9.69,0.00,-7.70,7.56,-0.37,-0.15,0.52,0.76,44664
13,-0.15,0.00,-0.20,-21.06,-7.06,9.69,0.00,-7.70,7.56,-0.37,-0.15,0.52,0.76,44704
14,-0.15,0.00,-0.20,-21.06,-7.06,9.69,0.96,-7.39,6.22,-0.37,-0.15,0.52,0.76,44745
15,-0.15,0.00,-0.20,-21.06,-7.06,9.69,0.20,-7.12,5.80,-0.37,-0.15,0.52,0.76,44785
16,-0.15,0.00,-0.20,-21.06,-7.06,9.69,2.26,-7.51,6.14,-0.37,-0.15,0.52,0.76,44824
17,0.18,0.54,-0.19,-21.06,-7.06,9.69,2.26,-7.51,6.14,-0.37,-0.15,0.52,0.76,44864
18,0.18,0.54,-0.19,-21.06,-7.06,9.69,1.34,-7.32,7.14,-0.37,-0.15,0.52,0.76,44905
19,-0.04,0.00,-0.06,-21.06,-7.06,9.69,1.34,-7.32,7.14,-0.37,-0.15,0.52,0.76,44944
20,-0.04,0.00,-0.06,-21.06,-7.06,9.69,1.07,-7.09,7.03,-0.37,-0.15,0.52,0.76,44984
21,-0.04,0.00,-0.06,-21.06,-7.06,9.69,1.07,-7.16,6.53,-0.37,-0.15,0.52,0.76,45023
22,-0.13,0.12,-0.07,-21.06,-7.06,9.69,1.07,-7.16,6.53,-0.37,-0.15,0.52,0.76,45063
23,-0.16,-0.11,-0.08,-21.06,-7.06,9.69,1.07,-7.16,6.53,-0.37,-0.15,0.52,0.76,45104
24,-0.16,-0.11,-0.08,-21.06,-7.06,9.69,1.19,-7.35,6.30,-0.37,-0.15,0.52,0.76,45145
25,-0.16,-0.11,-0.08,-21.06,-7.06,9.69,1.00,-7.39,5.95,-0.37,-0.15,0.52,0.76,45186
26,-0.16,-0.11,-0.08,-21.06,-7.06,9.69,1.19,-7.43,6.18,-0.37,-0.15,0.52,0.76,45225
27,0.23,0.28,-0.10,-21.06,-7.06,9.69,1.19,-7.43,6.18,-0.37,-0.15,0.52,0.76,45265
28,0.23,0.28,-0.10,-21.06,-7.06,9.69,1.11,-7.12,7.10,-0.37,-0.15,0.52,0.76,45305
29,0.23,0.28,-0.10,-21.06,-7.06,9.69,1.15,-7.12,6.91,-0.37,-0.15,0.52,0.76,45345
30,0.23,0.28,-0.10,-21.06,-7.06,9.69,1.07,-7.28,6.61,-0.37,-0.15,0.52,0.76,45385
31,0.23,0.28,-0.10,-21.06,-7.06,9.69,1.04,-7.16,6.64,-0.37,-0.15,0.52,0.76,45423
32,0.09,0.13,-0.02,-21.06,-7.06,9.69,1.04,-7.16,6.64,-0.37,-0.15,0.52,0.76,45464
33,0.02,0.01,0.01,-21.06,-7.06,9.69,1.04,-7.16,6.64,-0.37,-0.15,0.52,0.76,45504
34,0.02,0.01,0.01,-21.06,-7.06,9.69,1.00,-7.20,6.61,-0.37,-0.15,0.52,0.76,45543
35,0.02,0.01,0.01,-21.06,-7.06,9.69,0.96,-7.12,6.72,-0.37,-0.15,0.52,0.76,45582
36,0.02,0.01,0.01,-21.06,-7.06,9.69,0.96,-7.16,6.80,-0.37,-0.15,0.52,0.76,45620
37,0.04,0.05,-0.01,-21.06,-7.06,9.69,0.96,-7.16,6.80,-0.37,-0.15,0.52,0.76,45658
38,0.11,0.04,0.02,-21.06,-7.06,9.69,0.96,-7.16,6.80,-0.37,-0.15,0.52,0.76,45697
