,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.13,0.47,-0.42,-10.81,-9.88,2.19,-6.24,1.65,6.95,0.17,0.14,-0.31,0.92,251874
1,0.13,0.47,-0.42,-10.81,-9.88,2.19,-6.59,1.69,7.10,0.17,0.14,-0.31,0.92,251915
2,0.13,0.47,-0.42,-10.81,-9.88,2.19,-6.97,1.65,6.91,0.17,0.14,-0.31,0.92,251953
3,-0.15,0.92,-0.42,-10.81,-9.88,2.19,-6.97,1.65,6.91,0.17,0.14,-0.31,0.92,251992
4,-0.15,0.92,-0.42,-10.81,-9.88,2.19,-7.54,1.42,6.22,0.17,0.14,-0.31,0.92,252034
5,-0.23,1.20,-0.36,-10.81,-9.88,2.19,-7.54,1.42,6.22,0.17,0.14,-0.31,0.92,252073
6,-0.23,1.20,-0.36,-10.81,-9.88,2.19,-7.89,0.58,4.88,0.17,0.14,-0.31,0.92,252114
7,-0.23,1.20,-0.36,-10.81,-9.88,2.19,-7.81,0.42,4.73,0.17,0.14,-0.31,0.92,252152
8,0.09,0.58,-0.08,-10.81,-9.88,2.19,-7.81,0.42,4.73,0.17,0.14,-0.31,0.92,252193
9,0.17,0.56,-0.25,-10.81,-9.88,2.19,-7.81,0.42,4.73,0.17,0.14,-0.31,0.92,252233
10,0.17,0.56,-0.25,-10.81,-9.88,2.19,-8.54,0.61,4.69,0.17,0.14,-0.31,0.92,252273
11,0.17,0.56,-0.25,-10.81,-9.88,2.19,-8.58,0.69,4.50,0.17,0.14,-0.31,0.92,252314
12,0.17,0.56,-0.25,-10.81,-9.88,2.19,-9.08,0.58,3.85,0.17,0.14,-0.31,0.92,252352
13,0.00,0.23,-0.24,-10.81,-9.88,2.19,-9.08,0.58,3.85,0.17,0.14,-0.31,0.92,252392
14,-0.04,0.17,-0.12,-10.81,-9.88,2.19,-9.08,0.58,3.85,0.17,0.14,-0.31,0.92,252432
