,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.04,0.03,-0.04,0.31,-0.75,21.88,5.63,-6.75,3.85,-0.33,-0.45,0.19,0.81,1207928
1,-0.04,0.03,-0.04,-0.19,-2.44,23.81,5.63,-6.75,3.85,-0.33,-0.45,0.19,0.81,1207967
2,-0.02,0.04,-0.01,-0.19,-2.44,23.81,5.63,-6.75,3.85,-0.33,-0.45,0.19,0.81,1208008
3,-0.02,0.04,-0.01,-0.19,-2.44,23.81,5.86,-6.87,3.62,-0.33,-0.45,0.19,0.81,1208049
4,-0.02,0.04,-0.01,-0.19,-2.44,23.81,5.67,-6.91,3.89,-0.33,-0.45,0.19,0.81,1208090
5,-0.02,0.04,-0.01,-0.19,-2.44,23.81,5.94,-6.91,3.51,-0.33,-0.45,0.19,0.81,1208131
6,-0.02,0.04,-0.01,-0.19,-2.44,23.81,5.90,-7.06,3.58,-0.33,-0.45,0.19,0.81,1208171
7,0.01,-0.03,0.00,-0.19,-2.44,23.81,5.90,-7.06,3.58,-0.33,-0.45,0.19,0.81,1208213
8,0.08,-0.02,0.10,-0.19,-2.44,23.81,5.90,-7.06,3.58,-0.33,-0.45,0.19,0.81,1208254
9,0.08,-0.02,0.10,-0.19,-2.44,23.81,5.25,-6.75,4.35,-0.33,-0.45,0.19,0.81,1208295
10,0.08,-0.02,0.10,-0.19,-2.44,23.81,5.82,-6.98,3.66,-0.33,-0.45,0.19,0.81,1208335
11,0.08,-0.02,0.10,-0.19,-2.44,23.81,6.36,-6.95,3.36,-0.33,-0.45,0.19,0.81,1208375
12,0.05,-0.02,0.03,-0.19,-2.44,23.81,6.36,-6.95,3.36,-0.33,-0.45,0.19,0.81,1208416
13,0.05,-0.02,0.03,-0.19,-2.44,23.81,5.82,-6.91,3.85,-0.33,-0.45,0.19,0.81,1208456
14,-0.01,-0.00,-0.03,-0.19,-2.44,23.81,5.82,-6.91,3.85,-0.33,-0.45,0.19,0.81,1208497
15,-0.01,-0.00,-0.03,-0.19,-2.44,23.81,5.94,-6.91,3.77,-0.33,-0.45,0.19,0.81,1208538
16,-0.01,-0.00,-0.03,-0.19,-2.44,23.81,5.90,-6.98,3.62,-0.33,-0.45,0.19,0.81,1208580
17,-0.01,-0.00,-0.03,-0.13,-2.44,23.06,5.90,-6.98,3.62,-0.33,-0.45,0.19,0.81,1208620
18,0.09,0.02,0.12,-0.13,-2.44,23.06,5.90,-6.98,3.62,-0.33,-0.45,0.19,0.81,1208662
19,0.09,0.02,0.12,-0.13,-2.44,23.06,5.13,-6.83,4.50,-0.33,-0.45,0.19,0.81,1208702
20,-0.01,0.04,-0.02,-0.13,-2.44,23.06,5.13,-6.83,4.50,-0.33,-0.45,0.19,0.81,1208743
21,-0.01,0.04,-0.02,-0.13,-2.44,23.06,5.98,-7.02,3.58,-0.33,-0.45,0.19,0.81,1208784
22,-0.01,0.04,-0.02,-0.13,-2.44,23.06,5.94,-6.95,3.51,-0.33,-0.45,0.19,0.81,1208824
23,0.02,-0.02,0.04,-0.13,-2.44,23.06,5.94,-6.95,3.51,-0.33,-0.45,0.19,0.81,1208864
24,-0.01,0.02,-0.03,-0.13,-2.44,23.06,5.94,-6.95,3.51,-0.33,-0.45,0.19,0.81,1208905
