,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.81,0.41,0.52,9.81,4.69,1.94,5.13,-6.85,0.16,0.04,-0.01,-0.04,1.00,1079246
1,0.81,0.41,0.52,9.81,4.69,1.94,4.36,-7.70,0.82,0.04,-0.01,-0.04,1.00,1079285
2,0.81,0.41,0.52,9.81,4.69,1.94,4.09,-7.81,0.93,0.04,-0.01,-0.04,1.00,1079323
3,0.81,0.41,0.52,9.81,4.69,1.94,3.75,-7.70,1.31,0.04,-0.01,-0.04,1.00,1079360
4,0.86,0.37,0.53,9.81,4.69,1.94,3.75,-7.70,1.31,0.04,-0.01,-0.04,1.00,1079400
5,0.92,0.59,0.54,9.81,4.69,1.94,3.75,-7.70,1.31,0.04,-0.01,-0.04,1.00,1079438
6,0.92,0.59,0.54,9.81,4.69,1.94,3.37,-7.89,2.77,0.04,-0.01,-0.04,1.00,1079477
7,0.92,0.59,0.54,9.81,4.69,1.94,2.56,-7.96,3.23,0.04,-0.01,-0.04,1.00,1079514
8,0.79,0.40,0.59,9.81,4.69,1.94,2.56,-7.96,3.23,0.04,-0.01,-0.04,1.00,1079553
9,0.46,0.36,0.40,9.81,4.69,1.94,2.56,-7.96,3.23,0.04,-0.01,-0.04,1.00,1079591
10,0.46,0.36,0.40,9.81,4.69,1.94,1.26,-8.15,3.65,0.04,-0.01,-0.04,1.00,1079630
11,0.46,0.36,0.40,9.81,4.69,1.94,2.37,-7.93,3.57,0.04,-0.01,-0.04,1.00,1079667
12,0.85,-0.23,0.36,9.81,4.69,1.94,2.37,-7.93,3.57,0.04,-0.01,-0.04,1.00,1079707
13,0.90,-0.07,0.44,9.81,4.69,1.94,2.37,-7.93,3.57,0.04,-0.01,-0.04,1.00,1079747
14,0.90,-0.07,0.44,9.81,4.69,1.94,1.76,-7.35,5.68,0.04,-0.01,-0.04,1.00,1079786
15,0.90,-0.07,0.44,9.81,4.69,1.94,1.68,-7.23,5.72,0.04,-0.01,-0.04,1.00,1079825
16,0.90,-0.07,0.44,9.81,4.69,1.94,1.76,-7.31,5.57,0.04,-0.01,-0.04,1.00,1079863
17,0.96,0.16,0.36,9.81,4.69,1.94,1.76,-7.31,5.57,0.04,-0.01,-0.04,1.00,1079902
18,0.88,0.11,0.24,9.81,4.69,1.94,1.76,-7.31,5.57,0.04,-0.01,-0.04,1.00,1079940
19,0.88,0.11,0.24,9.81,4.69,1.94,0.69,-6.47,6.98,0.04,-0.01,-0.04,1.00,1079979
20,0.88,0.11,0.24,9.81,4.69,1.94,0.95,-5.86,7.71,0.04,-0.01,-0.04,1.00,1080015
21,0.61,-0.25,-0.04,9.81,4.69,1.94,0.95,-5.86,7.71,0.04,-0.01,-0.04,1.00,1080054
22,0.64,0.14,-0.22,9.81,4.69,1.94,0.95,-5.86,7.71,0.04,-0.01,-0.04,1.00,1080094
23,0.64,0.14,-0.22,9.81,4.69,1.94,1.88,-5.09,8.25,0.04,-0.01,-0.04,1.00,1080132
24,0.64,0.14,-0.22,9.81,4.69,1.94,1.91,-5.17,8.40,0.04,-0.01,-0.04,1.00,1080171
