,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.25,-0.44,0.08,5.75,10.69,-16.81,-3.16,4.61,9.24,-0.58,0.43,-0.49,0.50,368879
1,0.25,-0.44,0.08,5.75,10.69,-16.81,-2.78,4.11,8.66,-0.58,0.43,-0.49,0.50,368918
2,0.11,0.03,0.21,5.75,10.69,-16.81,-2.78,4.11,8.66,-0.58,0.43,-0.49,0.50,368959
3,0.30,-0.24,-0.27,5.75,10.69,-16.81,-2.78,4.11,8.66,-0.58,0.43,-0.49,0.50,368999
4,0.30,-0.24,-0.27,5.75,10.69,-16.81,-3.70,5.95,7.55,-0.58,0.43,-0.49,0.50,369040
5,0.30,-0.24,-0.27,5.75,10.69,-16.81,-2.17,5.11,9.73,-0.58,0.43,-0.49,0.50,369080
6,0.30,-0.24,-0.27,5.75,10.69,-16.81,-3.36,5.49,7.21,-0.58,0.43,-0.49,0.50,369119
7,0.74,0.39,-1.79,5.75,10.69,-16.81,-3.36,5.49,7.21,-0.58,0.43,-0.49,0.50,369160
8,0.74,0.39,-1.79,5.75,10.69,-16.81,-3.28,4.46,8.82,-0.58,0.43,-0.49,0.50,369200
9,1.64,0.01,-0.18,5.75,10.69,-16.81,-3.28,4.46,8.82,-0.58,0.43,-0.49,0.50,369240
10,1.64,0.01,-0.18,5.75,10.69,-16.81,-3.20,4.57,8.63,-0.58,0.43,-0.49,0.50,369280
11,1.64,0.01,-0.18,5.75,10.69,-16.81,-3.55,4.50,7.75,-0.58,0.43,-0.49,0.50,369318
12,0.82,0.09,0.74,5.75,10.69,-16.81,-3.55,4.50,7.75,-0.58,0.43,-0.49,0.50,369358
13,1.55,0.50,0.42,5.75,10.69,-16.81,-3.55,4.50,7.75,-0.58,0.43,-0.49,0.50,369398
14,1.55,0.50,0.42,5.75,10.69,-16.81,-2.78,5.80,6.14,-0.58,0.43,-0.49,0.50,369438
15,1.55,0.50,0.42,5.75,10.69,-16.81,-3.09,6.38,6.06,-0.58,0.43,-0.49,0.50,369479
16,1.55,0.50,0.42,5.75,10.69,-16.81,-4.23,6.34,3.64,-0.58,0.43,-0.49,0.50,369517
17,0.99,0.79,0.42,5.75,10.69,-16.81,-4.23,6.34,3.64,-0.58,0.43,-0.49,0.50,369557
18,0.99,0.79,0.42,5.75,10.69,-16.81,-5.96,6.14,1.04,-0.58,0.43,-0.49,0.50,369598
19,0.43,1.23,-1.38,5.75,10.69,-16.81,-5.96,6.14,1.04,-0.58,0.43,-0.49,0.50,369637
20,0.43,1.23,-1.38,5.75,10.69,-16.81,-4.46,7.64,0.77,-0.58,0.43,-0.49,0.50,369678
21,0.43,1.23,-1.38,5.75,10.69,-16.81,-4.81,8.02,3.30,-0.58,0.43,-0.49,0.50,369716
22,0.11,1.88,0.63,5.75,10.69,-16.81,-4.81,8.02,3.30,-0.58,0.43,-0.49,0.50,369758
23,-0.83,2.86,0.17,5.75,10.69,-16.81,-4.81,8.02,3.30,-0.58,0.43,-0.49,0.50,369798
24,-0.83,2.86,0.17,5.75,10.69,-16.81,-6.88,8.56,-2.18,-0.58,0.43,-0.49,0.50,369837
25,-0.83,2.86,0.17,5.75,10.69,-16.81,-5.84,8.63,0.35,-0.58,0.43,-0.49,0.50,369878
26,-0.83,2.86,0.17,5.75,10.69,-16.81,-5.81,7.41,-2.87,-0.58,0.43,-0.49,0.50,369916
27,-1.19,3.30,-0.01,5.75,10.69,-16.81,-5.81,7.41,-2.87,-0.58,0.43,-0.49,0.50,369957
28,0.21,3.33,0.63,5.75,10.69,-16.81,-5.81,7.41,-2.87,-0.58,0.43,-0.49,0.50,369998
29,0.21,3.33,0.63,5.75,10.69,-16.81,-7.11,7.95,-1.07,-0.58,0.43,-0.49,0.50,370038
30,0.21,3.33,0.63,5.75,10.69,-16.81,-11.40,9.02,0.43,-0.58,0.43,-0.49,0.50,370078
31,0.21,3.33,0.63,5.75,10.69,-16.81,-10.17,8.18,0.50,-0.58,0.43,-0.49,0.50,370117
32,1.23,0.44,1.16,5.75,10.69,-16.81,-10.17,8.18,0.50,-0.58,0.43,-0.49,0.50,370158
33,1.23,0.44,1.16,5.75,10.69,-16.81,-8.49,9.09,0.77,-0.58,0.43,-0.49,0.50,370199
34,0.14,-2.14,0.49,5.75,10.69,-16.81,-8.49,9.09,0.77,-0.58,0.43,-0.49,0.50,370238
35,0.14,-2.14,0.49,5.75,10.69,-16.81,-7.26,9.13,-2.02,-0.58,0.43,-0.49,0.50,370279
36,0.14,-2.14,0.49,5.75,10.69,-16.81,-7.30,8.94,-1.49,-0.58,0.43,-0.49,0.50,370318
37,1.01,-3.88,0.22,5.75,10.69,-16.81,-7.30,8.94,-1.49,-0.58,0.43,-0.49,0.50,370358
38,-0.44,-4.03,0.58,5.75,10.69,-16.81,-7.30,8.94,-1.49,-0.58,0.43,-0.49,0.50,370399
39,-0.44,-4.03,0.58,5.75,10.69,-16.81,-8.98,11.24,-4.74,-0.58,0.43,-0.49,0.50,370440
40,-0.44,-4.03,0.58,5.75,10.69,-16.81,-9.29,11.09,-4.52,-0.58,0.43,-0.49,0.50,370482
41,-0.44,-4.03,0.58,5.75,10.69,-16.81,-7.22,10.86,-2.06,-0.58,0.43,-0.49,0.50,370523
42,-0.44,-4.03,0.58,7.56,-48.94,16.38,-7.22,10.86,-2.06,-0.58,0.43,-0.49,0.50,370564
43,-1.51,-3.72,1.53,7.56,-48.94,16.38,-6.23,9.40,-0.99,-0.58,0.43,-0.49,0.50,370648
44,-1.51,-3.72,1.53,7.56,-48.94,16.38,-3.55,6.34,-1.34,-0.58,0.43,-0.49,0.50,370689
45,-1.51,-3.72,1.53,7.56,-48.94,16.38,-3.20,5.38,-1.79,-0.58,0.43,-0.49,0.50,370729
46,-1.51,-3.72,1.53,7.56,-48.94,16.38,-3.09,4.84,-2.64,-0.58,0.43,-0.49,0.50,370769
47,0.29,-0.20,-0.51,7.56,-48.94,16.38,-3.09,4.84,-2.64,-0.58,0.43,-0.49,0.50,370810
48,0.29,-0.20,-0.51,7.56,-48.94,16.38,-1.59,5.95,-2.64,-0.58,0.43,-0.49,0.50,370852
49,0.63,1.79,-1.02,7.56,-48.94,16.38,-1.59,5.95,-2.64,-0.58,0.43,-0.49,0.50,370893
50,0.63,1.79,-1.02,7.56,-48.94,16.38,-3.13,9.17,-3.86,-0.58,0.43,-0.49,0.50,370933
51,0.63,1.79,-1.02,7.56,-48.94,16.38,-5.50,10.93,-3.59,-0.58,0.43,-0.49,0.50,370974
52,0.63,1.79,-1.02,7.56,-48.94,16.38,-6.88,11.39,-2.06,-0.58,0.43,-0.49,0.50,371014
53,1.78,4.60,-0.02,7.56,-48.94,16.38,-6.88,11.39,-2.06,-0.58,0.43,-0.49,0.50,371055
54,1.78,4.60,-0.02,7.56,-48.94,16.38,-10.06,14.61,-2.25,-0.58,0.43,-0.49,0.50,371097
55,1.78,4.60,-0.02,7.56,-48.94,16.38,-8.64,14.77,-0.84,-0.58,0.43,-0.49,0.50,371139
56,1.78,4.60,-0.02,7.56,-48.94,16.38,-6.57,12.31,-1.68,-0.58,0.43,-0.49,0.50,371180
57,1.78,4.60,-0.02,7.56,-48.94,16.38,-4.35,11.78,1.27,-0.58,0.43,-0.49,0.50,371219
58,0.88,3.37,1.59,7.56,-48.94,16.38,-4.35,11.78,1.27,-0.58,0.43,-0.49,0.50,371260
59,1.69,1.77,0.50,7.56,-48.94,16.38,-4.35,11.78,1.27,-0.58,0.43,-0.49,0.50,371300
60,1.69,1.77,0.50,7.56,-48.94,16.38,-3.05,7.52,4.11,-0.58,0.43,-0.49,0.50,371340
61,1.69,1.77,0.50,7.56,-48.94,16.38,-4.12,6.26,4.95,-0.58,0.43,-0.49,0.50,371380
62,1.69,1.77,0.50,7.56,-48.94,16.38,-2.51,6.11,4.30,-0.58,0.43,-0.49,0.50,371418
63,1.24,-2.55,-0.08,7.56,-48.94,16.38,-2.51,6.11,4.30,-0.58,0.43,-0.49,0.50,371458
64,0.48,-3.91,-0.55,7.56,-48.94,16.38,-2.51,6.11,4.30,-0.58,0.43,-0.49,0.50,371497
65,0.48,-3.91,-0.55,7.56,-48.94,16.38,-5.12,8.52,-0.22,-0.58,0.43,-0.49,0.50,371538
66,0.48,-3.91,-0.55,7.56,-48.94,16.38,-7.80,12.58,-0.99,-0.58,0.43,-0.49,0.50,371579
67,0.48,-3.91,-0.55,7.56,-48.94,16.38,-9.71,14.65,-4.40,-0.58,0.43,-0.49,0.50,371619
68,-0.14,-4.21,1.16,7.56,-48.94,16.38,-9.71,14.65,-4.40,-0.58,0.43,-0.49,0.50,371660
69,-0.14,-4.21,1.16,7.56,-48.94,16.38,-13.28,17.79,-3.06,-0.58,0.43,-0.49,0.50,371703
70,-2.06,-5.25,2.35,7.56,-48.94,16.38,-13.28,17.79,-3.06,-0.58,0.43,-0.49,0.50,371746
71,-2.06,-5.25,2.35,7.56,-48.94,16.38,-8.41,12.23,-3.98,-0.58,0.43,-0.49,0.50,371787
72,-2.06,-5.25,2.35,7.56,-48.94,16.38,-4.35,11.47,-2.25,-0.58,0.43,-0.49,0.50,371830
73,-2.06,-5.25,2.35,7.56,-48.94,16.38,-4.20,8.21,-0.95,-0.58,0.43,-0.49,0.50,371870
74,-2.06,-5.25,2.35,7.19,-43.56,5.94,-4.20,8.21,-0.95,-0.58,0.43,-0.49,0.50,371910
75,-2.06,-5.25,2.35,7.19,-43.56,5.94,-2.25,5.00,-1.41,-0.58,0.43,-0.49,0.50,371951
76,-1.53,0.09,0.02,7.19,-43.56,5.94,-2.25,5.00,-1.41,-0.58,0.43,-0.49,0.50,371992
77,-1.53,0.09,0.02,7.19,-43.56,5.94,-0.18,2.66,0.46,-0.58,0.43,-0.49,0.50,372031
78,-1.53,0.09,0.02,7.19,-43.56,5.94,-0.18,2.66,-0.91,-0.58,0.43,-0.49,0.50,372070
79,-1.53,0.09,0.02,7.38,-43.38,-3.63,-0.18,2.66,-0.91,-0.58,0.43,-0.49,0.50,372109
80,1.55,3.87,-0.41,7.38,-43.38,-3.63,-0.18,2.66,-0.91,-0.58,0.43,-0.49,0.50,372150
81,1.55,3.87,-0.41,7.38,-43.38,-3.63,-4.81,9.17,4.72,-0.58,0.43,-0.49,0.50,372190
82,1.55,3.87,-0.41,7.38,-43.38,-3.63,-7.72,11.78,3.61,-0.58,0.43,-0.49,0.50,372230
