,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.81,-1.67,-2.47,3.38,-3.94,15.94,12.79,-4.11,5.20,0.06,-0.64,0.16,0.75,588860
1,0.77,-1.15,-1.19,3.38,-3.94,15.94,12.79,-4.11,5.20,0.06,-0.64,0.16,0.75,588901
2,0.77,-1.15,-1.19,3.38,-3.94,15.94,10.45,-2.20,6.54,0.06,-0.64,0.16,0.75,588941
3,0.77,-1.15,-1.19,3.38,-3.94,15.94,13.82,-1.66,4.43,0.06,-0.64,0.16,0.75,588980
4,-0.18,-1.39,-0.27,3.38,-3.94,15.94,13.82,-1.66,4.43,0.06,-0.64,0.16,0.75,589022
5,-0.05,1.46,0.88,3.38,-3.94,15.94,13.82,-1.66,4.43,0.06,-0.64,0.16,0.75,589062
6,-0.05,1.46,0.88,3.38,-3.94,15.94,17.12,-0.63,3.09,0.06,-0.64,0.16,0.75,589101
7,-0.05,1.46,0.88,3.38,-3.94,15.94,13.97,0.10,2.56,0.06,-0.64,0.16,0.75,589140
8,-0.05,1.46,0.88,3.38,-3.94,15.94,11.56,0.87,2.10,0.06,-0.64,0.16,0.75,589178
9,-0.88,1.09,3.94,3.38,-3.94,15.94,11.56,0.87,2.10,0.06,-0.64,0.16,0.75,589218
10,-1.32,1.28,4.52,3.38,-3.94,15.94,11.56,0.87,2.10,0.06,-0.64,0.16,0.75,589257
11,-1.32,1.28,4.52,3.38,-3.94,15.94,5.09,-1.77,0.80,0.06,-0.64,0.16,0.75,589296
12,-1.32,1.28,4.52,3.38,-3.94,15.94,-5.07,-2.85,-0.01,0.06,-0.64,0.16,0.75,589335
13,-1.32,1.28,4.52,3.38,-3.94,15.94,-7.17,-4.19,-1.81,0.06,-0.64,0.16,0.75,589373
14,0.50,-0.10,2.46,3.38,-3.94,15.94,-7.17,-4.19,-1.81,0.06,-0.64,0.16,0.75,589414
15,0.50,-0.10,2.46,3.38,-3.94,15.94,-9.47,-4.80,1.21,0.06,-0.64,0.16,0.75,589454
16,0.27,-0.24,-0.73,3.38,-3.94,15.94,-9.47,-4.80,1.21,0.06,-0.64,0.16,0.75,589494
17,0.27,-0.24,-0.73,3.38,-3.94,15.94,-7.59,-6.26,3.71,0.06,-0.64,0.16,0.75,589532
18,-0.29,-0.69,-1.50,3.38,-3.94,15.94,-7.59,-6.26,3.71,0.06,-0.64,0.16,0.75,589572
19,-0.29,-0.69,-1.50,3.38,-3.94,15.94,-3.91,-6.79,0.61,0.06,-0.64,0.16,0.75,589613
20,0.59,-1.55,-2.58,3.38,-3.94,15.94,-3.91,-6.79,0.61,0.06,-0.64,0.16,0.75,589654
21,0.59,-1.55,-2.58,3.38,-3.94,15.94,0.03,-5.91,2.63,0.06,-0.64,0.16,0.75,589693
22,0.59,-1.55,-2.58,3.38,-3.94,15.94,2.67,-5.61,3.21,0.06,-0.64,0.16,0.75,589731
23,0.38,-1.28,-4.06,3.38,-3.94,15.94,2.67,-5.61,3.21,0.06,-0.64,0.16,0.75,589771
24,1.56,-0.83,-2.22,3.38,-3.94,15.94,2.67,-5.61,3.21,0.06,-0.64,0.16,0.75,589811
25,1.56,-0.83,-2.22,3.38,-3.94,15.94,6.89,-4.38,5.66,0.06,-0.64,0.16,0.75,589850
26,1.56,-0.83,-2.22,3.38,-3.94,15.94,9.76,-4.15,3.75,0.06,-0.64,0.16,0.75,589891
27,1.56,-0.83,-2.22,3.38,-3.94,15.94,7.84,-3.23,6.31,0.06,-0.64,0.16,0.75,589929
28,-0.25,1.02,-2.54,3.38,-3.94,15.94,7.84,-3.23,6.31,0.06,-0.64,0.16,0.75,589969
29,0.62,-1.63,-1.94,3.38,-3.94,15.94,7.84,-3.23,6.31,0.06,-0.64,0.16,0.75,590009
30,0.62,-1.63,-1.94,3.38,-3.94,15.94,11.75,-1.77,6.77,0.06,-0.64,0.16,0.75,590050
31,0.62,-1.63,-1.94,3.38,-3.94,15.94,14.59,0.33,4.70,0.06,-0.64,0.16,0.75,590090
32,0.62,-1.63,-1.94,3.38,-3.94,15.94,17.88,0.83,6.20,0.06,-0.64,0.16,0.75,590128
