,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.05,-0.08,-0.03,14.38,4.63,4.88,7.77,-3.27,4.39,-0.13,-0.49,0.13,0.85,505659
1,0.02,-0.11,-0.08,14.38,4.63,4.88,7.77,-3.27,4.39,-0.13,-0.49,0.13,0.85,505700
2,0.02,-0.11,-0.08,14.38,4.63,4.88,8.00,-3.23,4.13,-0.13,-0.49,0.13,0.85,505741
3,-0.07,-0.19,-0.08,14.38,4.63,4.88,8.00,-3.23,4.13,-0.13,-0.49,0.13,0.85,505781
4,-0.07,-0.19,-0.08,14.38,4.63,4.88,8.04,-3.19,3.98,-0.13,-0.49,0.13,0.85,505821
5,-0.07,-0.19,-0.08,14.38,4.63,4.88,8.30,-3.19,3.90,-0.13,-0.49,0.13,0.85,505860
6,-0.02,-0.09,-0.03,14.38,4.63,4.88,8.30,-3.19,3.90,-0.13,-0.49,0.13,0.85,505900
7,-0.07,-0.13,-0.02,14.38,4.63,4.88,8.30,-3.19,3.90,-0.13,-0.49,0.13,0.85,505940
8,-0.07,-0.13,-0.02,14.38,4.63,4.88,8.11,-3.16,3.86,-0.13,-0.49,0.13,0.85,505980
9,-0.07,-0.13,-0.02,14.38,4.63,4.88,8.19,-3.16,3.94,-0.13,-0.49,0.13,0.85,506022
10,-0.07,-0.13,-0.02,14.38,4.63,4.88,8.23,-3.12,3.75,-0.13,-0.49,0.13,0.85,506060
11,-0.02,-0.09,-0.02,14.38,4.63,4.88,8.23,-3.12,3.75,-0.13,-0.49,0.13,0.85,506101
12,-0.02,-0.09,-0.02,14.38,4.63,4.88,8.27,-3.12,3.78,-0.13,-0.49,0.13,0.85,506141
13,-0.02,-0.09,-0.02,14.38,4.63,4.88,8.27,-3.08,3.67,-0.13,-0.49,0.13,0.85,506182
14,-0.02,-0.09,-0.02,14.38,4.63,4.88,8.42,-3.12,3.67,-0.13,-0.49,0.13,0.85,506221
15,-0.02,-0.09,-0.02,14.38,4.63,4.88,8.34,-3.12,3.63,-0.13,-0.49,0.13,0.85,506260
16,0.03,-0.06,0.00,14.38,4.63,4.88,8.34,-3.12,3.63,-0.13,-0.49,0.13,0.85,506301
17,0.04,-0.03,-0.02,14.38,4.63,4.88,8.34,-3.12,3.63,-0.13,-0.49,0.13,0.85,506340
18,0.04,-0.03,-0.02,14.38,4.63,4.88,8.30,-3.04,3.71,-0.13,-0.49,0.13,0.85,506380
19,0.04,-0.03,-0.02,14.38,4.63,4.88,8.27,-3.08,3.63,-0.13,-0.49,0.13,0.85,506420
20,0.04,-0.03,-0.02,14.38,4.63,4.88,8.34,-3.04,3.55,-0.13,-0.49,0.13,0.85,506458
21,0.01,-0.03,-0.02,14.38,4.63,4.88,8.34,-3.04,3.55,-0.13,-0.49,0.13,0.85,506498
22,-0.06,-0.01,-0.08,14.38,4.63,4.88,8.34,-3.04,3.55,-0.13,-0.49,0.13,0.85,506537
23,-0.06,-0.01,-0.08,14.38,4.63,4.88,8.38,-2.96,3.48,-0.13,-0.49,0.13,0.85,506577
24,-0.06,-0.01,-0.08,14.38,4.63,4.88,8.54,-3.00,3.55,-0.13,-0.49,0.13,0.85,506619
25,-0.06,-0.01,-0.08,14.38,4.63,4.88,8.42,-3.00,3.55,-0.13,-0.49,0.13,0.85,506657
26,-0.03,-0.02,-0.01,14.38,4.63,4.88,8.42,-3.00,3.55,-0.13,-0.49,0.13,0.85,506697
27,-0.03,-0.02,-0.01,14.38,4.63,4.88,8.38,-2.96,3.48,-0.13,-0.49,0.13,0.85,506739
28,-0.03,-0.02,-0.03,14.38,4.63,4.88,8.38,-2.96,3.48,-0.13,-0.49,0.13,0.85,506779
29,-0.03,-0.02,-0.03,14.38,4.63,4.88,8.46,-2.89,3.48,-0.13,-0.49,0.13,0.85,506820
30,-0.03,-0.02,-0.03,14.38,4.63,4.88,8.27,-2.89,3.44,-0.13,-0.49,0.13,0.85,506858
31,-0.03,-0.07,-0.05,14.38,4.63,4.88,8.27,-2.89,3.44,-0.13,-0.49,0.13,0.85,506900
32,-0.01,-0.01,-0.02,14.38,4.63,4.88,8.27,-2.89,3.44,-0.13,-0.49,0.13,0.85,506940
33,-0.01,-0.01,-0.02,14.38,4.63,4.88,8.34,-2.89,3.48,-0.13,-0.49,0.13,0.85,506980
34,-0.01,-0.01,-0.02,14.38,4.63,4.88,8.46,-2.85,3.44,-0.13,-0.49,0.13,0.85,507021
35,-0.01,-0.01,-0.02,14.38,4.63,4.88,8.65,-2.93,3.29,-0.13,-0.49,0.13,0.85,507060
36,-0.01,-0.01,-0.01,14.38,4.63,4.88,8.65,-2.93,3.29,-0.13,-0.49,0.13,0.85,507100
37,0.09,0.04,-0.04,14.38,4.63,4.88,8.65,-2.93,3.29,-0.13,-0.49,0.13,0.85,507140
38,0.09,0.04,-0.04,14.38,4.63,4.88,8.50,-2.77,3.55,-0.13,-0.49,0.13,0.85,507181
39,0.09,0.04,-0.04,14.38,4.63,4.88,8.50,-2.85,3.44,-0.13,-0.49,0.13,0.85,507219
40,0.09,0.04,-0.04,14.38,4.63,4.88,8.46,-2.89,3.29,-0.13,-0.49,0.13,0.85,507257
41,0.05,0.01,-0.03,14.38,4.63,4.88,8.46,-2.89,3.29,-0.13,-0.49,0.13,0.85,507296
42,0.05,0.01,-0.03,14.38,4.63,4.88,8.50,-2.77,3.48,-0.13,-0.49,0.13,0.85,507336
43,-0.04,0.01,0.01,14.38,4.63,4.88,8.50,-2.77,3.48,-0.13,-0.49,0.13,0.85,507375
44,-0.04,0.01,0.01,14.38,4.63,4.88,8.50,-2.81,3.32,-0.13,-0.49,0.13,0.85,507413
45,-0.04,0.01,0.01,14.38,4.63,4.88,8.50,-2.77,3.48,-0.13,-0.49,0.13,0.85,507451
46,-0.04,0.01,0.01,14.38,4.63,4.88,8.57,-2.81,3.32,-0.13,-0.49,0.13,0.85,507491
47,0.01,0.00,0.01,14.38,4.63,4.88,8.57,-2.81,3.32,-0.13,-0.49,0.13,0.85,507530
48,0.01,0.00,0.01,14.38,4.63,4.88,8.57,-2.81,3.32,-0.13,-0.49,0.13,0.85,507569
49,0.01,0.00,0.01,14.38,4.63,4.88,8.50,-2.81,3.40,-0.13,-0.49,0.13,0.85,507607
