,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,376253
1,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,376292
2,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,376332
3,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,376371
4,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,376409
5,0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,376448
6,0.01,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,376485
7,0.01,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,376524
8,0.01,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,376562
9,0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,376602
10,0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,376641
11,0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,376680
12,0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,376721
13,0.00,0.00,-0.00,28.69,-18.69,11.13,0.14,2.12,9.47,0.10,0.02,0.24,0.97,376759
14,-0.01,0.00,0.00,28.69,-18.69,11.13,0.14,2.12,9.47,0.10,0.02,0.24,0.97,376798
15,-0.01,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,376836
16,-0.01,0.00,0.00,28.69,-18.69,11.13,0.14,2.12,9.43,0.10,0.02,0.24,0.97,376875
17,-0.01,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,376912
18,0.00,0.01,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,376951
19,0.00,0.01,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,376991
20,0.00,0.01,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377031
21,0.00,0.01,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377070
22,0.00,0.01,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,377107
23,0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,377146
24,0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,377184
25,0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.43,0.10,0.02,0.24,0.97,377224
26,0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377261
27,-0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377300
28,-0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377340
29,-0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,377381
30,-0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,377421
31,-0.00,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377459
32,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377500
33,-0.01,0.00,-0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377539
34,0.01,0.00,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377579
35,0.01,0.00,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,377619
36,0.01,0.00,0.00,28.69,-18.69,11.13,0.11,2.16,9.43,0.10,0.02,0.24,0.97,377657
37,0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.16,9.43,0.10,0.02,0.24,0.97,377695
38,-0.00,-0.00,0.00,28.69,-18.69,11.13,0.11,2.16,9.43,0.10,0.02,0.24,0.97,377734
39,-0.00,-0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,377773
40,-0.00,-0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,377810
41,0.00,-0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,377851
42,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,377891
43,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.43,0.10,0.02,0.24,0.97,377930
44,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,377971
45,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,378009
46,0.00,-0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,378048
47,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.12,9.47,0.10,0.02,0.24,0.97,378087
48,-0.00,0.00,0.00,28.69,-18.69,11.13,0.11,2.08,9.47,0.10,0.02,0.24,0.97,378127
