,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.16,-0.93,-0.27,7.44,-2.69,13.94,1.71,-9.78,5.51,0.04,0.02,0.09,0.99,132183
1,-0.16,-0.93,-0.27,7.44,-2.69,13.94,2.48,-9.97,4.93,0.04,0.02,0.09,0.99,132222
2,-0.16,-0.93,-0.27,7.44,-2.69,13.94,2.33,-9.86,5.39,0.04,0.02,0.09,0.99,132262
3,-0.16,-0.93,-0.27,7.44,-2.69,13.94,2.60,-8.82,4.55,0.04,0.02,0.09,0.99,132302
4,-0.16,-0.93,-0.27,7.44,-2.69,13.94,2.60,-9.21,4.82,0.04,0.02,0.09,0.99,132340
5,0.09,-0.24,0.05,7.44,-2.69,13.94,2.60,-9.21,4.82,0.04,0.02,0.09,0.99,132381
6,-0.03,-0.03,0.15,7.44,-2.69,13.94,2.60,-9.21,4.82,0.04,0.02,0.09,0.99,132420
7,-0.03,-0.03,0.15,7.44,-2.69,13.94,2.45,-8.25,4.32,0.04,0.02,0.09,0.99,132460
8,-0.03,-0.03,0.15,7.44,-2.69,13.94,2.25,-8.40,4.09,0.04,0.02,0.09,0.99,132499
9,-0.03,-0.03,0.15,7.44,-2.69,13.94,2.29,-8.71,4.39,0.04,0.02,0.09,0.99,132537
10,-0.18,0.13,0.05,7.44,-2.69,13.94,2.29,-8.71,4.39,0.04,0.02,0.09,0.99,132576
11,0.02,0.07,0.00,7.44,-2.69,13.94,2.29,-8.71,4.39,0.04,0.02,0.09,0.99,132614
12,0.02,0.07,0.00,7.44,-2.69,13.94,1.98,-8.63,4.09,0.04,0.02,0.09,0.99,132653
13,0.02,0.07,0.00,7.44,-2.69,13.94,1.95,-8.36,4.01,0.04,0.02,0.09,0.99,132689
14,-0.01,0.08,-0.04,7.44,-2.69,13.94,1.95,-8.36,4.01,0.04,0.02,0.09,0.99,132727
15,-0.03,0.08,-0.10,7.44,-2.69,13.94,1.95,-8.36,4.01,0.04,0.02,0.09,0.99,132766
16,-0.03,0.08,-0.10,7.44,-2.69,13.94,2.14,-7.98,3.98,0.04,0.02,0.09,0.99,132804
17,-0.03,0.08,-0.10,7.44,-2.69,13.94,2.06,-8.10,3.94,0.04,0.02,0.09,0.99,132842
18,-0.21,0.14,-0.10,7.44,-2.69,13.94,2.06,-8.10,3.94,0.04,0.02,0.09,0.99,132882
19,-0.14,0.08,-0.12,7.44,-2.69,13.94,2.06,-8.10,3.94,0.04,0.02,0.09,0.99,132922
20,-0.14,0.08,-0.12,7.44,-2.69,13.94,2.18,-8.71,3.82,0.04,0.02,0.09,0.99,132961
