,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgd,Ygd,Zgd,Xad,Yad,Zad,Xgdd,Ygdd,Zgdd,Xadd,Yadd,Zadd
0,-0.03,-0.86,0.07,7.44,0.06,-4.38,-8.66,5.16,3.18,0.61,-0.05,-0.78,0.14,452501,2337,W,-2.300075648,3.060636992,0.825832178,2.840849077,-0.415388884,-0.262183145,0.0,0.0,0.0,0.052439024,0.096097561,0.001707317,-4.38e-05,0.000175109,0.000206379,-0.001279001,-0.002343843,-4.16e-05
1,-0.03,-0.86,0.07,7.44,0.06,-4.38,-6.51,9.1,3.25,0.61,-0.05,-0.78,0.14,452542,2378,W,-2.628403107,2.621395252,0.348824532,3.0283742,-0.729730745,-0.424695436,-0.001794872,0.007179487,0.008461538,0.0,0.0,0.0,4.6e-05,-0.000184089,-0.000216963,-0.001423077,-0.004147436,-0.000365385
2,-0.1,-0.58,0.4,7.44,0.06,-4.38,-6.51,9.1,3.25,0.61,-0.05,-0.78,0.14,452581,2417,W,-3.016460775,2.183508461,-0.16178587,3.093185471,-1.03800464,-0.552161697,0.0,0.0,0.0,-0.0555,-0.16175,-0.01425,0.0,0.0,0.0,0.0006375,0.004118074,0.000302196
3,-0.1,-0.58,0.4,7.44,0.06,-4.38,-8.73,2.63,2.68,0.61,-0.05,-0.78,0.14,452621,2457,W,2.801101867,1.748349095,-0.708022555,3.052782576,-1.326542452,-0.621961816,0.0,0.0,0.0,-0.03,0.002972973,-0.002162162,3.38e-05,0.00052027,-0.000290541,0.000810811,-8.04e-05,5.84e-05
4,-0.1,-0.58,0.4,7.44,0.06,-4.38,-9.84,2.74,2.6,0.61,-0.05,-0.78,0.14,452658,2494,W,2.25984464,1.31671994,-1.289387034,2.960496338,-1.571375775,-0.625039138,0.00125,0.01925,-0.01075,0.0,0.0,0.0,7.21e-06,-0.000577404,0.00026875,0.0,0.0,0.0
5,-0.05,0.19,-0.03,7.44,0.06,-4.38,-9.84,2.74,2.6,0.61,-0.05,-0.78,0.14,452698,2534,W,1.68481153,0.888657777,-1.897811396,2.856859227,-1.709116113,-0.583363999,0.001538462,-0.003846154,0.0,0.0,0.0,0.0,-3.94e-05,9.86e-05,0.0,0.000512821,-0.00022942,-7.42e-05
6,0.01,0.04,-0.03,7.44,0.06,-4.38,-9.84,2.74,2.6,0.61,-0.05,-0.78,0.14,452737,2573,W,1.16116198,0.461539298,-2.524714908,2.771124877,-1.508913241,-0.539111377,0.0,0.0,0.0,0.02,-0.008947368,-0.002894737,0.0,0.0,0.0,-0.000526316,0.000235457,4.77e-05
7,0.01,0.04,-0.03,7.44,0.06,-4.38,-9.08,2.4,2.49,0.61,-0.05,-0.78,0.14,452775,2611,W,0.769668135,0.022671467,3.100389531,2.72466645,-0.729182839,-0.50884906,0.0,0.0,0.0,0.0,0.0,-0.001081081,-6.76e-06,4.73e-05,-2.03e-05,0.0,0.0,2.92e-05
8,0.01,0.04,-0.03,7.44,0.06,-4.38,-9.08,2.4,2.45,0.61,-0.05,-0.78,0.14,452812,2648,W,0.473718199,-0.47256047,2.369134004,2.724177754,-0.396957512,-0.481631149,-0.00025,0.00175,-0.00075,0.0,0.0,0.0,6.25e-06,-4.38e-05,1.88e-05,-2.5e-05,-6.87e-05,-0.00011875
9,0.0,0.11,-0.06,7.44,0.06,-4.38,-9.08,2.4,2.45,0.61,-0.05,-0.78,0.14,452852,2688,W,0.205965308,-1.087241111,1.597128704,2.750798241,-0.331634897,-0.44647234,0.0,0.0,0.0,-0.001,-0.00275,-0.00475,2.56e-05,-0.000102564,0.000115385,2.5e-05,6.87e-05,0.00011875
