,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
55,0.73,0.01,0.46,0.81,-2.13,-7.75,-12.14,2.52,4.02,0.38,0.47,0.12,0.79,561654,2103,W
56,0.73,0.01,0.46,0.81,-2.13,-7.75,-7.55,-1.7,0.99,0.38,0.47,0.12,0.79,561693,2142,W
57,0.73,0.01,0.46,0.81,-2.13,-7.75,-7.85,-0.74,1.03,0.38,0.47,0.12,0.79,561730,2179,W
58,0.74,0.11,-1.47,0.81,-2.13,-7.75,-7.85,-0.74,1.03,0.38,0.47,0.12,0.79,561769,2218,W
59,0.46,0.1,-2.03,0.81,-2.13,-7.75,-7.85,-0.74,1.03,0.38,0.47,0.12,0.79,561808,2257,W
60,0.46,0.1,-2.03,0.81,-2.13,-7.75,-8.93,3.32,1.53,0.38,0.47,0.12,0.79,561847,2296,W
61,0.46,0.1,-2.03,0.81,-2.13,-7.75,-9.08,4.73,1.99,0.38,0.47,0.12,0.79,561885,2334,W
62,0.46,0.1,-2.03,1.44,-19,-5.13,-9.08,4.73,1.99,0.38,0.47,0.12,0.79,561924,2373,W
63,-0.82,0.46,-1.57,1.44,-19,-5.13,-9.08,4.73,1.99,0.38,0.47,0.12,0.79,561963,2412,W
64,-0.82,0.46,-1.57,1.44,-19,-5.13,-8.5,10.14,3.37,0.38,0.47,0.12,0.79,562001,2450,W
65,-0.82,0.46,-1.57,1.44,-19,-5.13,-5.71,15.65,4.67,0.38,0.47,0.12,0.79,562042,2491,W
66,-0.82,0.46,-1.57,1.44,-19,-5.13,-9.62,3.13,5.05,0.38,0.47,0.12,0.79,562081,2530,W
67,-0.26,-0.17,0.25,1.44,-19,-5.13,-9.62,3.13,5.05,0.38,0.47,0.12,0.79,562121,2570,W
68,0.06,0.09,0.18,1.44,-19,-5.13,-9.62,3.13,5.05,0.38,0.47,0.12,0.79,562160,2609,W
69,0.06,0.09,0.18,1.44,-19,-5.13,-9.31,1.71,2.33,0.38,0.47,0.12,0.79,562200,2649,W
70,0.06,0.09,0.18,1.44,-19,-5.13,-9.23,1.79,2.45,0.38,0.47,0.12,0.79,562239,2688,W
71,0.06,0.09,0.18,1.44,-19,-5.13,-9.2,1.75,2.52,0.38,0.47,0.12,0.79,562276,2725,W
72,0.01,-0.02,0.18,1.44,-19,-5.13,-9.2,1.75,2.52,0.38,0.47,0.12,0.79,562315,2764,W
73,0.01,-0.02,0.18,1.44,-19,-5.13,-9.12,1.86,2.6,0.38,0.47,0.12,0.79,562354,2803,W
74,0.01,-0.02,0.18,1.44,-19,-5.13,-9.2,1.82,2.49,0.38,0.47,0.12,0.79,562394,2843,W
75,0.01,-0.02,0.18,1.44,-19,-5.13,-9.2,2.02,2.52,0.38,0.47,0.12,0.79,562432,2881,W
76,0.05,0.04,0.24,1.44,-19,-5.13,-9.2,2.02,2.52,0.38,0.47,0.12,0.79,562470,2919,W
77,0.05,0.04,0.24,1.44,-19,-5.13,-9.16,2.13,2.56,0.38,0.47,0.12,0.79,562510,2959,W
78,0.02,0.01,0.23,1.44,-19,-5.13,-9.16,2.13,2.56,0.38,0.47,0.12,0.79,562550,2999,W
79,0.02,0.01,0.23,1.44,-19,-5.13,-9.12,2.4,2.45,0.38,0.47,0.12,0.79,562589,3038,W
80,0.02,0.01,0.23,1.44,-19,-5.13,-9.08,2.48,2.49,0.38,0.47,0.12,0.79,562626,3075,W
81,0.06,0.08,0.35,1.44,-19,-5.13,-9.08,2.48,2.49,0.38,0.47,0.12,0.79,562664,3113,W
82,0.06,0.08,0.35,1.44,-19,-5.13,-8.96,2.74,2.49,0.38,0.47,0.12,0.79,562704,3153,W
83,0.06,0.08,0.35,1.44,-19,-5.13,-9.04,2.82,2.49,0.38,0.47,0.12,0.79,562744,3193,W
84,0.06,0.08,0.35,1.44,-19,-5.13,-9.08,3.01,2.41,0.38,0.47,0.12,0.79,562781,3230,W
85,0.11,-0.1,0.61,1.44,-19,-5.13,-9.08,3.01,2.41,0.38,0.47,0.12,0.79,562820,3269,W
86,0.11,-0.1,0.61,1.44,-19,-5.13,-9.31,3.36,2.49,0.38,0.47,0.12,0.79,562860,3309,W
87,0.09,-0.6,1.56,1.44,-19,-5.13,-9.31,3.36,2.49,0.38,0.47,0.12,0.79,562898,3347,W
88,0.09,-0.6,1.56,1.44,-19,-5.13,-12.53,4.89,3.1,0.38,0.47,0.12,0.79,562938,3387,W
89,0.09,-0.6,1.56,1.44,-19,-5.13,-9.46,5.96,1.99,0.38,0.47,0.12,0.79,562975,3424,W
90,0.09,-0.6,1.56,1.44,-19,-5.13,-12.07,6.38,3.29,0.38,0.47,0.12,0.79,563015,3464,W
91,0.13,0.54,4.04,1.44,-19,-5.13,-12.07,6.38,3.29,0.38,0.47,0.12,0.79,563054,3503,W
92,0.13,0.54,4.04,1.44,-19,-5.13,-12.76,-1.66,0.11,0.38,0.47,0.12,0.79,563093,3542,W
93,0.13,0.54,4.04,1.44,-19,-5.13,-6.97,3.47,2.11,0.38,0.47,0.12,0.79,563131,3580,W
94,0.53,0.45,-0.52,1.44,-19,-5.13,-6.97,3.47,2.11,0.38,0.47,0.12,0.79,563171,3620,W
95,-0.84,0.65,-1.28,1.44,-19,-5.13,-6.97,3.47,2.11,0.38,0.47,0.12,0.79,563211,3660,W
96,-0.84,0.65,-1.28,1.44,-19,-5.13,-7.36,1.82,3.33,0.38,0.47,0.12,0.79,563250,3699,W
97,-0.84,0.65,-1.28,1.44,-19,-5.13,-7.24,2.67,3.1,0.38,0.47,0.12,0.79,563290,3739,W
98,-0.84,0.65,-1.28,1.44,-19,-5.13,-7.43,4.09,3.56,0.38,0.47,0.12,0.79,563328,3777,W
99,1.55,-0.62,-2.67,1.44,-19,-5.13,-7.43,4.09,3.56,0.38,0.47,0.12,0.79,563366,3815,W
100,0.19,0.01,-3.02,1.44,-19,-5.13,-7.43,4.09,3.56,0.38,0.47,0.12,0.79,563405,3854,W
101,0.19,0.01,-3.02,1.44,-19,-5.13,-7.85,7.57,1.72,0.38,0.47,0.12,0.79,563444,3893,W
102,0.19,0.01,-3.02,1.44,-19,-5.13,-8.77,8.91,2.71,0.38,0.47,0.12,0.79,563482,3931,W
103,-0.18,0.13,-2.19,1.44,-19,-5.13,-8.77,8.91,2.71,0.38,0.47,0.12,0.79,563521,3970,W
104,-0.75,0.54,-1.18,1.44,-19,-5.13,-8.77,8.91,2.71,0.38,0.47,0.12,0.79,563561,4010,W
105,-0.75,0.54,-1.18,1.44,-19,-5.13,-8.62,10.86,2.41,0.38,0.47,0.12,0.79,563601,4050,W
106,-0.75,0.54,-1.18,1.44,-19,-5.13,-3.29,9.75,2.64,0.38,0.47,0.12,0.79,563643,4092,W
107,-0.75,0.54,-1.18,1.44,-19,-5.13,-6.02,1.36,1.49,0.38,0.47,0.12,0.79,563681,4130,W
108,-0.25,0.12,-0.22,1.44,-19,-5.13,-6.02,1.36,1.49,0.38,0.47,0.12,0.79,563721,4170,W
109,-0.25,0.12,-0.22,1.44,-19,-5.13,-8.96,1.52,2.98,0.38,0.47,0.12,0.79,563761,4210,W
110,-0.25,0.12,-0.22,1.44,-19,-5.13,-9.39,1.67,2.68,0.38,0.47,0.12,0.79,563802,4251,W
111,-0.25,0.12,-0.22,1.44,-19,-5.13,-9.12,1.79,2.52,0.38,0.47,0.12,0.79,563841,4290,W
112,-0.25,0.12,-0.22,1.44,-19,-5.13,-9.2,1.79,2.71,0.38,0.47,0.12,0.79,563879,4328,W
113,0.05,0,0.13,1.44,-19,-5.13,-9.2,1.79,2.71,0.38,0.47,0.12,0.79,563920,4369,W
114,0.03,0.01,0.15,1.44,-19,-5.13,-9.2,1.79,2.71,0.38,0.47,0.12,0.79,563959,4408,W
115,0.03,0.01,0.15,1.44,-19,-5.13,-9.08,1.94,2.56,0.38,0.47,0.12,0.79,563997,4446,W
116,0.03,0.01,0.15,1.44,-19,-5.13,-9.12,1.9,2.6,0.38,0.47,0.12,0.79,564035,4484,W
117,0.03,0.01,0.15,1.44,-19,-5.13,-9.12,1.98,2.68,0.38,0.47,0.12,0.79,564073,4522,W
118,0.03,0.01,0.15,1.44,-19,-5.13,-9.12,2.05,2.6,0.38,0.47,0.12,0.79,564112,4561,W
119,-0.02,0.12,0.36,1.44,-19,-5.13,-9.12,2.05,2.6,0.38,0.47,0.12,0.79,564152,4601,W
120,-0.02,0.12,0.36,1.44,-19,-5.13,-8.93,2.25,2.56,0.38,0.47,0.12,0.79,564190,4639,W
121,-0.02,0.12,0.36,1.44,-19,-5.13,-9,2.21,2.52,0.38,0.47,0.12,0.79,564228,4677,W
122,-0.04,0.24,0.72,1.44,-19,-5.13,-9,2.21,2.52,0.38,0.47,0.12,0.79,564267,4716,W
123,0.17,0.27,0.83,1.44,-19,-5.13,-9,2.21,2.52,0.38,0.47,0.12,0.79,564305,4754,W
124,0.17,0.27,0.83,1.44,-19,-5.13,-9.54,3.2,2.33,0.38,0.47,0.12,0.79,564344,4793,W
125,0.17,0.27,0.83,1.44,-19,-5.13,-9.81,3.86,2.33,0.38,0.47,0.12,0.79,564381,4830,W
126,0.62,-0.36,2.07,1.44,-19,-5.13,-9.81,3.86,2.33,0.38,0.47,0.12,0.79,564421,4870,W
127,0.71,-0.8,3.73,1.44,-19,-5.13,-9.81,3.86,2.33,0.38,0.47,0.12,0.79,564461,4910,W
128,0.71,-0.8,3.73,1.44,-19,-5.13,-14.63,7.61,2.37,0.38,0.47,0.12,0.79,564499,4948,W
129,0.71,-0.8,3.73,1.44,-19,-5.13,-13.29,5.12,2.68,0.38,0.47,0.12,0.79,564539,4988,W
130,0.71,-0.8,3.73,1.44,-19,-5.13,-14.37,0.87,0.11,0.38,0.47,0.12,0.79,564578,5027,W
131,-1.37,-0.5,-0.22,1.44,-19,-5.13,-14.37,0.87,0.11,0.38,0.47,0.12,0.79,564617,5066,W
