,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
52,-0.08,-0.08,0.1,7.5,-9.5,-14.13,-9.23,1.82,2.33,0.38,0.47,0.12,0.79,624656,2026,W
53,0.02,-0.05,0.17,7.5,-9.5,-14.13,-9.23,1.82,2.33,0.38,0.47,0.12,0.79,624696,2066,W
54,0.02,-0.05,0.17,7.5,-9.5,-14.13,-9.23,1.94,2.37,0.38,0.47,0.12,0.79,624735,2105,W
55,0.02,-0.05,0.17,7.5,-9.5,-14.13,-9.5,2.05,2.26,0.38,0.47,0.12,0.79,624775,2145,W
56,0.02,-0.05,0.17,7.5,-9.5,-14.13,-9.69,2.09,2.37,0.38,0.47,0.12,0.79,624812,2182,W
57,0.07,-0.41,0.86,7.5,-9.5,-14.13,-9.69,2.09,2.37,0.38,0.47,0.12,0.79,624851,2221,W
58,0.07,-0.41,0.86,7.5,-9.5,-14.13,-11.11,2.71,2.83,0.38,0.47,0.12,0.79,624891,2261,W
59,0.6,-0.47,3.58,7.5,-9.5,-14.13,-11.11,2.71,2.83,0.38,0.47,0.12,0.79,624930,2300,W
60,0.6,-0.47,3.58,7.5,-9.5,-14.13,-12.68,4.35,3.25,0.38,0.47,0.12,0.79,624970,2340,W
61,0.6,-0.47,3.58,7.5,-9.5,-14.13,-9.73,3.74,1.8,0.38,0.47,0.12,0.79,625007,2377,W
62,0.6,-0.47,3.58,7.5,-9.5,-14.13,-9.81,-0.86,-0.69,0.38,0.47,0.12,0.79,625047,2417,W
63,-0.03,-0.92,-0.26,7.5,-9.5,-14.13,-9.81,-0.86,-0.69,0.38,0.47,0.12,0.79,625087,2457,W
64,-0.03,-0.92,-0.26,7.5,-9.5,-14.13,-6.47,3.13,4.98,0.38,0.47,0.12,0.79,625128,2498,W
65,-0.03,-0.92,-0.26,7.5,-9.5,-14.13,-6.02,3.51,3.87,0.38,0.47,0.12,0.79,625166,2536,W
66,0.04,-0.18,-1.43,7.5,-9.5,-14.13,-6.02,3.51,3.87,0.38,0.47,0.12,0.79,625207,2577,W
67,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-6.02,3.51,3.87,0.38,0.47,0.12,0.79,625246,2616,W
68,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-7.89,6.54,2.68,0.38,0.47,0.12,0.79,625286,2656,W
69,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-8.24,6.61,2.33,0.38,0.47,0.12,0.79,625326,2696,W
70,0.43,-0.12,-1.58,7.5,-9.5,-14.13,-8.12,6.3,1.22,0.38,0.47,0.12,0.79,625363,2733,W
71,0.58,0.5,-1.55,7.5,-9.5,-14.13,-8.12,6.3,1.22,0.38,0.47,0.12,0.79,625403,2773,W
72,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-8.12,6.3,1.22,0.38,0.47,0.12,0.79,625443,2813,W
73,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-9.46,5,2.56,0.38,0.47,0.12,0.79,625482,2852,W
74,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-9,4.47,2.22,0.38,0.47,0.12,0.79,625523,2893,W
75,-0.51,0.11,-1.75,7.5,-9.5,-14.13,-9.04,4.31,2.6,0.38,0.47,0.12,0.79,625561,2931,W
76,-0.63,1,-1.14,7.5,-9.5,-14.13,-9.04,4.31,2.6,0.38,0.47,0.12,0.79,625601,2971,W
77,-0.63,1,-1.14,7.5,-9.5,-14.13,-8.54,4.96,3.75,0.38,0.47,0.12,0.79,625641,3011,W
78,-0.04,-0.27,-0.94,7.5,-9.5,-14.13,-8.54,4.96,3.75,0.38,0.47,0.12,0.79,625681,3051,W
79,-0.04,-0.27,-0.94,7.5,-9.5,-14.13,-5.44,9.41,3.6,0.38,0.47,0.12,0.79,625722,3092,W
