,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
52,1.17,0.09,-0.45,7.44,0.06,-4.38,-9.62,-0.25,0.76,0.61,-0.05,-0.78,0.14,452190,2026,W
53,1.17,0.09,-0.45,7.44,0.06,-4.38,-9.92,1.9,1.76,0.61,-0.05,-0.78,0.14,452231,2067,W
54,1.17,0.09,-0.45,7.44,0.06,-4.38,-9.23,2.74,2.14,0.61,-0.05,-0.78,0.14,452270,2106,W
55,1.17,0.09,-0.45,7.44,0.06,-4.38,-9.08,2.74,2.07,0.61,-0.05,-0.78,0.14,452306,2142,W
56,0.57,0.04,-0.6,7.44,0.06,-4.38,-9.08,2.74,2.07,0.61,-0.05,-0.78,0.14,452345,2181,W
57,0.57,0.04,-0.6,7.44,0.06,-4.38,-9,3.47,1.88,0.61,-0.05,-0.78,0.14,452384,2220,W
58,0.57,0.04,-0.6,7.44,0.06,-4.38,-8.62,3.86,1.91,0.61,-0.05,-0.78,0.14,452424,2260,W
59,0.57,0.04,-0.6,7.44,0.06,-4.38,-8.66,5.16,3.18,0.61,-0.05,-0.78,0.14,452462,2298,W
60,-0.03,-0.86,0.07,7.44,0.06,-4.38,-8.66,5.16,3.18,0.61,-0.05,-0.78,0.14,452501,2337,W
61,-0.03,-0.86,0.07,7.44,0.06,-4.38,-6.51,9.1,3.25,0.61,-0.05,-0.78,0.14,452542,2378,W
62,-0.1,-0.58,0.4,7.44,0.06,-4.38,-6.51,9.1,3.25,0.61,-0.05,-0.78,0.14,452581,2417,W
63,-0.1,-0.58,0.4,7.44,0.06,-4.38,-8.73,2.63,2.68,0.61,-0.05,-0.78,0.14,452621,2457,W
64,-0.1,-0.58,0.4,7.44,0.06,-4.38,-9.84,2.74,2.6,0.61,-0.05,-0.78,0.14,452658,2494,W
65,-0.05,0.19,-0.03,7.44,0.06,-4.38,-9.84,2.74,2.6,0.61,-0.05,-0.78,0.14,452698,2534,W
66,0.01,0.04,-0.03,7.44,0.06,-4.38,-9.84,2.74,2.6,0.61,-0.05,-0.78,0.14,452737,2573,W
67,0.01,0.04,-0.03,7.44,0.06,-4.38,-9.08,2.4,2.49,0.61,-0.05,-0.78,0.14,452775,2611,W
68,0.01,0.04,-0.03,7.44,0.06,-4.38,-9.08,2.4,2.45,0.61,-0.05,-0.78,0.14,452812,2648,W
69,0,0.11,-0.06,7.44,0.06,-4.38,-9.08,2.4,2.45,0.61,-0.05,-0.78,0.14,452852,2688,W
70,0,0.11,-0.06,7.44,0.06,-4.38,-9.12,2.29,2.26,0.61,-0.05,-0.78,0.14,452892,2728,W
71,0.04,-0.05,0.12,7.44,0.06,-4.38,-9.12,2.29,2.26,0.61,-0.05,-0.78,0.14,452931,2767,W
72,0.04,-0.05,0.12,7.44,0.06,-4.38,-9.08,2.48,2.33,0.61,-0.05,-0.78,0.14,452970,2806,W
73,0.04,-0.05,0.12,7.44,0.06,-4.38,-9.08,2.55,2.37,0.61,-0.05,-0.78,0.14,453008,2844,W
74,-0.01,0.01,0.04,7.44,0.06,-4.38,-9.08,2.55,2.37,0.61,-0.05,-0.78,0.14,453046,2882,W
75,0.01,0.03,0.06,7.44,0.06,-4.38,-9.08,2.55,2.37,0.61,-0.05,-0.78,0.14,453085,2921,W
76,0.01,0.03,0.06,7.44,0.06,-4.38,-9.04,2.55,2.3,0.61,-0.05,-0.78,0.14,453124,2960,W
