,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direc1ion,Sensor 1ime,1ime,Label
0,0,0.05,-0.04,53.56,-65.56,10.88,4.33,8.94,0.89,-0.41,-0.33,-0.54,0.66,1107201,0,0
1,0,0.05,-0.04,53.56,-65.56,10.88,4.36,8.9,0.89,-0.41,-0.33,-0.54,0.66,1107243,42,0
2,0,0.05,-0.04,53.56,-65.56,10.88,4.36,8.86,0.85,-0.41,-0.33,-0.54,0.66,1107286,85,0
3,0,0.05,-0.04,53.56,-65.56,10.88,4.44,8.94,0.89,-0.41,-0.33,-0.54,0.66,1107328,127,0
4,0,0.05,-0.04,53.56,-65.56,10.88,4.4,8.9,0.89,-0.41,-0.33,-0.54,0.66,1107367,166,0
5,0,0.05,-0.04,53.56,-65.56,10.88,4.4,8.9,0.89,0.59,0.32,0.6,0.43,1107409,208,0
6,0.01,0.11,0.02,53.56,-65.56,10.88,4.4,8.9,0.89,0.59,0.32,0.6,0.43,1107449,248,0
7,0.01,0.11,0.02,53.56,-65.56,10.88,4.44,8.94,0.81,0.59,0.32,0.6,0.43,1107487,286,0
8,0.01,0.11,0.02,53.56,-65.56,10.88,4.36,8.86,0.81,0.59,0.32,0.6,0.43,1107527,326,0
9,0.01,0.11,0.02,53.56,-65.56,10.88,4.33,8.94,0.89,0.59,0.32,0.6,0.43,1107565,364,0
10,0.01,0.11,0.02,53.56,-65.56,10.88,4.33,8.94,0.89,0.59,0.32,0.61,0.43,1107604,403,0
11,-0.01,0,0.06,53.56,-65.56,10.88,4.33,8.94,0.89,0.59,0.32,0.61,0.43,1107644,443,0
12,-0.01,0,0.06,53.56,-65.56,10.88,4.17,9.02,0.89,0.59,0.32,0.61,0.43,1107684,483,0
13,-0.01,0,0.06,53.56,-65.56,10.88,4.14,8.86,0.93,0.59,0.32,0.61,0.43,1107724,523,0
14,-0.01,0,0.06,53.56,-65.56,10.88,4.17,8.94,0.96,0.59,0.32,0.61,0.43,1107762,561,0
15,0,-0.04,-0.03,53.56,-65.56,10.88,4.17,8.94,0.96,0.59,0.32,0.61,0.43,1107802,601,0
16,0,-0.04,-0.03,53.56,-65.56,10.88,4.25,8.98,1.04,0.59,0.32,0.61,0.43,1107844,643,0
17,-0.03,-0.03,-0.04,53.56,-65.56,10.88,4.25,8.98,1.04,0.59,0.32,0.61,0.43,1107885,684,0
18,-0.03,-0.03,-0.04,53.56,-65.56,10.88,4.36,8.86,1.04,0.59,0.32,0.61,0.43,1107924,723,0
19,-0.03,-0.03,-0.04,53.56,-65.56,10.88,4.4,8.75,1,0.59,0.32,0.61,0.43,1107964,763,0
20,-0.04,-0.02,0,53.56,-65.56,10.88,4.4,8.75,1,0.59,0.32,0.61,0.43,1108004,803,0
21,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.4,8.75,1,0.59,0.32,0.61,0.43,1108044,843,0
22,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.44,8.83,0.93,0.59,0.32,0.61,0.43,1108085,884,0
23,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.44,8.79,0.89,0.59,0.32,0.61,0.43,1108126,925,0
24,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.4,8.83,0.89,0.59,0.32,0.61,0.43,1108166,965,0
25,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.4,8.83,0.89,0.59,0.31,0.6,0.44,1108206,1005,0
26,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.55,8.9,0.81,0.59,0.31,0.6,0.44,1108246,1045,0
27,0.03,0.02,-0.02,53.56,-65.56,10.88,4.55,8.9,0.81,0.59,0.31,0.6,0.44,1108287,1086,0
28,0.03,0.02,-0.02,53.56,-65.56,10.88,5.13,8.83,1.15,0.59,0.31,0.6,0.44,1108326,1125,0
29,0.03,0.02,-0.02,53.56,-65.56,10.88,5.63,8.98,1.15,0.59,0.31,0.6,0.44,1108364,1163,0
30,-0.12,-0.19,0.34,53.56,-65.56,10.88,5.63,8.98,1.15,0.59,0.31,0.6,0.44,1108405,1204,0
