,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direc1ion,Sensor 1ime,1ime,Label
0,-0.01,-0.01,0.03,-16,-49.56,33.25,-9,0.59,3.94,0.55,0,-0.83,0.03,408123,0,0
1,-0.01,-0.01,0.03,-16,-49.56,33.25,-8.96,0.63,3.98,0.55,0,-0.83,0.03,408165,42,0
2,-0.01,-0.01,0.03,-16,-49.56,33.25,-8.96,0.63,3.94,0.55,0,-0.83,0.03,408207,84,0
3,-0.01,-0.01,0.03,-16,-49.56,33.25,-9,0.63,3.94,0.55,0,-0.83,0.03,408248,125,0
4,-0.01,-0.01,0.03,-16,-49.56,33.25,-8.96,0.59,3.98,0.55,0,-0.83,0.03,408289,166,0
5,-0.01,-0.01,0.03,-16,-48.75,33.25,-8.96,0.59,3.98,0.55,0,-0.83,0.03,408331,208,0
6,0,0,0.03,-16,-48.75,33.25,-8.96,0.59,3.98,0.55,0,-0.83,0.03,408373,250,0
7,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408415,292,0
8,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408457,334,0
9,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408498,375,0
10,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408539,416,0
11,0,0,0.03,-16.69,-49.88,33.63,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408581,458,0
12,0,0,-0.01,-16.69,-49.88,33.63,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408623,500,0
13,0,0,-0.01,-16.69,-49.88,33.63,-9,0.63,3.98,0.55,0,-0.83,0.03,408664,541,0
14,0,0,-0.01,-16.69,-49.88,33.63,-9,0.63,3.98,0.55,0,-0.83,0.03,408706,583,0
15,0,0,-0.01,-16.69,-49.88,33.63,-9,0.66,3.98,0.55,0,-0.83,0.03,408747,624,0
16,0,0,-0.01,-16.69,-49.88,33.63,-9,0.63,3.94,0.55,0,-0.83,0.03,408786,663,0
17,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.63,3.94,0.55,0,-0.83,0.03,408827,704,0
18,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.63,3.94,0.55,0,-0.83,0.03,408868,745,0
19,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.55,3.94,0.55,0,-0.83,0.03,408909,786,0
20,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.55,3.94,0.55,0,-0.83,0.03,408953,830,0
21,0,0.02,-0.04,-16.69,-49.88,33.63,-9.04,0.55,3.94,0.55,0,-0.83,0.03,408995,872,0
22,0,0.02,-0.04,-16.69,-49.88,33.63,-9.04,0.55,3.9,0.55,0,-0.83,0.03,409035,912,0
23,-0.01,0.04,-0.02,-16.69,-49.88,33.63,-9.04,0.55,3.9,0.55,0,-0.83,0.03,409077,954,0
24,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.55,3.9,0.55,0,-0.83,0.03,409118,995,0
25,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.47,3.82,0.55,0,-0.83,0.03,409159,1036,0
26,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.44,3.79,0.55,0,-0.83,0.03,409201,1078,0
27,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.44,3.75,0.55,0,-0.83,0.03,409243,1120,0
28,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.4,3.75,0.55,0,-0.83,0.03,409284,1161,0
29,0,-0.01,0,-16.69,-49.88,33.63,-9.04,0.4,3.75,0.55,0,-0.83,0.03,409326,1203,0
30,0.02,-0.01,0,-16.69,-49.88,33.63,-9.04,0.4,3.75,0.55,0,-0.83,0.03,409367,1244,0
31,0.02,-0.01,0,-16.69,-49.88,33.63,-9.04,0.44,3.82,0.55,0,-0.83,0.03,409408,1285,0
32,0.02,-0.01,0,-16.69,-49.88,33.63,-9.04,0.44,3.79,0.55,0,-0.83,0.03,409449,1326,0
33,0.02,-0.01,0,-16.69,-49.88,33.63,-9.04,0.47,3.82,0.55,0,-0.83,0.03,409492,1369,0
34,0.02,-0.01,0,-16.69,-49.88,33.63,-9.08,0.51,3.86,0.55,0,-0.83,0.03,409532,1409,0
35,0.08,-0.12,-0.07,-16.69,-49.88,33.63,-9.08,0.51,3.86,0.55,0,-0.83,0.03,409574,1451,0
36,0.08,-0.12,-0.07,-16.69,-49.88,33.63,-9,0.55,4.13,0.55,0,-0.83,0.03,409616,1493,0
37,0.02,-0.01,-0.09,-16.69,-49.88,33.63,-9,0.55,4.13,0.55,0,-0.83,0.03,409657,1534,0
38,0.02,-0.01,-0.09,-16.69,-49.88,33.63,-9.12,0.25,3.94,0.55,0,-0.83,0.03,409698,1575,0
39,0.02,-0.01,-0.09,-16.69,-49.88,33.63,-9.08,0.25,4.05,0.55,0,-0.83,0.03,409740,1617,0
40,0.02,-0.01,-0.09,-15.88,-51.81,34.81,-9.08,0.25,4.05,0.55,0,-0.83,0.03,409781,1658,0
41,-0.02,0.01,0.05,-15.88,-51.81,34.81,-9.08,0.25,4.05,0.55,0,-0.83,0.03,409823,1700,0
42,-0.02,0.01,0.05,-15.88,-51.81,34.81,-9.04,0.55,4.01,0.55,0,-0.83,0.03,409865,1742,0
43,-0.01,0.05,-0.03,-15.88,-51.81,34.81,-9.04,0.55,4.01,0.55,0,-0.83,0.03,409906,1783,0
44,-0.01,0.05,-0.03,-15.88,-51.81,34.81,-9,0.36,3.9,0.55,0,-0.83,0.03,409947,1824,0
45,-0.01,0.05,-0.03,-15.88,-51.81,34.81,-9.04,0.36,3.86,0.55,0,-0.83,0.03,409989,1866,0
46,-0.01,0.05,-0.03,-16.19,-52.19,34.44,-9.04,0.36,3.86,0.55,0,-0.83,0.03,410029,1906,0
47,-0.04,-0.08,0.28,-16.19,-52.19,34.44,-9.04,0.36,3.86,0.55,0,-0.83,0.03,410071,1948,0
48,-0.04,-0.08,0.28,-16.19,-52.19,34.44,-9.23,0.4,3.71,0.55,0,-0.83,0.03,410114,1991,0
49,-0.25,-0.44,0.66,-16.19,-52.19,34.44,-9.23,0.4,3.71,0.55,0,-0.83,0.03,410156,2033,0
50,-0.25,-0.44,0.66,-16.19,-52.19,34.44,-8.93,0.74,4.28,0.55,0,-0.83,0.03,410196,2073,0
51,-0.25,-0.44,0.66,-16.19,-52.19,34.44,-9.43,0.63,4.55,0.55,0,-0.83,0.03,410238,2115,0
52,-0.25,-0.44,0.66,-13.31,-40.56,36,-9.43,0.63,4.55,0.55,0,-0.83,0.03,410279,2156,0
53,0.69,-1.21,2.98,-13.31,-40.56,36,-9.43,0.63,4.55,0.55,0,-0.83,0.03,410321,2198,0
54,0.69,-1.21,2.98,-13.31,-40.56,36,-12.41,2.73,5.55,0.55,0,-0.83,0.03,410363,2240,0
55,0.66,-1.31,2.14,-13.31,-40.56,36,-12.41,2.73,5.55,0.55,0,-0.83,0.03,410405,2282,0
56,0.66,-1.31,2.14,-13.31,-40.56,36,-10.15,-4.43,2.25,0.55,0,-0.83,0.03,410446,2323,0
57,0.66,-1.31,2.14,-13.31,-40.56,36,-8.47,-3.28,3.59,0.55,0,-0.83,0.03,410489,2366,0
58,0.66,-1.31,2.14,-0.56,-36.69,27.25,-8.47,-3.28,3.59,0.55,0,-0.83,0.03,410529,2406,0
59,-1.04,0.94,-2.38,-0.56,-36.69,27.25,-8.47,-3.28,3.59,0.55,0,-0.83,0.03,410571,2448,0
60,-1.04,0.94,-2.38,-0.56,-36.69,27.25,-8.54,-0.45,4.32,0.55,0,-0.83,0.03,410613,2490,0
61,-0.64,1.71,-3.26,-0.56,-36.69,27.25,-8.54,-0.45,4.32,0.55,0,-0.83,0.03,410655,2532,0
62,-0.64,1.71,-3.26,-0.56,-36.69,27.25,-12.61,5,6.62,0.55,0,-0.83,0.03,410696,2573,0
63,-0.64,1.71,-3.26,-0.56,-36.69,27.25,-11.84,5.95,6.27,0.55,0,-0.83,0.03,410738,2615,0
64,-0.64,1.71,-3.26,16.63,-113,10.06,-11.84,5.95,6.27,0.55,0,-0.83,0.03,410779,2656,0
65,-0.47,0.7,-1.83,16.63,-113,10.06,-11.84,5.95,6.27,0.55,0,-0.83,0.03,410821,2698,0
66,-0.47,0.7,-1.83,16.63,-113,10.06,-8.28,3.04,4.78,0.55,0,-0.83,0.03,410865,2742,0
67,-1.3,0.67,-1.07,16.63,-113,10.06,-8.28,3.04,4.78,0.55,0,-0.83,0.03,410906,2783,0
68,-1.3,0.67,-1.07,16.63,-113,10.06,-6.32,3.16,4.32,0.55,0,-0.83,0.03,410947,2824,0
69,-1.3,0.67,-1.07,16.63,-113,10.06,-6.32,3.54,4.66,0.55,0,-0.83,0.03,410989,2866,0
70,-1.3,0.67,-1.07,68.13,-125.31,-2.25,-6.32,3.54,4.66,0.55,0,-0.83,0.03,411029,2906,0
71,0.35,-0.8,1.95,68.13,-125.31,-2.25,-6.32,3.54,4.66,0.55,0,-0.83,0.03,411071,2948,0
72,0.35,-0.8,1.95,68.13,-125.31,-2.25,-11.99,-1.25,2.48,0.55,0,-0.83,0.03,411113,2990,0
73,0.6,-0.52,0.42,68.13,-125.31,-2.25,-11.99,-1.25,2.48,0.55,0,-0.83,0.03,411155,3032,0
74,0.6,-0.52,0.42,68.13,-125.31,-2.25,-8.7,-0.87,2.82,0.55,0,-0.83,0.03,411197,3074,0
75,0.6,-0.52,0.42,68.13,-125.31,-2.25,-9.58,0.13,4.21,0.55,0,-0.83,0.03,411238,3115,0
76,0.6,-0.52,0.42,53,-136.63,7.31,-9.58,0.13,4.21,0.55,0,-0.83,0.03,411278,3155,0
77,0.24,-0.22,0.16,53,-136.63,7.31,-9.58,0.13,4.21,0.55,0,-0.83,0.03,411319,3196,0
78,0.24,-0.22,0.16,53,-136.63,7.31,-8.54,-0.02,4.74,0.55,0,-0.83,0.03,411361,3238,0
79,0.01,0.09,0.18,53,-136.63,7.31,-8.54,-0.02,4.74,0.55,0,-0.83,0.03,411402,3279,0
